"","1","2","3","4"
"1",0,0,0,1
"2",2,1,0,1
"3",1,0,1,4
"6",0,2,0,2
"7",1,0,0,0
"8",1,0,2,4
"9",0,0,0,1
"10",0,0,1,0
"12",0,0,1,2
"13",1,2,0,4
"14",1,0,0,10
"15",0,0,2,1
"16",2,0,0,0
"17",2,0,0,0
"18",0,0,0,1
"23",0,2,0,3
"24",0,1,0,1
"26",0,1,0,0
"27",1,0,0,1
"28",1,0,0,0
"31",1,0,0,0
"32",3,0,0,1
"33",0,0,0,9
"35",0,0,0,2
"36",1,3,1,2
"37",0,0,3,1
"42",1,0,0,0
"47",4,2,2,2
"48",3,2,2,0
"49",0,0,1,0
"50",0,0,0,1
"51",12,1,3,5
"52",1,0,0,1
"53",5,5,6,12
"54",0,1,0,2
"55",0,1,1,0
"56",0,0,0,1
"57",0,0,0,2
"59",3,0,0,11
"60",1,4,1,1
"61",0,0,0,1
"62",3,2,0,0
"63",2,0,2,5
"71",7,3,1,0
"72",7,1,0,8
"73",3,2,1,6
"74",3,0,2,3
"75",0,0,1,4
"76",1,1,1,4
"77",2,1,2,6
"78",3,5,3,8
"79",1,0,0,2
"80",0,2,0,0
"81",0,0,0,1
"82",0,0,5,0
"83",0,0,1,1
"85",1,0,0,1
"86",1,0,1,0
"87",6,3,10,19
"88",0,1,10,3
"89",0,0,1,1
"95",1,0,0,0
"96",0,0,0,1
"97",3,0,1,5
"98",1,0,1,6
"99",8,0,3,2
"100",1,0,0,2
"101",0,1,0,1
"102",1,0,0,3
"103",0,0,2,2
"104",3,0,1,1
"105",4,0,0,2
"106",3,7,4,8
"107",1,2,3,13
"108",2,1,2,3
"109",2,0,6,2
"110",1,2,6,5
"111",3,2,3,1
"112",5,11,5,13
"115",0,0,1,0
"124",0,1,1,3
"125",11,2,5,6
"126",4,1,1,8
"127",0,0,2,5
"128",1,0,1,0
"129",2,1,0,0
"130",2,1,1,0
"131",2,3,0,2
"132",5,0,0,2
"133",0,1,1,0
"134",6,1,0,8
"135",1,1,1,1
"136",3,0,0,1
"137",4,4,2,6
"138",4,0,0,4
"139",6,1,5,6
"140",7,0,3,13
"141",3,2,2,6
"147",0,1,0,0
"148",0,0,0,2
"154",1,0,0,0
"155",5,0,0,0
"156",4,1,9,20
"157",1,0,3,10
"158",0,1,2,3
"159",1,0,1,3
"160",2,0,0,0
"161",1,0,3,0
"162",0,0,0,1
"163",3,2,0,4
"164",0,0,0,3
"167",3,0,0,0
"170",3,0,2,2
"171",0,0,1,3
"172",0,0,4,0
"173",1,0,0,4
"186",0,1,0,0
"188",0,0,0,2
"189",1,0,1,1
"190",3,0,0,1
"192",0,0,0,1
"193",0,1,0,1
"194",3,0,0,0
"195",2,0,0,2
"196",3,0,0,0
"198",1,0,0,0
"199",0,0,0,1
"203",1,0,0,0
"204",4,2,0,4
"205",0,0,1,0
"206",6,1,2,1
"207",1,0,0,0
"210",0,0,0,5
"211",0,0,1,2
"212",1,0,0,0
"213",0,0,0,1
"221",2,0,0,0
"222",3,0,2,1
"223",4,4,0,3
"224",5,3,1,8
"225",0,0,4,0
"227",0,0,2,0
"229",0,0,0,3
"230",0,0,3,2
"231",0,0,1,0
"232",0,0,1,0
"235",0,0,1,0
"239",0,0,0,1
"241",2,0,1,7
"242",4,3,1,4
"243",1,0,4,7
"244",0,0,4,5
"245",1,0,0,10
"246",1,0,0,4
"248",0,1,0,9
"258",1,0,0,0
"260",2,5,0,0
"261",2,0,0,0
"262",0,3,0,0
"264",0,0,0,1
"265",0,0,0,7
"267",2,0,0,0
"268",2,0,1,1
"269",1,1,0,1
"270",1,0,0,0
"271",1,0,0,1
"272",3,0,0,0
"273",1,1,0,2
"274",0,0,2,3
"279",3,1,5,2
"280",0,2,2,1
"281",2,2,0,3
"284",0,0,1,0
"285",0,0,2,0
"288",0,0,1,0
"289",0,0,2,0
"304",2,1,4,3
"305",1,4,1,3
"306",1,0,0,0
"307",1,0,0,1
"308",2,0,0,0
"309",0,0,1,0
"310",0,0,1,0
"314",3,0,0,2
"315",2,0,0,0
"316",0,0,2,1
"317",2,0,0,0
"319",0,0,0,1
"322",1,0,0,0
"324",3,0,1,6
"325",3,0,4,1
"326",1,1,4,1
"327",1,0,2,4
"328",1,0,4,3
"329",0,0,1,0
"330",1,4,1,0
"331",0,1,0,1
"332",0,0,0,2
"336",0,0,1,1
"344",5,0,0,0
"346",2,0,0,0
"348",0,0,0,8
"351",1,0,1,1
"352",1,0,0,0
"353",1,0,0,1
"359",5,0,0,0
"360",0,0,1,2
"362",1,0,4,0
"370",0,0,1,1
"371",1,1,1,4
"372",2,0,3,21
"373",1,0,4,11
"382",0,0,1,0
"390",4,0,0,1
"392",3,0,1,1
"393",1,1,0,6
"394",0,0,0,2
"396",1,1,0,3
"397",0,0,1,1
"398",1,0,0,0
"402",1,1,0,1
"403",1,0,0,0
"404",1,0,0,1
"405",0,0,3,0
"407",0,1,0,3
"411",0,1,0,1
"412",0,1,0,0
"413",0,1,1,0
"414",0,0,0,2
"415",1,0,1,1
"416",1,0,2,4
"417",6,1,14,14
"418",0,1,1,17
"419",0,0,0,1
"420",1,0,0,0
"434",0,2,0,0
"437",0,0,1,0
"438",0,0,0,2
"441",0,0,0,2
"447",0,0,0,2
"449",1,0,0,0
"450",0,1,0,0
"451",1,0,1,0
"452",1,0,0,1
"453",1,0,0,0
"454",0,0,2,0
"456",0,0,1,0
"457",1,0,0,0
"458",3,0,1,0
"459",0,0,1,1
"460",0,0,4,8
"461",4,0,1,14
"462",1,0,6,9
"463",3,0,3,1
"465",1,0,0,0
"469",0,0,0,3
"470",0,0,0,1
"471",0,0,0,1
"480",0,0,1,1
"482",1,0,0,2
"486",0,0,1,1
"487",1,0,1,2
