Accident,Center_Lat,Center_Long,Date,Time,Hour,DayFrame,WeekDay,WeekEnd,Precipitation_Intensity,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Weekday,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
0,-85.31906314,-85.31906314,8/21/17,6:00:00,6,2,1,0,0,0,1,0,0,0,0,528,0,9,11,0,7,6
0,-85.31906314,-85.31906314,6/11/17,15:00:00,15,4,0,1,0,0,1,0,0,0,0,528,6,9,11,0,7,6
0,-85.26362763,-85.26362763,3/25/17,15:00:00,15,4,0,1,0,0,1,0,0,0,0,402,5,18,14,0,5,12
0,-85.26362763,-85.26362763,9/2/17,16:00:00,16,4,0,1,0,0,1,0,0,0,0,402,5,18,14,0,5,12
0,-85.26362763,-85.26362763,2/18/17,10:00:00,10,3,0,1,0.097,0,0,1,0,0,1,402,5,18,14,0,5,12
0,-85.28021865,-85.28021865,4/22/17,16:00:00,16,4,0,1,0,0,1,0,0,0,0,14,5,21,26,0,7,20
0,-85.28021865,-85.28021865,10/1/17,9:00:00,9,2,0,1,0,1,0,0,0,0,0,14,6,21,26,0,7,20
0,-85.28021865,-85.28021865,5/6/17,15:00:00,15,4,0,1,0,0,1,0,0,0,0,14,5,21,26,0,7,20
0,-85.28021865,-85.28021865,12/30/17,13:00:00,13,4,0,1,0,0,1,0,0,0,0,14,5,21,26,0,7,20
0,-85.28697903,-85.28697903,4/6/17,6:00:00,6,2,1,0,0.007,0,0,1,0,0,1,577,3,13,10,0,0,8
0,-85.35641089,-85.35641089,2/26/17,12:00:00,12,3,0,1,0,1,0,0,0,0,0,22,6,10,25,0,0,1
0,-85.26278616,-85.26278616,7/16/17,12:00:00,12,3,0,1,0,0,1,0,0,0,0,313,6,19,16,0,7,8
0,-85.26278616,-85.26278616,1/28/17,10:00:00,10,3,0,1,0,1,0,0,0,0,0,313,5,19,16,0,7,8
0,-85.23323546,-85.23323546,2/4/17,12:00:00,12,3,0,1,0,1,0,0,0,0,0,626,5,20,9,1,0,3
0,-85.21476944,-85.21476944,11/5/17,5:00:00,5,2,0,1,0,0,1,0,0,0,0,587,6,23,10,1,7,9
0,-85.21476944,-85.21476944,1/21/17,9:00:00,9,2,0,1,0,0,0,0,1,0,0,587,5,23,10,1,7,9
0,-85.22920754,-85.22920754,6/18/17,7:00:00,7,2,0,1,0,0,1,0,0,0,0,585,6,21,10,1,9,4
0,-85.33475696,-85.33475696,7/8/17,18:00:00,18,1,0,1,0.005,0,1,0,0,0,0,25,5,13,25,0,2,1
0,-85.33475696,-85.33475696,9/30/17,8:00:00,8,2,0,1,0,0,1,0,0,0,0,25,5,13,25,0,2,1
0,-85.33475696,-85.33475696,1/29/17,11:00:00,11,3,0,1,0,0,1,0,0,0,0,25,6,13,25,0,2,1
0,-85.22920754,-85.22920754,10/8/17,5:00:00,5,2,0,1,0.049,0,0,1,0,0,1,585,6,21,10,1,9,4
0,-85.13867073,-85.13867073,8/26/17,8:00:00,8,2,0,1,0,0,1,0,0,0,0,867,5,30,2,0,7,10
0,-85.10817243,-85.10817243,8/13/17,8:00:00,8,2,0,1,0,0,0,0,1,0,0,755,6,36,6,1,0,1
0,-85.32947425,-85.32947425,6/17/17,5:00:00,5,2,0,1,0,1,0,0,0,0,0,482,5,8,12,0,0,2
0,-85.32947425,-85.32947425,12/2/17,8:00:00,8,2,0,1,0,0,0,0,1,0,0,482,5,8,12,0,0,2
0,-85.2931549,-85.2931549,8/6/17,17:00:00,17,4,0,1,0,0,1,0,0,0,0,128,6,17,21,0,7,14
0,-85.2629624,-85.2629624,2/23/17,9:00:00,9,2,1,0,0,0,0,0,1,0,0,699,3,15,7,0,7,17
0,-85.2629624,-85.2629624,11/12/17,0:00:00,0,1,0,1,,,,,,,,699,6,15,7,0,7,17
0,-85.2629624,-85.2629624,12/8/17,5:00:00,5,2,1,0,0,0,1,0,0,0,0,699,4,15,7,0,7,17
0,-85.2629624,-85.2629624,6/18/17,11:00:00,11,3,0,1,0,0,1,0,0,0,0,699,6,15,7,0,7,17
0,-85.22017508,-85.22017508,7/22/17,9:00:00,9,2,0,1,0,1,0,0,0,0,0,85,5,28,23,0,7,12
0,-85.27150609,-85.27150609,12/16/17,7:00:00,7,2,0,1,0,0,1,0,0,0,0,131,5,20,21,0,7,22
0,-85.12736362,-85.12736362,4/8/17,8:00:00,8,2,0,1,0,1,0,0,0,0,0,510,5,36,12,0,7,17
0,-85.12736362,-85.12736362,7/15/17,7:00:00,7,2,0,1,0.001,0,1,0,0,0,0,510,5,36,12,0,7,17
0,-85.32628823,-85.32628823,8/12/17,11:00:00,11,3,0,1,0,0,1,0,0,0,0,527,5,8,11,0,0,2
0,-85.32628823,-85.32628823,2/26/17,12:00:00,12,3,0,1,0,1,0,0,0,0,0,527,6,8,11,0,0,2
0,-85.29569583,-85.29569583,8/12/17,8:00:00,8,2,0,1,0,0,0,0,1,0,0,353,5,14,15,0,7,16
0,-85.29569583,-85.29569583,1/7/17,16:00:00,16,4,0,1,0,1,0,0,0,0,0,353,5,14,15,0,7,16
0,-85.28060053,-85.28060053,1/1/17,22:00:00,22,1,0,1,0.06,0,0,1,0,0,1,659,6,13,8,0,7,17
0,-85.28060053,-85.28060053,8/23/17,12:00:00,12,3,1,0,0,0,1,0,0,0,0,659,2,13,8,0,7,17
0,-85.28060053,-85.28060053,3/30/17,11:00:00,11,3,1,0,0,0,1,0,0,0,0,659,3,13,8,0,7,17
0,-85.28060053,-85.28060053,6/2/17,10:00:00,10,3,1,0,0,1,0,0,0,0,0,659,4,13,8,0,7,17
0,-85.27703402,-85.27703402,2/22/17,10:00:00,10,3,1,0,0.003,0,0,1,0,0,0,33,2,21,25,0,7,18
0,-85.31183853,-85.31183853,3/27/17,12:00:00,12,3,1,0,0,0,1,0,0,0,0,529,0,10,11,0,7,12
0,-85.31183853,-85.31183853,11/4/17,5:00:00,5,2,0,1,0,0,0,0,1,0,0,529,5,10,11,0,7,12
0,-85.31183853,-85.31183853,1/29/17,9:00:00,9,2,0,1,0,0,1,0,0,0,0,529,6,10,11,0,7,12
0,-85.24029671,-85.24029671,12/10/17,11:00:00,11,3,0,1,0,1,0,0,0,0,0,233,6,23,18,0,7,26
0,-85.08329338,-85.08329338,2/5/17,8:00:00,8,2,0,1,0,0,1,0,0,0,0,427,6,43,14,0,0,2
0,-85.08329338,-85.08329338,5/21/17,18:00:00,18,1,0,1,0,0,1,0,0,0,0,427,6,43,14,0,0,2
0,-85.08329338,-85.08329338,5/14/17,9:00:00,9,2,0,1,0,1,0,0,0,0,0,427,6,43,14,0,0,2
0,-85.08329338,-85.08329338,12/31/17,12:00:00,12,3,0,1,0,0,1,0,0,0,0,427,6,43,14,0,0,2
0,-85.08329338,-85.08329338,1/15/17,10:00:00,10,3,0,1,0,0,1,0,0,0,0,427,6,43,14,0,0,2
0,-85.08329338,-85.08329338,8/27/17,18:00:00,18,1,0,1,0,0,1,0,0,0,0,427,6,43,14,0,0,2
0,-85.08329338,-85.08329338,10/1/17,20:00:00,20,1,0,1,0,1,0,0,0,0,0,427,6,43,14,0,0,2
