,Accident,Latitude,Longitude,Date,Time,Address,Route,Log_Mile,City,Event,Conditions,EventBefore,ConditionBefore,Hour,Temperature,Temp_Max,Temp_Min,Monthly_Avg_Temp,Daily_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type,Unix
1601,,35.1877793909,-85.2072232412,2019-03-06,23:12:48,,330D037001,0.099,,clear-night,Clear,clear-night,Clear,23,31.76,43.29,22.03,,,,15.35,0.5,3,2,10,0.16,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,11,2,19,,,26,15,
1600,,34.9891572331,-85.271488086,2019-03-06,22:52:00,,330B335001,0.184,,clear-night,Clear,clear-night,Clear,22,34.9,43.06,23.99,,,,15.5,0.45,3,2,3.02,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,1,2,25,2,2,12,4,19,,,18,15,
1599,,34.9922071716,-85.1852772499,2019-03-06,22:51:01,,330B840001,0.194,,clear-night,Clear,clear-night,Clear,22,33.71,43.88,24.55,,,,15.49,0.47,3,2,3.11,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,30,2,2,12,4,19,,,20,15,
1598,,35.0120042128,-85.1148437356,2019-03-06,20:52:38,,3304144001,0.547,,clear-night,Clear,clear-night,Clear,20,36.47,42.65,23.74,,,,11.31,0.35,3,2,6.5,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,0,2,35,2,2,18,2,16,1920,12,20,15,
1597,,35.0716948301,-85.2956831898,2019-03-06,20:50:18,,330A210001,0.172,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,20,38.01,42.96,23.2,,,,9.67,0.3,3,2,7.03,0.04,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,30,15,
1596,,35.1209789567,-85.1583100041,2019-03-06,20:49:48,,330D355001,0.062,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,20,37.44,42.8,23.12,,,,9.39,0.31,3,2,8.26,0.04,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,,2,,1,1,11,2,19,,,10,15,
1595,,35.1415586275,-85.3487062662,2019-03-06,20:38:54,,330C204001,0.025,,partly-cloudy-night,Mostly Cloudy,clear-night,Clear,20,34.64,39.16,20.83,,,,8.16,0.32,3,2,3.53,0.12,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,26,15,
1594,,35.1003142175,-85.1811061781,2019-03-06,20:22:08,,330D807001,0.068,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,20,38.19,42.89,23.3,,,,9.48,0.3,3,2,7.83,0.04,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,22,15,
1593,,35.0225886214,-85.1699079793,2019-03-06,20:21:40,,330C349001,0.005,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,20,37.59,43.78,24.35,,,,11.26,0.33,3,2,5.98,0.03,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,14,15,
1592,,35.0631179864,-85.254659175,2019-03-06,20:09:53,,330B514001,0.166,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,20,38.33,43.35,23.44,,,,9.84,0.3,3,2,6.54,0.04,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,22,15,
1591,,35.2144412665,-85.1870935004,2019-03-06,20:08:07,,330D173001,0.116,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,20,36.92,43.55,21.8,,,,8.99,0.31,3,2,10,0.17,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,,2,20,2,2,12,4,19,,,26,15,
1590,,35.1259273969,-85.3293086812,2019-03-06,20:03:44,,330C413001,1.84,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,20,35.32,39.34,21.17,,,,8.5,0.32,3,2,8.87,0.04,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,,2,25,2,2,12,4,19,,,18,15,
1589,,35.041467341,-85.2895661302,2019-03-06,19:44:08,,330A433001,0.375,,clear-night,Clear,clear-night,Clear,19,40.63,43.43,23.57,,,,9.36,0.27,3,2,5.95,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,30,2,2,12,4,19,,,34,15,
