BLM,ELM,County,Route,Sp. Case,Co. Seq.,Road_Name,Adm. Sys.,Gov. Cont.,Func. Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,Sp Systems 2,Sp Systems 3,State Aid Code,US Rte Nbr,US Rte Nbr 2,HPMS Sect ID,State Route Designation
0,1.481,33,948,0,1,HARRISON BAY RD,18,2,17,,52,22,,,33036,,,,
1.481,5.8,33,948,0,1,HARRISON BAY RD,18,2,17,,52,22,,,33036,,,3.30E+11,
0,0.239,33,951,0,1,THRASHER PK,18,4,16,272,52,22,,,33007,,,,
0.239,0.259,33,951,0,1,THRASHER PK,18,4,16,52,52,22,,,33007,,,,
0.259,1.067,33,951,0,1,THRASHER PK,18,4,16,272,52,22,,,33007,,,,
1.067,2.46,33,951,0,1,THRASHER PK,18,2,16,,52,22,,,33007,,,,
2.46,3.92,33,951,0,1,THRASHER PK,18,2,16,,52,22,,,33007,,,3.30E+11,
0,0.12,33,1122,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,,
0.12,0.37,33,1122,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,3.30E+11,
0.37,1.415,33,1122,0,1,SHALLOWFORD RD,18,4,16,52,52,,,,,,,,
1.415,2.17,33,1122,0,1,JENKINS RD,18,4,16,52,52,,,,,,,,
2.17,2.2,33,1122,0,1,STANDIFER GAP RD,18,4,16,52,52,22,,,33023,,,,
2.2,2.92,33,1122,0,1,STANDIFER GAP RD,18,2,16,,52,22,,,33023,,,,
2.92,3.99,33,1122,0,1,BILL REED RD,18,2,17,,52,22,,,33023,,,,
3.99,5.2,33,1122,0,1,BILL REED RD,18,2,17,,52,22,,,33023,,,3.30E+11,
5.2,5.685,33,1122,0,1,BILL REED RD,18,4,17,60,52,22,,,33023,,,3.30E+11,
0,0.05,33,1126,0,1,DALLAS HOLLOW RD,18,4,16,161,52,22,,,33010,,,,
0.05,2.11,33,1126,0,1,DALLAS HOLLOW RD,18,2,16,,52,22,,,33010,,,,
2.11,3.081,33,1126,0,1,SEQUOYAH RD,18,2,16,,52,22,,,33008,,,,
3.081,3.282,33,1126,0,1,SEQUOYAH RD,18,4,16,272,52,22,,,33008,,,,
3.282,3.394,33,1126,0,1,SEQUOYAH RD,18,2,16,,52,22,,,33008,,,,
3.394,5.15,33,1126,0,1,SEQUOYAH RD,18,4,16,272,52,22,,,33008,,,,
5.15,5.8,33,1126,0,1,DAYTON PK,18,4,16,272,52,22,,,33008,,,,
5.8,6.17,33,1126,0,1,DAYTON PK,18,4,16,272,52,22,,,33008,,,3.30E+11,
6.17,6.18,33,1126,0,1,DAYTON PK,18,4,16,272,52,22,,,33008,,,,
6.18,6.803,33,1126,0,1,MOUNTAIN RD,18,4,18,272,52,22,,,33012,,,,
6.803,9.37,33,1126,0,1,MOWBRAY PK,11,2,8,,,22,,,33012,,,,
9.37,9.386,33,1126,0,1,MOWBRAY PK,11,2,8,,,22,,,33013,,,,
9.386,9.61,33,1126,0,1,MONTLAKE RD,11,2,8,,,22,,,33013,,,,
9.61,13.76,33,1126,0,1,POE RD,11,2,8,,,22,,,33059,,,,
0,0.45,33,1128,0,1,HAMILTON LN,11,2,8,,,,,,,,,,
0,0.8,33,1143,0,1,E BRAINERD RD ,18,2,16,,52,22,,,33025,,,3.30E+11,
0.8,1.87,33,1143,0,1,E BRAINERD RD ,18,2,16,,52,22,,,33025,,,,
1.87,3.55,33,1143,0,1,E BRAINERD RD ,18,2,16,,52,22,,,33025,,,3.30E+11,
3.55,5.57,33,1143,0,1,E BRAINERD RD ,18,2,16,,52,22,,,33025,,,,
0,4.17,33,1145,0,1,OOLTEWAH-GEORGETOWN RD,18,2,16,,52,22,,,33029,,,,
4.17,6.657,33,1145,0,1,OOLTEWAH-GEORGETOWN RD,18,2,16,,52,,,,,,,,
6.657,6.88,33,1145,0,1,OOLTEWAH-GEORGETOWN RD,18,4,16,52,52,,,,,,,,
0,0.14,33,1147,0,1,MOUNTAIN CREEK RD,18,4,16,52,52,22,,,33002,,,,
0.14,0.64,33,1147,0,1,MOUNTAIN CREEK RD,18,4,16,52,52,22,,,33002,,,3.30E+11,
0.64,0.769,33,1147,0,1,W RD,18,4,16,52,52,22,,,33002,,,,
0.769,3.726,33,1147,0,1,W RD,18,2,16,,52,22,,,33002,,,,
3.726,3.88,33,1147,0,1,W RD,18,4,16,327,52,22,,,33002,,,,
3.88,4.15,33,1147,0,1,ANDERSON PK,18,4,16,327,52,22,,,33002,,,,
4.15,5.19,33,1147,0,1,WILSON AVE,18,4,16,327,52,22,,,33002,,,3.30E+11,
5.19,5.72,33,1147,0,1,WILSON AVE,18,4,16,327,52,22,,,33002,,,3.30E+11,
5.72,6.069,33,1147,0,1,WILSON AVE,18,4,16,327,52,22,,,33002,,,3.30E+11,
6.069,6.74,33,1147,0,1,SAWYER RD,18,4,16,327,52,22,,,33002,,,3.30E+11,
6.74,6.741,33,1147,0,1,SAWYER RD,18,4,16,327,52,22,,,33002,,,,
6.741,8.95,33,1147,0,1,SAWYER RD,18,2,16,,52,22,,,33002,,,3.30E+11,
8.95,11.87,33,1147,0,1,CORRAL RD,18,2,17,,52,22,,,33041,,,3.30E+11,
0,0.019,33,1149,0,1,ARMSTRONG RD,18,4,18,272,52,22,,,33040,,,,
0.019,2.967,33,1149,0,1,ARMSTRONG RD,11,2,8,,,22,,,33040,,,,
2.967,5.648,33,1149,0,1,LEE PK,11,2,8,,,22,,,33040,,,,
5.648,5.65,33,1149,0,1,SPRADLING RD,11,2,8,,,22,,,33040,,,,
5.65,6.59,33,1149,0,1,SPRADLING RD,11,2,8,,,22,,,33046,,,,
6.59,9.83,33,1149,0,1,MCCALLIE FERRY RD,11,2,8,,,22,,,33017,,,,
0,2.97,33,1151,0,1,DAUGHERTY FERRY RD,11,2,8,,,22,,,33021,,,,
2.97,4.45,33,1151,0,1,PROVIDENCE RD,11,2,8,,,22,,,33021,,,,
4.45,4.836,33,1151,0,1,TURNER RD,11,2,8,,,22,,,33021,,,,
4.836,6,33,1151,0,1,ANDY THOMAS RD,11,2,8,,,22,,,33021,,,,
0,0.12,33,1151,0,2,ANDY THOMAS RD,11,2,8,,,22,,,33021,,,,
0,3.12,33,1406,0,1,DAYTON BLVD  ,18,4,16,241,52,,,,,,,,
3.12,3.52,33,1406,0,1,DAYTON BLVD  ,18,4,16,241,52,,,,,,,3301S0290311,
3.52,5,33,1406,0,1,DAYTON BLVD  ,18,4,16,241,52,,,,,,,,
5,7.86,33,1406,0,1,DAYTON BLVD  ,18,4,16,52,52,,,,,,,,
0,0.61,33,1431,0,1,EDGMON RD,18,4,18,60,52,,,,,,,3.30E+11,
0.61,1.55,33,1431,0,1,EDGMON RD,18,4,18,60,52,22,,,33027,,,3.30E+11,
0,2.58,33,2154,0,1,STANDIFER GAP RD,18,2,16,,52,22,,,33024,,,,
2.58,4.373,33,2154,0,1,STANDIFER GAP RD,18,2,16,,52,22,,,33024,,,3.30E+11,
4.373,5.39,33,2154,0,1,STANDIFER GAP RD,18,4,16,60,52,22,,,33024,,,3.30E+11,
0,3.32,33,2156,0,1,SHORT TAIL SPRINGS RD,18,2,18,,52,22,,,33031,,,,
0,0.25,33,2158,0,1,SEQUOYAH ACCESS RD,18,2,16,,52,22,,,33008,,,,
0.25,2.26,33,2158,0,1,SEQUOYAH ACCESS RD,18,2,16,,52,22,,,33008,,,3.30E+11,
2.26,3.167,33,2158,0,1,SEQUOYAH ACCESS RD,18,2,16,,52,22,,,33008,,,3.30E+11,
3.167,3.18,33,2158,0,1,IGOU FERRY RD,18,2,16,,52,22,,,33049,,,3.30E+11,
3.18,4.26,33,2158,0,1,IGOU FERRY RD,18,2,18,,52,22,,,33049,,,,
0,5.27,33,2160,0,1,GRASSHOPPER RD,11,2,8,,,22,,,33034,,,,
5.27,6.04,33,2160,0,1,MEADOWVIEW RD,11,2,8,,,22,,,33034,,,,
0,0.128,33,2162,0,1,DAYTON PK,18,4,16,52,52,22,,,33008,,,,
0.128,4.96,33,2162,0,1,DAYTON PK,18,4,16,272,52,22,,,33008,,,,
0,0.55,33,2199,0,1,WAUHATCHIE PK,18,4,16,52,52,,,,,,,3.30E+11,
0.55,2.81,33,2199,0,1,WAUHATCHIE PK,18,4,16,52,52,,,,,,,,
0,1.94,33,2201,0,1,UNIVERSITY DR,18,4,16,60,52,22,,,33027,,,,
1.94,2.1,33,2201,0,1,UNIVERSITY DR,18,4,16,60,52,22,,,33027,,,3.30E+11,
0,5.43,33,2205,0,1,HUNTER RD,18,2,16,,52,22,,,33053,,,,
5.43,5.999,33,2205,0,1,HUNTER RD,18,4,16,52,52,22,,,33053,,,,
5.999,6.11,33,2205,0,1,HUNTER RD,18,2,16,,52,22,,,33053,,,,
6.11,6.12,33,2205,0,1,LEE HWY,18,2,16,,52,22,,,33053,,,,
6.12,6.28,33,2205,0,1,LEE HWY,18,4,16,52,52,22,,,33053,,,,
0,0.311,33,2207,0,1,SNOW HILL RD,18,2,16,,52,22,,,33029,,,,
0.311,0.35,33,2207,0,1,SNOW HILL RD,18,4,16,52,52,22,,,33029,,,,
0.35,0.371,33,2207,0,1,SNOW HILL RD,18,4,17,52,52,22,,,33030,,,,
0.371,6.13,33,2207,0,1,SNOW HILL RD,18,2,17,,52,22,,,33030,,,,
6.13,7.11,33,2207,0,1,SNOW HILL RD,18,2,17,,52,22,,,33030,,,3.30E+11,
0,0.4,33,2209,0,1,SIGNAL MOUNTAIN BLVD,18,4,17,266,52,,,,,,,,
0.4,0.43,33,2209,0,1,JAMES BLVD,18,4,17,266,52,,,,,,,,
0.43,0.89,33,2209,0,1,TIMBERLINKS DR,18,4,17,266,52,,,,,,,,
0.89,1.533,33,2209,0,1,TIMBERLINKS DR,18,4,17,266,52,,,,,,,3.30E+11,
1.533,2.99,33,2209,0,1,TIMBERLINKS DR,18,4,17,266,52,,,,,,,,
0,0.049,33,2211,0,1,OOLTEWAH-GEORGETOWN RD,18,2,16,,52,22,,,33029,,,,
0.049,0.064,33,2211,0,1,OOLTEWAH-GEORGETOWN RD,18,2,18,,52,22,,,33029,,,,
0.064,9.37,33,2211,0,1,OOLTEWAH-GEORGETOWN RD,11,2,8,,,22,,,33029,,,,
0,0.63,33,2213,0,1,CRABTREE RD,18,2,18,,52,22,,,33009,,,,
0,1.19,33,2215,0,1,HAMBY RD,18,2,18,,52,22,,,33011,,,3.30E+11,
0,3.737,33,2217,0,1,HOTWATER RD,11,2,8,,,22,,,33014,,,,
3.737,3.8,33,2217,0,1,HOTWATER RD,18,4,18,272,52,22,,,33014,,,,
3.8,4.07,33,2217,0,1,HOTWATER RD,18,4,18,272,52,22,,,33014,,,3.30E+11,
0,0.24,33,2219,0,1,TSATI TER,18,4,16,272,52,22,,,33015,,,,
0.24,0.91,33,2219,0,1,DAYTON  PK,18,4,16,272,52,22,,,33015,,,,
0.91,1.512,33,2219,0,1,DURHAM ST,18,4,16,272,52,22,,,33015,,,,
1.512,4.271,33,2219,0,1,BACK VALLEY RD,18,4,16,272,52,22,,,33015,,,3.30E+11,
4.271,4.294,33,2219,0,1,BACK VALLEY RD,18,2,16,,52,22,,,33015,,,3.30E+11,
4.294,5.908,33,2219,0,1,BACK VALLEY RD,11,2,8,,,22,,,33015,,,,
5.908,6.18,33,2219,0,1,RETRO-HUGHES RD,11,2,8,,,22,,,33015,,,,
0,5.45,33,2221,0,1,DOLLY POND RD,11,2,8,,,22,,,33033,,,,
0,2.52,33,2223,0,1,STORMER RD,11,2,8,,,22,,,33019,,,,
0,1.99,33,2227,0,1,SHIPLEY HOLLOW RD,11,2,8,,,22,,,33022,,,,
0,2.05,33,3542,0,1,N ACCESS RD,18,4,16,52,52,,,,,,,,
0,0.41,33,3546,0,1,FRAZIER AVE,18,4,16,52,52,,,,,,,,
0.41,0.42,33,3546,0,1,BARTON AVE,18,4,16,52,52,,,,,,,,
0.42,0.88,33,3546,0,1,BARTON AVE,16,4,16,52,52,30,,,,,,,
