BLM,ELM,ID_NUMBER,ROW ,No. Lns.,Spd_Limit,Terrain,Land_Use,Illum,Operation,AccCtrl,Sch Spd Limit,Truck Spd Limit
0,0.45,3301128001,40,1,-10,2,0,-10,2,0,-10,-10
0,0.108,330A002001,28,1,-10,2,7,1,2,0,-10,-10
0,0.103,330A005001,28,1,-10,2,7,1,2,0,-10,-10
0,0.058,330A010001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.041,330A011001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.352,330A012001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.12,330A036001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.12,330A038001,28,1,-10,2,7,1,2,0,-10,-10
0,0.119,330A041001,32,1,-10,2,7,1,2,0,-10,-10
0,0.082,330A045001,36,1,-10,2,7,1,2,0,-10,-10
0,0.105,330A115001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.155,330A125001,34,1,-10,2,7,1,2,0,-10,-10
0,0.161,330A127001,34,1,-10,2,7,1,2,0,-10,-10
0,0.096,330A155001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.23,330A205001,34,1,-10,2,7,1,2,0,-10,-10
0,0.124,330A225001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.25,330A228001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.152,330A242001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.253,330A255001,40,1,-10,2,4,1,1,0,-10,-10
0,0.192,330A278001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.053,330A289001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.05,330A292001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.131,330A305001,28,1,-10,2,7,1,2,0,-10,-10
0,0.068,330A315001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.296,330A325001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.04,330A331001,30,1,-10,2,2,-10,1,0,-10,-10
0,0.07,330A351001,24,1,30,2,2,1,2,0,-10,-10
0,0.084,330A405001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.055,330A418001,50,1,-10,2,4,1,1,0,-10,-10
0,0.1,330A459001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.025,330A551001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.098,330A608001,36,1,-10,2,7,1,2,0,-10,-10
0,0.086,330A711001,28,1,30,2,4,1,2,0,-10,-10
0,0.122,330A727001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.082,330A731001,36,1,-10,2,7,1,2,0,-10,-10
0,0.198,330A733001,41,1,30,2,7,1,2,0,-10,-10
0,0.153,330A735001,36,1,-10,2,7,1,2,0,-10,-10
0,0.121,330A736001,200,1,-10,2,5,1,2,0,-10,-10
0,0.206,330A744001,28,1,30,2,7,1,2,0,-10,-10
0,0.046,330A749001,28,1,-10,2,7,1,2,0,-10,-10
0,0.746,330A754001,32,1,-10,2,7,1,2,0,-10,-10
0,0.083,330A756001,34,1,-10,2,7,1,2,0,-10,-10
0,0.329,330A765001,36,1,-10,2,7,1,2,0,-10,-10
0,0.018,330A768001,36,1,-10,2,7,1,2,0,-10,-10
0,0.058,330A774001,24,1,30,2,7,1,2,0,-10,-10
0,0.07,330A814001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.089,330A839001,24,1,-10,2,7,1,2,0,-10,-10
0,0.09,330A853001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.11,330A868001,28,1,30,2,7,1,2,0,-10,-10
0,0.09,330A873001,72,1,-10,2,0,-10,2,0,-10,-10
0,0.071,330A969001,28,1,-10,2,7,1,2,0,-10,-10
0,0.1,330B010001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.18,330B038001,34,1,-10,2,7,-10,2,0,-10,-10
0,0.083,330B089001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.156,330B150001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.296,330B153001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.093,330B160001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.128,330B161001,36,1,-10,2,7,1,2,0,-10,-10
0,0.143,330B163001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.31,330B168001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.117,330B169001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.066,330B171001,32,1,-10,2,7,1,2,0,-10,-10
0,0.091,330B172001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.183,330B178001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.184,330B186001,34,1,-10,2,7,-10,2,0,-10,-10
0,0.187,330B199001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.265,330B200001,32,1,-10,2,7,1,2,0,-10,-10
0,0.341,330B290001,32,1,-10,2,7,1,2,0,-10,-10
0,0.053,330B292001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.06,330B293001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.084,330B300001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.08,330B317001,84,1,25,2,7,1,2,0,-10,-10
0,0.155,330B344001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.057,330B345001,24,1,-10,2,7,1,2,0,-10,-10
0,0.162,330B348001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.023,330B359001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.051,330B373001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.169,330B391001,36,1,-10,2,7,1,2,0,-10,-10
0,0.115,330B406001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.205,330B436001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.022,330B449001,36,1,-10,2,7,-10,2,0,-10,-10
