Accident,Log_Mile,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type
1,1.265,0,23.53,37.28,21.11,11.67,0.6,1,3,6.12,0.19,0,0,1,0,0,0,0,0,2,7,0,2,2,2,21,1,14,24,15
1,1.32,2,25.53,46.88,22.62,11.68,0.55,1,3,6.13,0.5,0,0,0,1,0,0,0,0,1,0,2,2,4,4,2,1,11,24,15
1,0.62,2,25.53,46.87,22.58,11.68,0.55,1,3,6.09,0.49,0,0,0,1,0,0,0,0,1,2,2,2,6,7,2,1,11,36,15
1,0.62,2,25.53,46.87,22.58,11.68,0.55,1,3,6.09,0.49,0,0,0,1,0,0,0,0,1,2,2,2,6,7,2,1,11,36,15
1,0.036,3,25.51,46.79,22.88,10.35,0.52,1,3,3.48,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,18,15
1,0.616,6,23.73,46.77,22.52,8.66,0.52,1,3,5.89,0.5,0,0,0,1,0,0,0,0,2,2,0,2,2,2,21,1,14,24,15
1,2.603,6,22.47,45.82,21.62,7.12,0.51,1,3,10,0.53,0,0,0,1,0,0,0,0,2,7,0,2,2,2,11,2,19,18,15
1,2.66,6,22.45,45.8,21.61,7.12,0.51,1,3,10,0.53,0,0,0,1,0,0,0,0,2,7,0,2,2,2,11,2,19,18,15
1,6.149,7,22.71,46.25,21.82,9.64,0.57,1,3,6.49,0.5,0,0,0,1,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15
1,1.222,7,19.59,43.27,19.33,8.42,0.61,1,3,2.9,0.5,0,0,0,1,0,0,0,0,2,7,0,2,2,2,21,1,16,22,15
1,3.198,7,23.12,46.66,22.44,9.29,0.55,1,3,5.92,0.49,0,0,0,1,0,0,0,0,2,2,2,2,6,7,2,1,11,48,18
1,0.896,8,22.55,46.42,22.55,8.44,0.54,1,3,2.85,0.5,0,0,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15
1,0.223,8,22.69,46.84,22.69,8.61,0.54,1,3,3.06,0.51,0,0,1,0,0,0,0,0,2,2,0,2,3,4,18,4,16,36,15
1,0.072,8,22.66,46.81,22.66,8.61,0.54,1,3,3.05,0.51,0,0,1,0,0,0,0,0,2,2,0,1,2,2,18,4,17,24,15
1,12.555,8,22.37,46.55,22.37,9.03,0.56,1,3,3.77,0.5,0,0,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18
1,0.035,9,25.09,46.73,22.82,7.31,0.46,1,3,2.67,0.5,0,0,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,20,15
