OBJECTID,ORIG_FID,POINT_X,POINT_Y
1,0,-85.4000000000999,34.9899999996003
2,0,-85.4000000000999,34.9963999997602
3,0,-85.3920454543342,34.9963999997602
4,0,-85.3920454543342,34.9899999996003
5,0,-85.4000000000999,34.9899999996003
6,1,-85.3920454543342,34.9899999996003
7,1,-85.3920454543342,34.9963999997602
8,1,-85.3840909094679,34.9963999997602
9,1,-85.3840909094679,34.9899999996003
10,1,-85.3920454543342,34.9899999996003
11,2,-85.3840909094679,34.9899999996003
12,2,-85.3840909094679,34.9963999997602
13,2,-85.3761363637022,34.9963999997602
14,2,-85.3761363637022,34.9899999996003
15,2,-85.3840909094679,34.9899999996003
16,3,-85.3761363637022,34.9899999996003
17,3,-85.3761363637022,34.9963999997602
18,3,-85.3681818179365,34.9963999997602
19,3,-85.3681818179365,34.9899999996003
20,3,-85.3761363637022,34.9899999996003
21,4,-85.3681818179365,34.9899999996003
22,4,-85.3681818179365,34.9963999997602
23,4,-85.3602272730702,34.9963999997602
24,4,-85.3602272730702,34.9899999996003
25,4,-85.3681818179365,34.9899999996003
26,5,-85.3602272730702,34.9899999996003
27,5,-85.3602272730702,34.9963999997602
28,5,-85.3522727273045,34.9963999997602
29,5,-85.3522727273045,34.9899999996003
30,5,-85.3602272730702,34.9899999996003
31,6,-85.3522727273045,34.9899999996003
32,6,-85.3522727273045,34.9963999997602
33,6,-85.3443181815388,34.9963999997602
34,6,-85.3443181815388,34.9899999996003
35,6,-85.3522727273045,34.9899999996003
36,7,-85.3443181815388,34.9899999996003
37,7,-85.3443181815388,34.9963999997602
38,7,-85.3363636366725,34.9963999997602
39,7,-85.3363636366725,34.9899999996003
40,7,-85.3443181815388,34.9899999996003
41,8,-85.3363636366725,34.9899999996003
42,8,-85.3363636366725,34.9963999997602
43,8,-85.3284090909068,34.9963999997602
44,8,-85.3284090909068,34.9899999996003
45,8,-85.3363636366725,34.9899999996003
46,9,-85.3284090909068,34.9899999996003
47,9,-85.3284090909068,34.9963999997602
48,9,-85.3204545451411,34.9963999997602
49,9,-85.3204545451411,34.9899999996003
50,9,-85.3284090909068,34.9899999996003
51,10,-85.3204545451411,34.9899999996003
52,10,-85.3204545451411,34.9963999997602
53,10,-85.3125000002748,34.9963999997602
54,10,-85.3125000002748,34.9899999996003
55,10,-85.3204545451411,34.9899999996003
56,11,-85.3125000002748,34.9899999996003
57,11,-85.3125000002748,34.9963999997602
58,11,-85.3045454545091,34.9963999997602
59,11,-85.3045454545091,34.9899999996003
60,11,-85.3125000002748,34.9899999996003
61,12,-85.3045454545091,34.9899999996003
62,12,-85.3045454545091,34.9963999997602
63,12,-85.2965909087434,34.9963999997602
64,12,-85.2965909087434,34.9899999996003
65,12,-85.3045454545091,34.9899999996003
66,13,-85.2965909087434,34.9899999996003
67,13,-85.2965909087434,34.9963999997602
68,13,-85.2886363638771,34.9963999997602
69,13,-85.2886363638771,34.9899999996003
70,13,-85.2965909087434,34.9899999996003
71,14,-85.2886363638771,34.9899999996003
72,14,-85.2886363638771,34.9963999997602
73,14,-85.2806818181114,34.9963999997602
74,14,-85.2806818181114,34.9899999996003
75,14,-85.2886363638771,34.9899999996003
76,15,-85.2806818181114,34.9899999996003
77,15,-85.2806818181114,34.9963999997602
78,15,-85.2727272723457,34.9963999997602
79,15,-85.2727272723457,34.9899999996003
80,15,-85.2806818181114,34.9899999996003
81,16,-85.2727272723457,34.9899999996003
82,16,-85.2727272723457,34.9963999997602
83,16,-85.2647727274793,34.9963999997602
84,16,-85.2647727274793,34.9899999996003
85,16,-85.2727272723457,34.9899999996003
86,17,-85.2647727274793,34.9899999996003
87,17,-85.2647727274793,34.9963999997602
88,17,-85.2568181817137,34.9963999997602
89,17,-85.2568181817137,34.9899999996003
90,17,-85.2647727274793,34.9899999996003
91,18,-85.2568181817137,34.9899999996003
92,18,-85.2568181817137,34.9963999997602
93,18,-85.248863635948,34.9963999997602
94,18,-85.248863635948,34.9899999996003
95,18,-85.2568181817137,34.9899999996003
96,19,-85.248863635948,34.9899999996003
97,19,-85.248863635948,34.9963999997602
98,19,-85.2409090910817,34.9963999997602
99,19,-85.2409090910817,34.9899999996003
100,19,-85.248863635948,34.9899999996003
101,20,-85.2409090910817,34.9899999996003
102,20,-85.2409090910817,34.9963999997602
103,20,-85.232954545316,34.9963999997602
104,20,-85.232954545316,34.9899999996003
105,20,-85.2409090910817,34.9899999996003
106,21,-85.232954545316,34.9899999996003
107,21,-85.232954545316,34.9963999997602
108,21,-85.2250000004496,34.9963999997602
109,21,-85.2250000004496,34.9899999996003
110,21,-85.232954545316,34.9899999996003
111,22,-85.2249999995503,34.9899999996003
112,22,-85.2249999995503,34.9963999997602
113,22,-85.217045454684,34.9963999997602
114,22,-85.217045454684,34.9899999996003
115,22,-85.2249999995503,34.9899999996003
116,23,-85.217045454684,34.9899999996003
117,23,-85.217045454684,34.9963999997602
118,23,-85.2090909089183,34.9963999997602
119,23,-85.2090909089183,34.9899999996003
120,23,-85.217045454684,34.9899999996003
121,24,-85.2090909089183,34.9899999996003
122,24,-85.2090909089183,34.9963999997602
123,24,-85.2011363640519,34.9963999997602
124,24,-85.2011363640519,34.9899999996003
125,24,-85.2090909089183,34.9899999996003
126,25,-85.2011363640519,34.9899999996003
127,25,-85.2011363640519,34.9963999997602
128,25,-85.1931818182862,34.9963999997602
129,25,-85.1931818182862,34.9899999996003
130,25,-85.2011363640519,34.9899999996003
131,26,-85.1931818182862,34.9899999996003
132,26,-85.1931818182862,34.9963999997602
133,26,-85.1852272725206,34.9963999997602
134,26,-85.1852272725206,34.9899999996003
135,26,-85.1931818182862,34.9899999996003
136,27,-85.1852272725206,34.9899999996003
137,27,-85.1852272725206,34.9963999997602
138,27,-85.1772727276542,34.9963999997602
139,27,-85.1772727276542,34.9899999996003
140,27,-85.1852272725206,34.9899999996003
141,28,-85.1772727276542,34.9899999996003
142,28,-85.1772727276542,34.9963999997602
143,28,-85.1693181818886,34.9963999997602
144,28,-85.1693181818886,34.9899999996003
145,28,-85.1772727276542,34.9899999996003
146,29,-85.1693181818886,34.9899999996003
147,29,-85.1693181818886,34.9963999997602
148,29,-85.1613636361229,34.9963999997602
149,29,-85.1613636361229,34.9899999996003
150,29,-85.1693181818886,34.9899999996003
151,30,-85.1613636361229,34.9899999996003
152,30,-85.1613636361229,34.9963999997602
153,30,-85.1534090912565,34.9963999997602
154,30,-85.1534090912565,34.9899999996003
155,30,-85.1613636361229,34.9899999996003
156,31,-85.1534090912565,34.9899999996003
157,31,-85.1534090912565,34.9963999997602
158,31,-85.1454545454908,34.9963999997602
159,31,-85.1454545454908,34.9899999996003
160,31,-85.1534090912565,34.9899999996003
161,32,-85.1454545454908,34.9899999996003
162,32,-85.1454545454908,34.9963999997602
163,32,-85.1374999997251,34.9963999997602
164,32,-85.1374999997251,34.9899999996003
165,32,-85.1454545454908,34.9899999996003
166,33,-85.1374999997251,34.9899999996003
167,33,-85.1374999997251,34.9963999997602
168,33,-85.1295454548588,34.9963999997602
169,33,-85.1295454548588,34.9899999996003
170,33,-85.1374999997251,34.9899999996003
171,34,-85.1295454548588,34.9899999996003
172,34,-85.1295454548588,34.9963999997602
173,34,-85.1215909090931,34.9963999997602
174,34,-85.1215909090931,34.9899999996003
175,34,-85.1295454548588,34.9899999996003
176,35,-85.1215909090931,34.9899999996003
177,35,-85.1215909090931,34.9963999997602
178,35,-85.1136363633275,34.9963999997602
179,35,-85.1136363633275,34.9899999996003
180,35,-85.1215909090931,34.9899999996003
181,36,-85.1136363633275,34.9899999996003
182,36,-85.1136363633275,34.9963999997602
183,36,-85.1056818184611,34.9963999997602
184,36,-85.1056818184611,34.9899999996003
185,36,-85.1136363633275,34.9899999996003
186,37,-85.1056818184611,34.9899999996003
187,37,-85.1056818184611,34.9963999997602
188,37,-85.0977272726955,34.9963999997602
189,37,-85.0977272726955,34.9899999996003
190,37,-85.1056818184611,34.9899999996003
191,38,-85.0977272726955,34.9899999996003
192,38,-85.0977272726955,34.9963999997602
193,38,-85.0897727269298,34.9963999997602
194,38,-85.0897727269298,34.9899999996003
195,38,-85.0977272726955,34.9899999996003
196,39,-85.0897727269298,34.9899999996003
197,39,-85.0897727269298,34.9963999997602
198,39,-85.0818181820634,34.9963999997602
199,39,-85.0818181820634,34.9899999996003
200,39,-85.0897727269298,34.9899999996003
201,40,-85.0818181820634,34.9899999996003
202,40,-85.0818181820634,34.9963999997602
203,40,-85.0738636362977,34.9963999997602
204,40,-85.0738636362977,34.9899999996003
205,40,-85.0818181820634,34.9899999996003
206,41,-85.0738636362977,34.9899999996003
207,41,-85.0738636362977,34.9963999997602
208,41,-85.0659090905321,34.9963999997602
209,41,-85.0659090905321,34.9899999996003
210,41,-85.0738636362977,34.9899999996003
211,42,-85.0659090905321,34.9899999996003
212,42,-85.0659090905321,34.9963999997602
213,42,-85.0579545456657,34.9963999997602
214,42,-85.0579545456657,34.9899999996003
215,42,-85.0659090905321,34.9899999996003
216,43,-85.0579545456657,34.9899999996003
217,43,-85.0579545456657,34.9963999997602
218,43,-85.0499999999,34.9963999997602
219,43,-85.0499999999,34.9899999996003
220,43,-85.0579545456657,34.9899999996003
221,44,-85.4000000000999,34.9963999997602
222,44,-85.4000000000999,35.0027999999201
223,44,-85.3920454543342,35.0027999999201
224,44,-85.3920454543342,34.9963999997602
225,44,-85.4000000000999,34.9963999997602
226,45,-85.3920454543342,34.9963999997602
227,45,-85.3920454543342,35.0027999999201
228,45,-85.3840909094679,35.0027999999201
229,45,-85.3840909094679,34.9963999997602
230,45,-85.3920454543342,34.9963999997602
231,46,-85.3840909094679,34.9963999997602
232,46,-85.3840909094679,35.0027999999201
233,46,-85.3761363637022,35.0027999999201
234,46,-85.3761363637022,34.9963999997602
235,46,-85.3840909094679,34.9963999997602
236,47,-85.3761363637022,34.9963999997602
237,47,-85.3761363637022,35.0027999999201
238,47,-85.3681818179365,35.0027999999201
239,47,-85.3681818179365,34.9963999997602
240,47,-85.3761363637022,34.9963999997602
241,48,-85.3681818179365,34.9963999997602
242,48,-85.3681818179365,35.0027999999201
243,48,-85.3602272730702,35.0027999999201
244,48,-85.3602272730702,34.9963999997602
245,48,-85.3681818179365,34.9963999997602
246,49,-85.3602272730702,34.9963999997602
247,49,-85.3602272730702,35.0027999999201
248,49,-85.3522727273045,35.0027999999201
249,49,-85.3522727273045,34.9963999997602
250,49,-85.3602272730702,34.9963999997602
251,50,-85.3522727273045,34.9963999997602
252,50,-85.3522727273045,35.0027999999201
253,50,-85.3443181815388,35.0027999999201
254,50,-85.3443181815388,34.9963999997602
255,50,-85.3522727273045,34.9963999997602
256,51,-85.3443181815388,34.9963999997602
257,51,-85.3443181815388,35.0027999999201
258,51,-85.3363636366725,35.0027999999201
259,51,-85.3363636366725,34.9963999997602
260,51,-85.3443181815388,34.9963999997602
261,52,-85.3363636366725,34.9963999997602
262,52,-85.3363636366725,35.0027999999201
263,52,-85.3284090909068,35.0027999999201
264,52,-85.3284090909068,34.9963999997602
265,52,-85.3363636366725,34.9963999997602
266,53,-85.3284090909068,34.9963999997602
267,53,-85.3284090909068,35.0027999999201
268,53,-85.3204545451411,35.0027999999201
269,53,-85.3204545451411,34.9963999997602
270,53,-85.3284090909068,34.9963999997602
271,54,-85.3204545451411,34.9963999997602
272,54,-85.3204545451411,35.0027999999201
273,54,-85.3125000002748,35.0027999999201
274,54,-85.3125000002748,34.9963999997602
275,54,-85.3204545451411,34.9963999997602
276,55,-85.3125000002748,34.9963999997602
277,55,-85.3125000002748,35.0027999999201
278,55,-85.3045454545091,35.0027999999201
279,55,-85.3045454545091,34.9963999997602
280,55,-85.3125000002748,34.9963999997602
281,56,-85.3045454545091,34.9963999997602
282,56,-85.3045454545091,35.0027999999201
283,56,-85.2965909087434,35.0027999999201
284,56,-85.2965909087434,34.9963999997602
285,56,-85.3045454545091,34.9963999997602
286,57,-85.2965909087434,34.9963999997602
287,57,-85.2965909087434,35.0027999999201
288,57,-85.2886363638771,35.0027999999201
289,57,-85.2886363638771,34.9963999997602
290,57,-85.2965909087434,34.9963999997602
291,58,-85.2886363638771,34.9963999997602
292,58,-85.2886363638771,35.0027999999201
293,58,-85.2806818181114,35.0027999999201
294,58,-85.2806818181114,34.9963999997602
295,58,-85.2886363638771,34.9963999997602
296,59,-85.2806818181114,34.9963999997602
297,59,-85.2806818181114,35.0027999999201
298,59,-85.2727272723457,35.0027999999201
299,59,-85.2727272723457,34.9963999997602
300,59,-85.2806818181114,34.9963999997602
301,60,-85.2727272723457,34.9963999997602
302,60,-85.2727272723457,35.0027999999201
303,60,-85.2647727274793,35.0027999999201
