Split,Test,TP,TN,FP,FN,Accuracy,Precision,Recall,FPR,Specificity,Difference
50-50,4,10,1694,349,35,0.82,0.03,0.25,0.17,0.83,0.08
50-50,2,6,1877,166,39,0.9,0.04,0.14,0.08,0.92,0.06
50-50,5,18,1283,760,27,0.62,0.02,0.42,0.37,0.63,0.05
50-50,1,12,1559,484,33,0.75,0.03,0.28,0.24,0.76,0.04
90-10,1,15,1428,615,30,0.69,0.02,0.33,0.3,0.7,0.03
75-25,1,8,1657,386,37,0.8,0.02,0.21,0.19,0.81,0.02
50-50,3,5,1806,237,40,0.87,0.02,0.13,0.12,0.88,0.01
75-25,4,30,677,1367,15,0.34,0.02,0.68,0.67,0.33,0.01
75-25,3,2,1981,63,43,0.95,0.02,0.04,0.03,0.97,0.01
90-10,5,1,2027,17,44,0.97,0.01,0.02,0.01,0.99,0.01
90-10,2,1,2000,40,47,0.96,0,0.02,0.02,0.98,0
90-10,3,0,2031,13,44,0.97,0.04,0.01,0.01,0.99,0
90-10,4,1,2011,32,44,0.96,0.03,0.02,0.02,0.98,0
75-25,5,0,2011,33,44,0.96,0,0.01,0.02,0.98,-0.01
75-25,2,25,843,1200,20,0.42,0.02,0.57,0.59,0.41,-0.02
