Date,Split,Test,TP,TN,FP,FN,Accuracy,Precision,Recall,FPR,Specificity,Difference,Positives,Negatives,Total
1/23/20,75-25,1,41,2364,348,23,0.866354467,0.105398458,0.640625,0.128318584,0.871681416,0.512306416,64,2712,2776
1/23/20,50-50,1,55,1607,1105,9,0.59870317,0.047413793,0.859375,0.407448378,0.592551622,0.452,64,2712,2776
1/23/20,50-50,2,59,1284,1428,5,0.483789625,0.039677202,0.921875,0.526548673,0.473451327,0.395,64,2712,2776
1/23/20,75-25,2,30,2253,459,34,0.82240634,0.061349693,0.46875,0.169247788,0.830752212,0.299502212,64,2712,2776
1/25/20,75-25,1,15,1399,660,14,0.677203065,0.022222222,0.517241379,0.320543953,0.679456047,0.196697426,29,2059,2088
1/25/20,50-50,2,7,1933,126,22,0.929118774,0.052631579,0.24137931,0.061194755,0.938805245,0.180184555,29,2059,2088
1/25/20,50-50,1,9,1762,297,20,0.848180077,0.029411765,0.310344828,0.144244779,0.855755221,0.166100049,29,2059,2088
1/19/20,90-10,1,18,1199,858,13,0.582854406,0.020547945,0.580645161,0.417112299,0.582887701,0.163532862,31,2057,2088
1/19/20,50-50,1,12,1575,482,19,0.760057471,0.024291498,0.387096774,0.234321828,0.765678172,0.152774946,31,2057,2088
1/19/20,50-50,2,6,1933,124,25,0.928639847,0.046153846,0.193548387,0.060281964,0.939718036,0.133266423,31,2057,2088
1/19/20,75-25,1,8,1758,299,23,0.845785441,0.026058632,0.258064516,0.145357316,0.854642684,0.1127072,31,2057,2088
1/21/20,50-50,1,11,1745,295,37,0.840996169,0.035947712,0.229166667,0.144607843,0.855392157,0.084558824,48,2040,2088
1/25/20,90-10,1,5,1844,215,24,0.885536398,0.022727273,0.172413793,0.104419621,0.895580379,0.067994172,29,2059,2088
1/22/20,90-10,1,10,1775,258,45,0.854885057,0.037313433,0.181818182,0.12690605,0.87309395,0.05491213,55,2033,2088
1/20/20,75-25,2,23,1051,994,20,0.514367816,0.022615536,0.534883721,0.48606357,0.51393643,0.048820151,43,2045,2088
1/25/20,75-25,2,23,526,1533,6,0.262931034,0.014781491,0.793103448,0.744536183,0.255463817,0.048567265,29,2059,2088
1/21/20,75-25,2,26,1033,1007,22,0.507183908,0.025169409,0.541666667,0.493627451,0.506372549,0.048039216,48,2040,2088
1/24/20,50-50,2,5,1933,93,57,0.92816092,0.051020408,0.080645161,0.045903258,0.954096742,0.034741903,62,2026,2088
1/21/20,50-50,2,2,1986,54,46,0.95210728,0.035714286,0.041666667,0.026470588,0.973529412,0.015196079,48,2040,2088
1/23/20,90-10,2,1,2707,5,63,0.975504323,0.166666667,0.015625,0.001843658,0.998156342,0.013781342,64,2712,2776
1/24/20,90-10,1,23,1300,726,39,0.63362069,0.03070761,0.370967742,0.35834156,0.64165844,0.012626182,62,2026,2088
1/20/20,90-10,2,4,1863,182,39,0.894157088,0.021505376,0.093023256,0.088997555,0.911002445,0.004025701,43,2045,2088
1/20/20,50-50,2,3,1902,143,40,0.912356322,0.020547945,0.069767442,0.06992665,0.93007335,-0.000159208,43,2045,2088
1/19/20,90-10,2,0,2056,1,31,0.98467433,0,0,0.000486145,0.999513855,-0.000486145,31,2057,2088
1/21/20,90-10,2,0,2038,2,48,0.97605364,0,0,0.000980392,0.999019608,-0.000980392,48,2040,2088
1/24/20,90-10,2,0,2021,5,62,0.967911877,0,0,0.002467917,0.997532083,-0.002467917,62,2026,2088
1/22/20,90-10,2,0,2022,11,55,0.968390805,0,0,0.005410723,0.994589277,-0.00541072,55,2033,2088
1/22/20,50-50,2,12,1577,456,43,0.761015326,0.025641026,0.218181818,0.224299065,0.775700935,-0.00611725,55,2033,2088
1/24/20,50-50,1,20,1359,667,42,0.660440613,0.029112082,0.322580645,0.329220138,0.670779862,-0.006639493,62,2026,2088
1/22/20,75-25,1,8,1722,311,47,0.828544061,0.02507837,0.145454545,0.152975898,0.847024102,-0.00752135,55,2033,2088
1/20/20,50-50,1,13,1403,642,30,0.67816092,0.019847328,0.302325581,0.31393643,0.68606357,-0.011610849,43,2045,2088
1/21/20,90-10,1,21,1117,923,27,0.545019157,0.022245763,0.4375,0.45245098,0.54754902,-0.01495098,48,2040,2088
1/24/20,75-25,1,8,1666,360,54,0.801724138,0.02173913,0.129032258,0.17769003,0.82230997,-0.048657772,62,2026,2088
1/23/20,90-10,1,39,924,1788,25,0.346902017,0.02134647,0.609375,0.659292035,0.340707965,-0.049917035,64,2712,2776
1/21/20,75-25,1,5,1724,316,43,0.828065134,0.015576324,0.104166667,0.154901961,0.845098039,-0.050735294,48,2040,2088
1/24/20,75-25,2,27,1037,989,35,0.509578544,0.026574803,0.435483871,0.488153998,0.511846002,-0.052670127,62,2026,2088
1/20/20,75-25,1,5,1673,372,38,0.803639847,0.013262599,0.11627907,0.18190709,0.81809291,-0.06562802,43,2045,2088
1/22/20,75-25,2,31,733,1300,24,0.365900383,0.023290759,0.563636364,0.63944909,0.36055091,-0.07581273,55,2033,2088
1/19/20,75-25,2,18,678,1379,13,0.333333333,0.012884753,0.580645161,0.670393777,0.329606223,-0.089748616,31,2057,2088
1/20/20,90-10,1,11,1333,712,32,0.643678161,0.015214385,0.255813953,0.348166259,0.651833741,-0.092352306,43,2045,2088
1/22/20,50-50,1,8,1512,521,47,0.727969349,0.015122873,0.145454545,0.25627152,0.74372848,-0.11081697,55,2033,2088
