Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
5/30/2019 9:51:57 PM,5/30/2019 10:54:36 PM,E Brainerd Rd / Lee Hwy,CHATTANOOGA,35017752,85205773,ACC2-MVC No Injuries
5/30/2019 9:48:44 PM,5/30/2019 10:34:54 PM,1800 - 1899 Chestnut St,CHATTANOOGA,35036717,85314327,ACC2-MVC No Injuries
5/30/2019 9:40:09 PM,5/30/2019 9:46:36 PM,Cowart St / W Main St,CHATTANOOGA,35037223,85310238,ACC1-MVC Injuries
5/30/2019 9:40:08 PM,5/30/2019 9:53:07 PM,Cowart St / W Main St,CHATTANOOGA,35037223,85310238,ACC1-MVC Injuries
5/30/2019 9:26:21 PM,5/30/2019 11:28:04 PM,1070 Appling St,CHATTANOOGA,35071196,85264245,ACC2-MVC No Injuries
5/30/2019 9:21:06 PM,5/30/2019 9:21:42 PM,306 W Main St,CHATTANOOGA,35037150,85310440,ACC3-MVC Unknown Injuries
5/30/2019 9:21:01 PM,5/30/2019 11:03:09 PM,Cowart St / W Main St,CHATTANOOGA,35037223,85310238,ACC1-MVC Injuries
5/30/2019 9:03:53 PM,5/30/2019 9:21:41 PM,1265 E 3rd St,CHATTANOOGA,35044354,85280186,ACC2-MVC No Injuries
5/30/2019 8:54:14 PM,5/30/2019 9:41:20 PM,50 HIGHWAY 153 SB,CHATTANOOGA,35029448,85179725,ACC2-MVC No Injuries
5/30/2019 8:53:10 PM,5/30/2019 8:56:26 PM,10 - 19 Exit 4a Off Ramp Nb,CHATTANOOGA,35031244,85167529,ACC3-MVC Unknown Injuries
5/30/2019 8:01:32 PM,5/30/2019 9:27:08 PM,5501 HIGHWAY 153,CHATTANOOGA,35142003,85249412,ACC2-MVC No Injuries
5/30/2019 7:46:22 PM,5/30/2019 8:52:02 PM,4003 Ringgold Rd,EAST RIDGE,34997820,85249698,ACC2-MVC No Injuries
5/30/2019 7:38:51 PM,5/30/2019 8:09:46 PM,5908 Lake Resort Ter,CHATTANOOGA,35110038,85211813,ACCDEL-MVC Delayed
5/30/2019 7:09:29 PM,5/30/2019 7:53:54 PM,1-9 EXIT W 4TH ST ON RAMP SB,CHATTANOOGA,35052285,85313382,ACC2-MVC No Injuries
5/30/2019 6:32:15 PM,5/30/2019 6:32:39 PM,2508 O Rear St,CHATTANOOGA,35066270,85250697,ACCDEL-MVC Delayed
5/30/2019 6:15:19 PM,5/30/2019 6:33:54 PM,E 3rd St / Cherry St,CHATTANOOGA,35053533,85308618,ACC2-MVC No Injuries
5/30/2019 5:44:50 PM,5/30/2019 6:35:23 PM,6506 BONNY OAKS DR,CHATTANOOGA,35072902,85162291,ACC2-MVC No Injuries
5/30/2019 5:43:53 PM,5/30/2019 7:42:09 PM,1503 Arlington Ave,CHATTANOOGA,35052803,85258545,ACC2-MVC No Injuries
5/30/2019 5:29:11 PM,5/30/2019 5:48:50 PM,1332-1399 Hickory Valley Rd,CHATTANOOGA,35019590,85180550,ACC1-MVC Injuries
5/30/2019 5:29:10 PM,5/30/2019 6:41:07 PM,1332-1399 Hickory Valley Rd,CHATTANOOGA,35019590,85180550,ACC1-MVC Injuries
5/30/2019 5:28:46 PM,5/30/2019 6:22:57 PM,1330 HICKORY VALLEY RD,CHATTANOOGA,35019229,85180704,ACC1-MVC Injuries
5/30/2019 5:27:30 PM,5/30/2019 5:29:41 PM,3200 Wilcox Blvd,CHATTANOOGA,35047966,85243053,ACC2-MVC No Injuries
5/30/2019 5:27:11 PM,5/30/2019 6:02:17 PM,5706 Lee Hwy,CHATTANOOGA,35018106,85204179,ACC2-MVC No Injuries
