Index,Accident,Problem,Latitude,Longitude,Date,Time,Address,Route,Log_Mile,City,Event,Conditions,EventBefore,ConditionBefore,Hour,Temperature,Temp_Max,Temp_Min,Monthly_Avg_Temp,Daily_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type
16,,No Injuries,35.038583,-85.284632,2019-05-13,17:25:31,1200 DUNCAN AVE,330A484001,0.062,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,17,69.18,69.18,56.64,,,,46.06,0.44,5,0,6.92,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,30,15
17,,No Injuries,35.03704,-85.30703,2019-05-13,17:15:47,1400 Market St,33SR027001,4.62,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,17,69.19,69.19,56.64,,,,46.12,0.44,5,0,6.79,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,35,4,4,21,1,16,15880,11,48,15
18,,No Injuries,35.110889,-85.283221,2019-05-13,17:08:44,427 Intermont Dr,330A051001,0.044,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,17,68.55,68.55,55.65,,,,45.88,0.44,5,0,7.34,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,16,15
19,,No Injuries,35.036,-85.309719,2019-05-13,16:32:22,200 W 16th St,330D677001,0.065,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,16,68.47,69.19,56.65,,,,45.94,0.44,5,0,6.58,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,28,15
20,,Unknown Injuries,35.082507,-85.059939,2019-05-13,16:14:27,5974 Elementary Way,33SR002001,21.073,COLLEGEDALE,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,16,67.97,68.97,55.62,,,,46.8,0.47,5,0,8.24,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,2,0,0,2,45,4,4,21,1,16,31020,10,24,15
21,,Unknown Injuries,35.083266,-85.059978,2019-05-13,16:14:05,9230 LEE HWY,33SR002001,21.05,COLLEGEDALE,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,16,67.97,68.97,55.61,,,,46.8,0.47,5,0,8.24,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,2,0,0,2,45,4,4,21,1,16,31020,10,24,15
22,,No Injuries,35.052295,-85.310664,2019-05-13,15:52:15,400 Broad St,3303561001,0.454,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,clear-night,Clear,15,67.62,68.73,56.68,,,,45.5,0.45,5,0,2.52,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,30,6,6,18,4,16,9160,13,36,15
23,,No Injuries,35.093487,-85.06273,2019-05-13,14:17:04,6123 Mountain View Rd,3302207001,0.787,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,14,67.16,68.99,55.58,,,,47.06,0.48,5,0,8,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,0,0,,2,40,2,2,18,2,17,7520,12,22,15
24,,No Injuries,35.093487,-85.06273,2019-05-13,14:16:44,6123 Mountain View Rd,3302207001,0.787,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,14,67.16,68.99,55.58,,,,47.06,0.48,5,0,8,0.56,NA,0,0.0001,1557727200,0,1,0,0,0,0,2,0,0,,2,40,2,2,18,2,17,7520,12,22,15
25,,Delayed,35.047807,-85.31414,2019-05-13,14:05:43,120 Highway 27 Nb,33I0124001,1.452,CHATTANOOGA,partly-cloudy-day,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,14,66.99,68.7,56.72,,,,45.49,0.46,5,0,6.49,0.57,NA,0,0,-1000,0,1,0,0,0,0,2,2,2,1,2,55,5,5,2,1,11,75960,10,24,15
