Accident,Latitude,Longitude,Date,Year,Time,Address,Route,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,DayFrame
1,35.035331,-85.188777,7/9/17,,3:57:16,6114 VANCE RD,3304996001,0.45899999999999996,,3,70.11,86.81,67.87,67.94,0.93,7,6,6.13,0.29,0.0,0.0004,1,0,0,0,0,0,2,7,0,2,2,2,18,4,17,22,15,1
1,35.063253,-85.3083,7/9/17,,10:51:31,110 N Market St,3303590001,0.038,,10,75.61,86.34,67.67,68.55,0.79,7,6,5.35,0.3,0.0,0.0003,0,1,0,0,0,0,2,2,0,2,4,4,18,4,16,38,15,3
1,35.111421,-85.21700799999999,7/9/17,,11:10:32,5750 Lake Resort Dr,330G011001,0.034,,11,79.32,86.11,67.39,69.15,0.71,7,6,6.53,0.32,0.0,0.0003,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15,3
1,35.005348,-85.395992,7/9/17,,11:31:25,17280 I-24 WB,33I0024002,1.7480000000000002,,11,79.58,86.32,67.48,68.78,0.7,7,6,5.52,0.25,0.0,0.0003,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,3
1,35.091719,-85.221427,7/9/17,,11:57:44,Hwy 153 Sb @ Amnicola Hwy - Off Ramp / Highway 153 Sb,33SR153001,5.772,,11,79.82,86.48,67.7,69.1,0.7,7,6,6.71,0.3,0.0,0.0003,0,1,0,0,0,0,2,4,2,2,4,6,13,1,12,24,15,3
1,35.205546000000005,-85.166697,7/9/17,,12:12:52,8405 Daisy Dallas Rd,3304427001,0.9420000000000001,,12,82.12,86.53,67.17,66.52,0.59,7,6,7.15,0.36,0.0,0.0002,0,1,0,0,0,0,2,0,0,2,2,2,18,2,16,20,15,3
1,35.029354,-85.163289,7/9/17,,12:52:51,7111 IGOU GAP RD,3304988001,3.388,,12,82.49,86.49,67.66,64.61,0.55,7,6,7.28,0.3,0.0001,0.0007,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,18,15,3
1,35.030415999999995,-85.167955,7/9/17,,12:53:10,7000 IGOU GAP RD,3304986001,0.938,,12,82.52,86.49,67.66,64.46,0.55,7,6,7.4,0.3,0.0001,0.0006,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,22,15,3
1,35.020826,-85.320725,7/9/17,,13:12:03,2600 CUMMINGS HWY,330A862001,0.047,,13,84.13,86.64,67.88,62.46,0.48,7,6,5.91,0.27,0.0,0.0002,0,1,0,0,0,0,2,4,0,2,2,2,12,4,19,30,15,4
1,35.106087,-85.22918,7/9/17,,13:55:51,680 Highway 153 Sb,33SR153001,6.9,,13,83.93,86.45,67.65,62.73,0.49,7,6,7.67,0.31,0.0,0.0002,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,18,4
1,35.037712,-85.15674399999999,7/9/17,,15:00:14,2200 Hamilton Place Blvd,3304986001,1.8630000000000002,,15,85.72,86.52,67.67,62.19,0.45,7,6,7.28,0.3,0.0001,0.0006,0,1,0,0,0,0,2,2,0,2,2,2,18,4,17,12,15,4
1,35.041875,-85.07461500000001,7/9/17,,15:06:43,3810 Ooltewah Ringgold Rd,33SR321001,4.098,,15,85.01,85.9,67.17,62.4,0.47,7,6,6.3,0.32,0.0001,0.0007,1,0,0,0,0,0,2,7,0,2,2,2,21,1,16,20,15,4
1,35.054010999999996,-85.235522,7/9/17,,15:14:09,3400 PERSIMMON LN,330B681001,0.175,,15,85.53,86.09,67.7,62.3,0.46,7,6,7.17,0.3,0.0,0.0004,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,28,15,4
1,35.04437,-85.314195,7/9/17,,16:08:09,100 Highway 27 Sb,33I0124001,1.212,,16,86.31,86.48,67.78,61.38,0.43,7,6,5.93,0.27,0.0,0.0002,0,1,0,0,0,0,2,2,2,2,5,6,2,1,11,24,15,4
1,35.008053000000004,-85.152594,7/9/17,,16:20:32,1406 Jenkins Rd,3305786001,0.022000000000000002,,16,86.41,86.66,67.83,61.31,0.43,7,6,6.96,0.3,0.0001,0.0009,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,18,15,4
1,35.034844,-85.31804100000001,7/9/17,,16:51:41,1957 Reggie White Blvd,330A654001,0.34700000000000003,,16,86.42,86.61,67.88,61.32,0.43,7,6,5.99,0.27,0.0,0.0002,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,24,18,4
1,35.116279999999996,-85.16305200000001,7/9/17,,16:55:20,9063 Wooten Rd,330D384001,0.053,,16,86.06,86.38,67.43,61.81,0.44,7,6,6.81,0.32,0.0,0.0004,0,1,0,0,0,0,2,7,0,2,2,2,11,2,19,18,15,4
1,35.045648,-85.31999,7/9/17,,17:03:01,1200 - 1299 Boynton Dr,330A344001,0.222,,17,86.51,86.51,67.79,61.39,0.43,7,6,5.92,0.27,0.0,0.0002,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,32,18,4
1,35.065787,-85.115229,7/9/17,,17:38:46,Rolling Green Dr / Green Shanty Rd,330E024001,0.001,,17,85.73,85.73,67.03,61.7,0.45,7,6,6.59,0.32,0.0001,0.0006,1,0,0,0,0,0,2,7,0,2,2,2,11,2,19,26,15,4
1,35.002814,-85.291225,7/9/17,,17:51:39,3599 Clio Ave,3304981001,0.08800000000000001,,17,86.55,86.55,67.78,61.17,0.43,7,6,6.47,0.28,0.0,0.0004,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,24,15,4
1,35.002814,-85.291225,7/9/17,,17:55:51,3599 Clio Ave,3304981001,0.08800000000000001,,17,86.55,86.55,67.78,61.17,0.43,7,6,6.47,0.28,0.0,0.0004,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,24,15,4
1,35.024501,-85.15562800000001,7/9/17,,18:51:34,1816 Gunbarrel Rd,3304988001,2.853,,18,85.87,86.53,67.69,61.19,0.44,7,6,7.13,0.3,0.0001,0.0007,0,1,0,0,0,0,2,2,0,2,2,2,18,4,16,26,15,1
1,35.017551,-85.173294,7/9/17,,18:58:25,7020 E Brainerd Rd,330E416001,0.316,,18,85.93,86.55,67.71,61.08,0.43,7,6,7.35,0.3,0.0001,0.0006,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,22,15,1
1,35.026619000000004,-85.272995,7/9/17,,19:18:20,E 12th St / S Lyerly St,330A512001,0.289,,19,84.79,86.39,67.84,62.49,0.47,7,6,6.67,0.3,0.0,0.0004,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,30,15,1
1,35.025569,-85.273325,7/9/17,,19:19:00,1300 S LYERLY ST,330A516001,0.182,,19,84.74,86.35,67.8,62.56,0.48,7,6,6.98,0.3,0.0,0.0004,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,30,15,1
1,35.025405,-85.27530300000001,7/9/17,,19:19:00,E 14th St / S Kelley St,330A515001,0.39299999999999996,,19,84.87,86.47,67.89,62.5,0.47,7,6,6.72,0.3,0.0,0.0004,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,34,15,1
1,35.068284000000006,-85.308932,7/9/17,,22:39:09,W Bell Ave / N Market St,330A296001,0.7909999999999999,,22,74.37,86.09,67.54,65.44,0.74,7,6,6.3,0.3,0.0,0.0003,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15,1
