Model,Test,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
50-50,1,JOIN COUNT,DAYFRAME,HOUR,GRID_NUM,HUMIDITY
50-50,2,JOIN COUNT,HOUR,GRID_NUM,HUMIDITY,UNIX
50-50,3,JOIN COUNT,DAYFRAME,HUMIDITY,TEMPERATURE,WINDSPEED
50-50,4,JOIN COUNT,UNIX,HOUR,GRID_NUM,CLOUDCOVER
50-50,5,JOIN COUNT,CLOUDCOVER,GRID_NUM,DAYFRAME,PRECIPINTENSITY
75-25,1,JOIN COUNT,HOUR,HUMIDITY,TEMPERATURE,GRID_NUM
75-25,2,JOIN COUNT,HOUR,HUMIDITY,TEMPERATURE,UNIX
75-25,3,JOIN COUNT,HUMIDITY,TEMPERATURE,WINDSPEED,DEWPOINT
75-25,4,JOIN COUNT,UNIX,GRID_NUM,HOUR,CLOUDCOVER
75-25,5,JOIN COUNT,CLOUDCOVER,PRECIPINTENSITY,DAYFRAME,GRID_NUM
90-10,1,JOIN COUNT,HUMIDITY,TEMPERATURE,WINDSPEED,DEWPOINT
90-10,2,JOIN COUNT,HOUR,TEMPERATURE,HUMIDITY,UNIX
90-10,3,JOIN COUNT,HUMIDITY,TEMPERATURE,DEWPOINT,WINDSPEED
90-10,4,JOIN COUNT,UNIX,GRID_NUM,CLOUDCOVER,HOUR
90-10,5,JOIN COUNT,CLOUDCOVER,PRECIPINTENSITY,GRID_NUM,DAYFRAME
,,,,,,
Most Common,,JOIN COUNT,HOUR,GRID_NUM,GRID_NUM,UNIX
