,,,,MMR,,,,,STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Threshold,Pred Count,2 hr Match,2 hr %,3 hour Match,3 hr %, Pred Count, 2 hour Match, 2 hr %, 3 hour Match, 3 hr %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,0.5,252,0,0,1,0.003968254,6516,79,0.012124002,111,0.017034991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.75,0,0,0,0,0,5560,67,0.01205036,96,0.017266187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9,0,0,0,0,0,4555,42,0.009220637,61,0.013391877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.95,0,0,0,0,0,3290,31,0.009422492,40,0.012158055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0:00,0.5,19441,15,0.000771565,59,0.003034823,8035,87,0.010827629,129,0.01605476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.75,1431,0,0,19,0.013277428,7070,80,0.011315417,118,0.01669024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9,76,0,0,0,0,5727,46,46/5727,73,0.012746639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.95,0,0,0,0,0,3498,32,0.009148085,42,0.012006861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,0.5,10189,0,0,22,0.002159191,7596,86,0.011321748,126,0.016587678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.75,1493,0,0,16,0.010716678,6748,74,0.010966212,112,0.01659751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9,208,0,0,4,0.019230769,5660,49,0.008657244,75,0.013250883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.95,2,0,0,0,0,4009,35,0.008730357,54,0.013469693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,0.5,39402,3,7.61383E-05,70,0.00177656,8119,100,0.012316788,147,0.018105678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.75,7957,3,7.61383E-05,17,0.002136484,7337,94,0.012811776,136,0.018536186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9,1237,0,0,2,0.001616815,6131,56,0.00913391,91,0.014842603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.95,178,0,0,0,0,4207,32,0.00760637,51,0.012122653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
