Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Prediction,Probability
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555041600,0.0,0,0.0018463134765625
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555056000,0.0,0,0.0015780925750732422
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1,8,26,0,7,12,1555070400,0.062,0,0.008275896310806274
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555084800,0.0,0,0.0010721087455749512
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555099200,0.0,0,0.00048428773880004883
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555113600,0.0,0,0.00029164552688598633
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1555124400,0.0,0,0.0002867579460144043
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555041600,0.0,0,0.001296401023864746
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555056000,0.0,0,0.0012265145778656006
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,2,9,26,1,7,9,1555070400,0.066,0,0.009390085935592651
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555084800,0.0,0,0.0009999573230743408
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555099200,0.0,0,0.0004883408546447754
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555113600,0.0,0,0.00029200315475463867
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1555124400,0.0,0,0.0002869069576263428
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1555041600,0.0,0,0.0012613534927368164
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1555056000,0.0,0,0.0011385083198547363
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,3,10,26,1,0,5,1555070400,0.069,0,0.004830151796340942
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1555084800,0.0,0,0.0007958114147186279
16,4,1,0,0.0,0.0,0.0,1.0,0.0,0.0,3,10,26,1,0,5,1555099200,0.0,0,0.00032147765159606934
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1555113600,0.0,0,0.00029075145721435547
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1555124400,0.0,0,0.00028714537620544434
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1555041600,0.0,0,0.0013592839241027832
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1555056000,0.0,0,0.0012031793594360352
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,4,11,26,1,0,1,1555070400,0.073,0,0.0035586953163146973
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1555084800,0.0,0,0.0007655918598175049
16,4,1,0,0.0,0.0,0.0,1.0,0.0,0.0,4,11,26,1,0,1,1555099200,0.0,0,0.0003190934658050537
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1555113600,0.0,0,0.00029018521308898926
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1555124400,0.0,0,0.000286787748336792
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,5,12,26,1,0,5,1555041600,0.0,0,0.001405477523803711
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,5,12,26,1,0,5,1555056000,0.0,0,0.0012753605842590332
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,5,12,26,1,0,5,1555070400,0.077,0,0.003458768129348755
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,5,12,26,1,0,5,1555084800,0.0,0,0.000835418701171875
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,5,12,26,1,0,5,1555099200,0.0,0,0.00044295191764831543
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,5,12,26,1,0,5,1555113600,0.0,0,0.0002910196781158447
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,5,12,26,1,0,5,1555124400,0.0,0,0.0002873241901397705
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,6,13,26,1,0,4,1555041600,0.0,0,0.0014949440956115723
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,6,13,26,1,0,4,1555056000,0.0,0,0.0013521313667297363
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,6,13,26,1,0,4,1555070400,0.08,0,0.00319024920463562
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,6,13,26,1,0,4,1555084800,0.0,0,0.0008424520492553711
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,6,13,26,1,0,4,1555099200,0.0,0,0.000443190336227417
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,6,13,26,1,0,4,1555113600,0.0,0,0.0002910196781158447
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,6,13,26,1,0,4,1555124400,0.0,0,0.0002872943878173828
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,7,14,26,1,0,5,1555041600,0.0,0,0.0015752017498016357
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,7,14,26,1,0,5,1555056000,0.0,0,0.0014369487762451172
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,7,14,26,1,0,5,1555070400,0.083,0,0.003338366746902466
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,7,14,26,1,0,5,1555084800,0.0,0,0.0008796155452728271
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,7,14,26,1,0,5,1555099200,0.0,0,0.0004513859748840332
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,7,14,26,1,0,5,1555113600,0.0,0,0.0002913177013397217
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,7,14,26,1,0,5,1555124400,0.0,0,0.0002874433994293213
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,8,15,26,0,2,13,1555041600,0.0,0,0.002166748046875
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,8,15,26,0,2,13,1555056000,0.0,0,0.0018635392189025879
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,8,15,26,0,2,13,1555070400,0.087,0,0.0041329264640808105
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,8,15,26,0,2,13,1555084800,0.0,0,0.0009990334510803223
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,8,15,26,0,2,13,1555099200,0.0,0,0.00046384334564208984
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,8,15,26,0,2,13,1555113600,0.0,0,0.00029155611991882324
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,8,15,26,0,2,13,1555124400,0.0,0,0.0002872347831726074
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,9,16,26,0,7,17,1555041600,0.0,0,0.0023980438709259033
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,9,16,26,0,7,17,1555056000,0.0,0,0.0021916329860687256
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,9,16,26,0,7,17,1555070400,0.091,0,0.009533733129501343
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,9,16,26,0,7,17,1555084800,0.0,0,0.0013102591037750244
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,9,16,26,0,7,17,1555099200,0.0,0,0.0005311667919158936
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,9,16,26,0,7,17,1555113600,0.0,0,0.00029274821281433105
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,9,16,26,0,7,17,1555124400,0.0,0,0.00028717517852783203
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,10,17,26,0,7,11,1555041600,0.0,0,0.002685368061065674
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,10,17,26,0,7,11,1555056000,0.0,0,0.0023999810218811035
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,10,17,26,0,7,11,1555070400,0.095,0,0.02239629626274109
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,10,17,26,0,7,11,1555084800,0.0,0,0.0012291669845581055
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,10,17,26,0,7,11,1555099200,0.0,0,0.0005082488059997559
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,10,17,26,0,7,11,1555113600,0.0,0,0.0002923309803009033
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,10,17,26,0,7,11,1555124400,0.0,0,0.00028693675994873047
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,11,18,26,0,7,10,1555041600,0.0,0,0.0028426647186279297
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,11,18,26,0,7,10,1555056000,0.0,0,0.0025403499603271484
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,11,18,26,0,7,10,1555070400,0.099,0,0.1904607117176056
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,11,18,26,0,7,10,1555084800,0.0,0,0.00123673677444458
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,11,18,26,0,7,10,1555099200,0.0,0,0.0005080103874206543
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,11,18,26,0,7,10,1555113600,0.0,0,0.0002923011779785156
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,11,18,26,0,7,10,1555124400,0.0,0,0.00028696656227111816
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,12,19,26,0,7,24,1555041600,0.0,0,0.0025648772716522217
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,12,19,26,0,7,24,1555056000,0.0,0,0.0024603307247161865
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,12,19,26,0,7,24,1555070400,0.102,1,0.9050360918045044
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,12,19,26,0,7,24,1555084800,0.0,0,0.0015740394592285156
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,12,19,26,0,7,24,1555099200,0.0,0,0.0005901455879211426
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,12,19,26,0,7,24,1555113600,0.0,0,0.0002942979335784912
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,12,19,26,0,7,24,1555124400,0.0,0,0.0002879500389099121
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,13,20,26,0,7,23,1555041600,0.0,0,0.002713829278945923
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,13,20,26,0,7,23,1555056000,0.0,0,0.0026078522205352783
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,13,20,26,0,7,23,1555070400,0.106,1,0.979458212852478
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,13,20,26,0,7,23,1555084800,0.0,0,0.0015859603881835938
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,13,20,26,0,7,23,1555099200,0.0,0,0.0005902647972106934
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,13,20,26,0,7,23,1555113600,0.0,0,0.0002943575382232666
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,13,20,26,0,7,23,1555124400,0.0,0,0.0002879500389099121
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,14,21,26,0,7,20,1555041600,0.0,0,0.0029278695583343506
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,14,21,26,0,7,20,1555056000,0.0,0,0.002790600061416626
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,14,21,26,0,7,20,1555070400,0.11,1,0.9826816916465759
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,14,21,26,0,7,20,1555084800,0.0,0,0.001542508602142334
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,14,21,26,0,7,20,1555099200,0.0,0,0.0005768239498138428
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,14,21,26,0,7,20,1555113600,0.0,0,0.00029394030570983887
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,14,21,26,0,7,20,1555124400,0.0,0,0.00028771162033081055
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,15,22,26,0,7,15,1555041600,0.0,0,0.0032318830490112305
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,15,22,26,0,7,15,1555056000,0.0,0,0.0030197501182556152
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,15,22,26,0,7,15,1555070400,0.11199999999999999,1,0.9828099608421326
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,15,22,26,0,7,15,1555084800,0.0,0,0.0014535188674926758
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,15,22,26,0,7,15,1555099200,0.0,0,0.0005523860454559326
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,15,22,26,0,7,15,1555113600,0.0,0,0.00029334425926208496
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,15,22,26,0,7,15,1555124400,0.0,0,0.0002874433994293213
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,16,23,26,0,7,21,1555041600,0.0,0,0.0031987428665161133
4,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,16,23,26,0,7,21,1555056000,0.0,0,0.0030973851680755615
8,2,1,0,0.0,0.0,1.0,0.0,0.0,1.0,16,23,26,0,7,21,1555070400,0.114,1,0.9828577637672424
12,3,1,0,0.0,1.0,0.0,0.0,0.0,0.0,16,23,26,0,7,21,1555084800,0.0,0,0.0016553401947021484
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,16,23,26,0,7,21,1555099200,0.0,0,0.0005985796451568604
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,16,23,26,0,7,21,1555113600,0.0,0,0.0002945363521575928
