Model,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
DS 50-50 T1,Unix,uvIndex,Longitude,Latitude,humidity,windSpeed,temperature,dewPoint,pressure,Join_Count,Grid_Num,Hour,visibility,cloudCover,DayOfWeek
DS 50-50 T2,temperature,windSpeed,humidity,pressure,Join_Count,Grid_Num,uvIndex,visibility,cloudCover,DayFrame,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
DS 50-50 T3,Grid_Num,Join_Count,DayOfWeek,DayFrame,WeekDay,FUNC_CLASS,NBR_LANES,TY_TERRAIN,,,,,,,
DS 50-50 T4,temperature,windSpeed,humidity,Grid_Num,pressure,visibility,cloudCover,uvIndex,precipIntensity,DayFrame,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
DS 75-25 T1,Latitude,Longitude,Unix,humidity,uvIndex,temperature,dewPoint,windSpeed,pressure,Join_Count,Hour,Grid_Num,visibility,cloudCover,DayFrame
DS 75-25 T2,temperature,windSpeed,humidity,pressure,Join_Count,Grid_Num,visibility,uvIndex,cloudCover,DayFrame,precipIntensity,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay
DS 75-25 T3,Grid_Num,Join_Count,DayOfWeek,DayFrame,WeekDay,FUNC_CLASS,NBR_LANES,TY_TERRAIN,,,,,,,
DS 75-25 T4,temperature,windSpeed,Grid_Num,humidity,pressure,visibility,cloudCover,uvIndex,DayFrame,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
DS No T1,Latitude,Longitude,temperature,dewPoint,humidity,windSpeed,Unix,uvIndex,Hour,Join_Count,Grid_Num,pressure,visibility,cloudCover,DayFrame
DS No T2,temperature,windSpeed,humidity,pressure,Grid_Num,Join_Count,visibility,cloudCover,uvIndex,DayFrame,precipIntensity,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay
DS No T3,Grid_Num,Join_Count,DayFrame,DayOfWeek,WeekDay,FUNC_CLASS,NBR_LANES,TY_TERRAIN,,,,,,,
DS No T4,temperature,windSpeed,Grid_Num,humidity,pressure,visibility,cloudCover,uvIndex,DayFrame,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
GF 50-50 T1,Hour,DayFrame,Unix,Longitude,temperature,Latitude,humidity,windSpeed,dewPoint,pressure,Join_Count,uvIndex,Grid_Num,visibility,cloudCover
GF 50-50 T2,DayFrame,temperature,windSpeed,humidity,pressure,Join_Count,Grid_Num,visibility,cloudCover,uvIndex,precipIntensity,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay
GF 50-50 T3,DayFrame,Grid_Num,Join_Count,DayOfWeek,FUNC_CLASS,WeekDay,NBR_LANES,TY_TERRAIN,,,,,,,
GF 50-50 T4,DayFrame,temperature,windSpeed,humidity,Grid_Num,pressure,visibility,cloudCover,uvIndex,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
GF 75-25 T1,DayFrame,Hour,Longitude,Latitude,Unix,uvIndex,humidity,temperature,dewPoint,windSpeed,Join_Count,pressure,Grid_Num,visibility,cloudCover
GF 75-25 T2,DayFrame,temperature,windSpeed,humidity,pressure,Join_Count,Grid_Num,visibility,uvIndex,cloudCover,precipIntensity,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay
GF 75-25 T3,DayFrame,Grid_Num,Join_Count,DayFrame,WeekDay,FUNC_CLASS,NBR_LANES,TY_TERRAIN,,,,,,,
GF 75-25 T4,temperature,windSpeed,Grid_Num,humidity,DayFrame,pressure,visibility,uvIndex,cloudCover,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
GF No T1,Latitude,Longitude,uvIndex,temperature,dewPoint,humidity,windSpeed,Unix,Hour,Join_Count,DayFrame,Grid_Num,pressure,visibility,cloudCover
GF No T2,temperature,windSpeed,humidity,pressure,Grid_Num,Join_Count,DayFrame,visibility,uvIndex,cloudCover,precipIntensity,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay
GF No T3,DayFrame,Grid_Num,Join_Count,DayOfWeek,WeekDay,FUNC_CLASS,NBR_LANES,TY_TERRAIN,,,,,,,
GF No T4,temperature,windSpeed,Grid_Num,humidity,pressure,visibility,uvIndex,DayFrame,cloudCover,precipIntensity,DayOfWeek,WeekDay,RainBefore,Clear,Cloudy
HS 50-50 T1,Hour,DayFrame,Longitude,Latitude,Unix,humidity,temperature,windSpeed,uvIndex,dewPoint,pressure,Join_Count,Grid_Num,visibility,cloudCover
HS 50-50 T2,DayFrame,temperature,windSpeed,humidity,pressure,visibility,Join_Count,Grid_Num,cloudCover,uvIndex,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
HS 50-50 T3,DayFrame,Grid_Num,Join_Count,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay,TY_TERRAIN,,,,,,,
HS 50-50 T4,temperature,DayFrame,windSpeed,humidity,Grid_Num,pressure,visibility,cloudCover,uvIndex,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
HS 75-25 T1,Latitude,Longitude,Hour,DayFrame,uvIndex,Unix,humidity,temperature,windSpeed,dewPoint,pressure,Join_Count,Grid_Num,visibility,cloudCover
HS 75-25 T2,DayFrame,temperature,humidity,windSpeed,pressure,uvIndex,Join_Count,Grid_Num,visibility,cloudCover,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
HS 75-25 T3,DayFrame,Grid_Num,Join_Count,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay,TY_TERRAIN,,,,,,,
HS 75-25 T4,temperature,windSpeed,DayFrame,humidity,Grid_Num,pressure,visibility,uvIndex,cloudCover,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
HS No T1,Latitude,Longitude,uvIndex,temperature,Hour,Unix,humidity,dewPoint,windSpeed,DayFrame,pressure,Join_Count,Grid_Num,visibility,cloudCover
HS No T2,temperature,humidity,windSpeed,pressure,DayFrame,uvIndex,Grid_Num,Join_Count,visibility,cloudCover,precipIntensity,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay
HS No T3,DayFrame,Grid_Num,Join_Count,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay,TY_TERRAIN,,,,,,,
HS No T4,temperature,windSpeed,Grid_Num,humidity,pressure,uvIndex,visibility,DayFrame,cloudCover,precipIntensity,DayOfWeek,WeekDay,RainBefore,Clear,Cloudy
SS 50-50 T1,Join_Count,Latitude,Longitude,Unix,uvIndex,Grid_Num,humidity,windSpeed,temperature,dewPoint,Hour,pressure,visibility,cloudCover,DayOfWeek
SS 50-50 T2,Join_Count,Grid_Num,windSpeed,temperature,humidity,uvIndex,pressure,visibility,cloudCover,DayOfWeek,DayFrame,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
SS 50-50 T3,Join_Count,Grid_Num,DayOfWeek,FUNC_CLASS,DayFrame,NBR_LANES,TY_TERRAIN,WeekDay,,,,,,,
SS 50-50 T4,Grid_Num,temperature,windSpeed,humidity,visibility,pressure,uvIndex,cloudCover,DayOfWeek,precipIntensity,DayFrame,WeekDay,RainBefore,Cloudy,Clear
SS 75-25 T1,Join_Count,Latitude,Longitude,Unix,uvIndex,Grid_Num,humidity,windSpeed,temperature,Hour,dewPoint,pressure,visibility,DayFrame,cloudCover
SS 75-25 T2,Join_Count,temperature,windSpeed,humidity,Grid_Num,pressure,uvIndex,visibility,cloudCover,DayFrame,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
SS 75-25 T3,Join_Count,Grid_Num,FUNC_CLASS,DayOfWeek,DayFrame,NBR_LANES,TY_TERRAIN,WeekDay,,,,,,,
SS 75-25 T4,Grid_Num,temperature,windSpeed,humidity,visibility,pressure,uvIndex,cloudCover,DayFrame,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
SS No T1,Join_Count,Latitude,Longitude,Unix,Hour,Grid_Num,uvIndex,humidity,temperature,dewPoint,windSpeed,pressure,DayFrame,visibility,cloudCover
SS No T2,Join_Count,temperature,windSpeed,humidity,pressure,Grid_Num,visibility,cloudCover,uvIndex,DayFrame,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
SS No T3,Join_Count,Grid_Num,FUNC_CLASS,DayOfWeek,DayFrame,NBR_LANES,TY_TERRAIN,WeekDay,,,,,,,
SS No T4,Grid_Num,temperature,windSpeed,humidity,visibility,pressure,cloudCover,uvIndex,DayFrame,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
TS 50-50 T1,Join_Count,Hour,DayFrame,Latitude,Longitude,Grid_Num,Unix,humidity,windSpeed,uvIndex,temperature,dewPoint,pressure,visibility,cloudCover
TS 50-50 T2,Join_Count,DayFrame,Grid_Num,temperature,humidity,windSpeed,pressure,visibility,cloudCover,uvIndex,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
TS 50-50 T3,Join_Count,DayFrame,Grid_Num,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay,TY_TERRAIN,,,,,,,
TS 50-50 T4,Grid_Num,DayFrame,temperature,windSpeed,humidity,pressure,visibility,cloudCover,uvIndex,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
TS 75-25 T1,Join_Count,Latitude,Hour,Longitude,DayFrame,uvIndex,Unix,Grid_Num,humidity,windSpeed,temperature,dewPoint,pressure,visibility,cloudCover
TS 75-25 T2,Join_Count,DayFrame,humidity,temperature,windSpeed,Grid_Num,pressure,visibility,uvIndex,cloudCover,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
TS 75-25 T3,Join_Count,DayFrame,Grid_Num,DayOfWeek,FUNC_CLASS,NBR_LANES,WeekDay,TY_TERRAIN,,,,,,,
TS 75-25 T4,Grid_Num,temperature,windSpeed,DayFrame,humidity,pressure,visibility,cloudCover,uvIndex,precipIntensity,DayOfWeek,WeekDay,RainBefore,Cloudy,Clear
TS No T1,Join_Count,Latitude,Longitude,Hour,uvIndex,Unix,humidity,DayFrame,temperature,Grid_Num,dewPoint,windSpeed,pressure,visibility,cloudCover
TS No T2,Join_Count,temperature,humidity,windSpeed,pressure,DayFrame,uvIndex,Grid_Num,visibility,cloudCover,DayOfWeek,precipIntensity,FUNC_CLASS,NBR_LANES,WeekDay
TS No T3,Join_Count,DayFrame,Grid_Num,FUNC_CLASS,DayOfWeek,NBR_LANES,WeekDay,TY_TERRAIN,,,,,,,
TS No T4,Grid_Num,temperature,windSpeed,humidity,pressure,visibility,uvIndex,cloudCover,DayFrame,precipIntensity,DayOfWeek,WeekDay,RainBefore,Clear,Cloudy
