Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,pressure
34.98311234,-85.46806323,0,1,14,4,2,11,0,1,1,4,0,0,0,0,1578632400,1,0.51,43.27,0.67,0,53.92,9.23,10,0,1028.2
34.98311234,-85.46806323,4,1,14,4,2,11,0,1,1,4,0,0,0,0,1578646800,1,0.89,45.2,0.76,0.0012,52.5,9.23,10,0,1028
34.98311234,-85.46806323,8,1,14,4,2,11,0,1,2,4,0,0,0,0,1578661200,1,0.48,47.86,0.84,0.0012,52.62,8.77,10,0,1028.4
34.98311234,-85.46806323,12,1,14,4,2,11,0,1,3,4,0,0,0,0,1578675600,1,0.63,51.54,0.84,0.002,56.44,8.31,10,3,1028
34.98311234,-85.46806323,16,1,14,4,2,11,0,1,4,4,0,0,0,0,1578690000,1,0.84,55.24,0.78,0,62.06,8.97,10,1,1023.9
34.98311234,-85.46806323,20,1,14,4,2,11,0,1,1,4,0,0,0,0,1578704400,1,0.67,53.97,0.82,0.0006,59.46,9.46,10,0,1024
34.98311234,-85.46806323,23,1,14,4,2,11,0,1,1,4,0,0,0,0,1578715200,1,0.76,54.13,0.84,0.0006,59.1,11.3,10,0,1022
34.98735687,-85.46071149,0,2,2,2,2,17,0,1,1,4,0,0,0,0,1578632400,1,0.51,42.52,0.67,0,53.16,9.17,10,0,1028.1
34.98735687,-85.46071149,4,2,2,2,2,17,0,1,1,4,0,0,0,0,1578646800,1,0.89,44.94,0.76,0.0012,52.13,9.14,10,0,1028
34.98735687,-85.46071149,8,2,2,2,2,17,0,1,2,4,0,0,0,0,1578661200,1,0.48,47.83,0.85,0.0012,52.17,8.67,10,0,1028.4
34.98735687,-85.46071149,12,2,2,2,2,17,0,1,3,4,0,0,0,0,1578675600,1,0.63,51.12,0.85,0.002,55.67,8.29,10,3,1028
34.98735687,-85.46071149,16,2,2,2,2,17,0,1,4,4,0,0,0,0,1578690000,1,0.84,54.69,0.8,0,61.06,8.94,10,1,1023.9
34.98735687,-85.46071149,20,2,2,2,2,17,0,1,1,4,0,0,0,0,1578704400,1,0.67,53.57,0.83,0.0006,58.66,9.34,10,0,1024
34.98735687,-85.46071149,23,2,2,2,2,17,0,1,1,4,0,0,0,0,1578715200,1,0.76,53.64,0.84,0.0006,58.45,11.19,10,0,1022
34.98311234,-85.40924928,0,3,111,4,2,11,0,1,1,4,0,0,0,0,1578632400,1,0.52,43.39,0.66,0,54.38,9.04,10,0,1028.5
34.98311234,-85.40924928,4,3,111,4,2,11,0,1,1,4,0,0,0,0,1578646800,1,0.89,44.77,0.74,0.0012,52.91,9.02,10,0,1028.1
34.98311234,-85.40924928,8,3,111,4,2,11,0,1,2,4,0,0,0,0,1578661200,1,0.48,47.48,0.82,0.0012,52.82,8.27,10,0,1028.5
