Accident,Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,Probability,Prediction
1.0,35.007383000000004,-85.310643,10,60,115.0,2.0,2.0,19.0,0,1,3,6.0,0,0,0,0,1577890800,1,0.38,29.94,0.68,0.0013,39.56,2.48,10.0,1,,
1.0,35.001515999999995,-85.290968,22,63,250.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577934000,1,0.26,28.35,0.6,0.0,40.99,3.75,10.0,0,,
1.0,35.001515999999995,-85.290968,22,63,250.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577934000,1,0.26,28.35,0.6,0.0,40.99,3.75,10.0,0,,
1.0,35.001515999999995,-85.290968,22,63,250.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577934000,1,0.26,28.35,0.6,0.0,40.99,3.75,10.0,0,,
1.0,35.007414000000004,-85.203262,16,109,833.0,8.0,2.0,11.0,1,0,4,6.0,0,0,0,0,1577912400,1,0.27,22.06,0.28,0.0,54.24,2.56,10.0,1,,
1.0,35.021849,-85.257398,13,142,91.0,2.0,2.0,19.0,0,1,3,6.0,0,0,0,0,1577901600,1,0.36,22.72,0.32,0.0,51.94,3.71,10.0,2,,
1.0,35.020356,-85.258224,23,142,91.0,2.0,2.0,19.0,0,1,1,6.0,0,0,0,0,1577937600,1,0.37,28.14,0.59,0.0,41.37,4.41,10.0,0,,
1.0,35.015785,-85.235226,1,145,90.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577858400,1,0.19,26.16,0.63,0.0,37.43,2.6,10.0,0,,
1.0,35.034391,-85.308235,3,212,561.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577865600,1,0.0,25.71,0.69,0.0015,34.82,2.91,10.0,0,,
1.0,35.036004,-85.307644,3,212,561.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577865600,1,0.0,25.71,0.69,0.0015,34.82,2.91,10.0,0,,
1.0,35.036004,-85.307644,3,212,561.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577865600,1,0.0,25.71,0.69,0.0015,34.82,2.91,10.0,0,,
1.0,35.036004,-85.307644,3,212,561.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577865600,1,0.0,25.71,0.69,0.0015,34.82,2.91,10.0,0,,
1.0,35.037324,-85.183937,8,229,164.0,2.0,2.0,19.0,1,0,2,6.0,0,0,0,0,1577883600,1,0.22,25.86,0.8,0.0,31.37,1.54,10.0,0,,
1.0,35.045502,-85.18761500000002,19,262,87.0,2.0,2.0,19.0,1,0,1,6.0,0,0,0,0,1577923200,1,0.31,26.66,0.48,0.0,45.39,3.16,10.0,0,,
1.0,35.040321,-85.155778,16,266,833.0,4.0,2.0,14.0,1,0,4,6.0,0,0,0,0,1577912400,1,0.26,23.19,0.3,0.0,53.61,2.66,10.0,1,,
1.0,35.046625,-85.156295,18,267,183.0,2.0,2.0,19.0,1,0,4,6.0,0,0,0,0,1577919600,1,0.23,26.04,0.43,0.0,47.31,2.54,10.0,0,,
1.0,35.053656,-85.310162,12,281,764.0,6.0,2.0,11.0,0,1,3,6.0,0,0,0,0,1577898000,1,0.32,27.21,0.44,0.0,48.03,3.4,10.0,2,,
1.0,35.052211,-85.30963,17,282,999.0,2.0,2.0,16.0,1,0,4,6.0,0,0,0,0,1577916000,1,0.27,25.15,0.35,0.0,51.85,2.56,10.0,0,,
1.0,35.052925,-85.147887,18,304,164.0,2.0,2.0,16.0,1,0,4,6.0,0,0,0,0,1577919600,1,0.23,26.09,0.43,0.0,47.21,2.65,10.0,0,,
1.0,35.057568,-85.206604,23,331,14.0,2.0,2.0,19.0,0,1,1,6.0,0,0,0,0,1577937600,1,0.39,28.08,0.57,0.0,42.27,4.88,10.0,0,,
1.0,35.066104,-85.198864,23,332,181.0,2.0,2.0,12.0,0,1,1,6.0,0,0,0,0,1577937600,1,0.39,28.15,0.58,0.0,41.79,4.8,10.0,0,,
1.0,35.066104,-85.198864,23,332,181.0,2.0,2.0,12.0,0,1,1,6.0,0,0,0,0,1577937600,1,0.39,28.15,0.58,0.0,41.79,4.8,10.0,0,,
1.0,35.07758,-85.30142,17,393,98.0,2.0,2.0,19.0,1,0,4,6.0,0,0,0,0,1577916000,1,0.26,25.98,0.37,0.0007,51.2,2.58,10.0,0,,
1.0,35.087140000000005,-85.07046,10,459,447.0,2.0,2.0,16.0,1,0,3,6.0,0,0,0,0,1577890800,1,0.3,29.27,0.68,0.0013,39.09,2.49,10.0,1,,
1.0,35.086764,-85.071085,10,459,447.0,2.0,2.0,16.0,1,0,3,6.0,0,0,0,0,1577890800,1,0.3,29.27,0.68,0.0013,39.09,2.49,10.0,1,,
1.0,35.087140000000005,-85.07046,10,459,447.0,2.0,2.0,16.0,1,0,3,6.0,0,0,0,0,1577890800,1,0.3,29.27,0.68,0.0013,39.09,2.49,10.0,1,,
1.0,35.087140000000005,-85.07046,10,459,447.0,2.0,2.0,16.0,1,0,3,6.0,0,0,0,0,1577890800,1,0.3,29.27,0.68,0.0013,39.09,2.49,10.0,1,,
1.0,35.110778,-85.32160400000002,8,532,41.0,2.0,2.0,16.0,1,0,2,6.0,0,0,0,0,1577883600,1,0.19,25.94,0.75,0.0,33.06,3.59,10.0,0,,
1.0,35.116782,-85.163809,16,549,11.0,2.0,2.0,19.0,1,0,4,6.0,0,0,0,0,1577912400,1,0.25,25.69,0.34,0.0,53.12,2.78,10.0,1,,
1.0,35.116782,-85.163809,16,549,11.0,2.0,2.0,19.0,1,0,4,6.0,0,0,0,0,1577912400,1,0.25,25.69,0.34,0.0,53.12,2.78,10.0,1,,
1.0,35.117088,-85.164076,18,549,11.0,2.0,2.0,19.0,1,0,4,6.0,0,0,0,0,1577919600,1,0.28,26.85,0.45,0.0,46.83,2.72,10.0,0,,
1.0,35.122999,-85.121616,17,576,75.0,2.0,2.0,14.0,1,0,4,6.0,0,0,0,0,1577916000,1,0.19,26.3,0.38,0.0008,51.01,2.78,10.0,0,,
1.0,35.138778,-85.247194,13,605,430.0,6.0,2.0,14.0,1,0,3,6.0,0,0,0,0,1577901600,1,0.29,25.96,0.36,0.0,52.38,3.66,10.0,2,,
1.0,35.138778,-85.247194,13,605,430.0,6.0,2.0,14.0,1,0,3,6.0,0,0,0,0,1577901600,1,0.29,25.96,0.36,0.0,52.38,3.66,10.0,2,,
1.0,35.138778,-85.247194,13,605,430.0,6.0,2.0,14.0,1,0,3,6.0,0,0,0,0,1577901600,1,0.29,25.96,0.36,0.0,52.38,3.66,10.0,2,,
1.0,35.136064000000005,-85.244585,16,605,430.0,6.0,2.0,14.0,1,0,4,6.0,0,0,0,0,1577912400,1,0.27,26.9,0.36,0.0,52.95,2.67,10.0,1,,
