Accident,Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,pressure
1.0,34.98311234,-85.46806323,0,1,14.0,4.0,2.0,11.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.7,0.75,0.0002,38.82,4.2,10.0,0,1022.8
1.0,34.98311234,-85.46806323,4,1,14.0,4.0,2.0,11.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.06,31.61,0.85,0.0,35.68,3.45,10.0,0,1022.9
1.0,34.98311234,-85.46806323,8,1,14.0,4.0,2.0,11.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.09,32.82,0.88,0.0,35.93,2.74,10.0,0,1023.8
1.0,34.98311234,-85.46806323,12,1,14.0,4.0,2.0,11.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.01,38.96,0.68,0.0,48.97,2.95,10.0,3,1023.1
1.0,34.98311234,-85.46806323,16,1,14.0,4.0,2.0,11.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.12,38.68,0.5,0.0,57.35,2.08,10.0,1,1019.8
1.0,34.98311234,-85.46806323,20,1,14.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.34,37.5,0.69,0.0,47.04,2.46,10.0,0,1019.6
1.0,34.98311234,-85.46806323,23,1,14.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,37.98,0.74,0.0003,45.9,2.76,10.0,0,1018.5
1.0,34.98735687,-85.46071149,0,2,2.0,2.0,2.0,17.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.45,0.75,0.0002,38.82,4.15,10.0,0,1022.8
1.0,34.98735687,-85.46071149,4,2,2.0,2.0,2.0,17.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.06,31.34,0.84,0.0,35.67,3.39,10.0,0,1022.8
1.0,34.98735687,-85.46071149,8,2,2.0,2.0,2.0,17.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.09,32.54,0.88,0.0,35.79,2.72,10.0,0,1023.6
1.0,34.98735687,-85.46071149,12,2,2.0,2.0,2.0,17.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.01,38.19,0.68,0.0,48.11,2.93,10.0,3,1023.1
1.0,34.98735687,-85.46071149,16,2,2.0,2.0,2.0,17.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.11,37.82,0.5,0.0,56.44,2.05,10.0,1,1019.7
1.0,34.98735687,-85.46071149,20,2,2.0,2.0,2.0,17.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.34,37.01,0.7,0.0,46.39,2.48,10.0,0,1019.5
1.0,34.98735687,-85.46071149,23,2,2.0,2.0,2.0,17.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,37.41,0.73,0.0003,45.4,2.74,10.0,0,1018.5
1.0,34.98311234,-85.40924928,0,3,111.0,4.0,2.0,11.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.6,0.76,0.0002,38.4,3.88,10.0,0,1022.9
1.0,34.98311234,-85.40924928,4,3,111.0,4.0,2.0,11.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.05,30.92,0.84,0.0,35.19,3.03,10.0,0,1023.0
1.0,34.98311234,-85.40924928,8,3,111.0,4.0,2.0,11.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.12,31.83,0.86,0.0,35.54,2.5,10.0,0,1024.0
1.0,34.98311234,-85.40924928,12,3,111.0,4.0,2.0,11.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.02,39.07,0.66,0.0,49.87,2.83,10.0,3,1023.2
1.0,34.98311234,-85.40924928,16,3,111.0,4.0,2.0,11.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.1,38.28,0.47,0.0,58.28,1.91,10.0,1,1019.9
1.0,34.98311234,-85.40924928,20,3,111.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.33,36.77,0.66,0.0,47.64,2.53,10.0,0,1019.7
1.0,34.98311234,-85.40924928,23,3,111.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,37.55,0.73,0.0003,45.8,2.64,10.0,0,1018.6
1.0,34.98735687,-85.40189753,0,4,38.0,4.0,2.0,11.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.57,0.76,0.0002,38.34,3.82,10.0,0,1022.9
1.0,34.98735687,-85.40189753,4,4,38.0,4.0,2.0,11.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.05,30.8,0.84,0.0,35.11,2.96,10.0,0,1023.0
1.0,34.98735687,-85.40189753,8,4,38.0,4.0,2.0,11.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.12,31.69,0.86,0.0,35.47,2.48,10.0,0,1024.1
1.0,34.98735687,-85.40189753,12,4,38.0,4.0,2.0,11.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.02,39.05,0.66,0.0,49.9,2.81,10.0,3,1023.2
1.0,34.98735687,-85.40189753,16,4,38.0,4.0,2.0,11.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.1,38.18,0.47,0.0,58.33,1.88,10.0,1,1019.9
1.0,34.98735687,-85.40189753,20,4,38.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.33,36.64,0.65,0.0,47.66,2.55,10.0,0,1019.7
1.0,34.98735687,-85.40189753,23,4,38.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,37.44,0.73,0.0003,45.75,2.62,10.0,0,1018.6
