Model,Date,TP,FN,TN,FP,Recall,Specificity
SS 7525 FS T1,1/1/2020,12,53,3700,177,18.46,95.43
SS 7525 FS T1,1/2/2020,40,53,4334,172,43.01,96.18
SS 7525 FS T1,1/3/2020,42,104,4306,147,28.77,96.7
SS 7525 FS T1,1/4/2020,22,36,4378,163,37.93,96.41
SS 7525 FS T1,1/5/2020,14,25,4344,216,35.9,95.26
SS 7525 FS T1,1/6/2020,30,47,4321,201,38.96,95.56
SS 7525 FS T1,1/7/2020,2,63,3523,246,3.08,93.47
SS 7525 T1,1/1/2020,20,73,4067,313,21.51,92.85
SS 7525 T1,1/2/2020,19,123,3847,484,13.38,88.82
SS 7525 T1,1/3/2020,9,49,3823,592,15.52,86.59
SS 7525 T1,1/4/2020,2,37,4110,324,5.13,92.69
SS 7525 T1,1/5/2020,8,68,4094,303,10.53,93.11
SS 7525 T1,1/6/2020,0,65,3754,15,0,99.6
SS 7525 T1,1/7/2020,1,92,4357,23,1.08,99.47
SS NoT1,1/1/2020,2,140,4153,178,1.41,95.89
SS NoT1,1/2/2020,1,57,4210,205,1.72,95.36
SS NoT1,1/3/2020,1,38,4414,20,2.56,99.55
SS NoT1,1/4/2020,1,75,4376,21,1.32,99.52
SS NoT1,1/5/2020,7,58,3683,194,10.77,95
SS NoT1,1/6/2020,3,90,4479,27,3.23,99.4
SS NoT1,1/7/2020,14,132,4445,8,9.59,99.82
TS 7525 FS T1,1/1/2020,15,43,4354,187,25.86,95.88
TS 7525 FS T1,1/2/2020,16,23,4467,93,41.03,97.96
TS 7525 FS T1,1/3/2020,14,63,4431,91,18.18,97.99
TS 7525 FS T1,1/4/2020,2,63,3517,252,3.08,93.31
TS 7525 FS T1,1/5/2020,19,74,3998,382,20.43,91.28
TS 7525 FS T1,1/6/2020,46,96,3850,481,32.39,88.89
TS 7525 FS T1,1/7/2020,11,47,3859,556,18.97,87.41
TS 7525 T1,1/1/2020,2,37,4275,159,5.13,96.41
TS 7525 T1,1/2/2020,7,69,4197,200,9.21,95.45
TS 7525 T1,1/3/2020,7,58,3221,548,10.77,85.46
TS 7525 T1,1/4/2020,31,62,3661,719,33.33,83.58
TS 7525 T1,1/5/2020,75,67,3313,1018,52.82,76.5
TS 7525 T1,1/6/2020,17,41,3457,958,29.31,78.3
TS 7525 T1,1/7/2020,18,21,3896,538,46.15,87.87
TS 7525 T2,1/1/2020,17,59,4019,378,22.37,91.4
TS 7525 T2,1/2/2020,4,61,3853,24,6.15,99.38
TS 7525 T2,1/3/2020,4,89,4474,32,4.3,99.29
TS 7525 T2,1/4/2020,15,131,4434,19,10.27,99.57
TS 7525 T2,1/5/2020,7,51,4482,59,12.07,98.7
TS 7525 T2,1/6/2020,3,36,4533,27,7.69,99.41
TS 7525 T2,1/7/2020,2,75,4492,30,2.6,99.34
TS NoFS T1,1/1/2020,1,64,3599,170,1.54,95.49
TS NoFS T1,1/2/2020,29,64,3775,605,31.18,86.19
TS NoFS T1,1/3/2020,15,127,3956,375,10.56,91.34
TS NoFS T1,1/4/2020,8,50,4073,342,13.79,92.25
TS NoFS T1,1/5/2020,2,37,4271,163,5.13,96.32
TS NoFS T1,1/6/2020,2,74,4220,177,2.63,95.97
TS NoFS T1,1/7/2020,0,65,3763,6,0,99.84
TS NoFS T2,1/1/2020,1,92,4362,18,1.08,99.59
TS NoFS T2,1/2/2020,1,141,4303,28,0.7,99.35
TS NoFS T2,1/3/2020,3,55,4377,38,5.17,99.14
TS NoFS T2,1/4/2020,1,38,4426,8,2.56,99.82
TS NoFS T2,1/5/2020,1,75,4386,11,1.32,99.75
TS NoFS T2,1/6/2020,2,63,3585,184,3.08,95.12
TS NoFS T2,1/7/2020,2,91,4364,16,2.15,99.63
TS NoT1,1/1/2020,2,140,4279,52,1.41,98.8
TS NoT1,1/2/2020,5,53,4131,284,8.62,93.57
TS NoT1,1/3/2020,2,37,4242,192,5.13,95.67
TS NoT1,1/4/2020,5,71,4330,67,6.58,98.48
TS NoT1,1/5/2020,30,75,4318,176,28.57,96.08
TS NoT1,1/6/2020,20,85,4024,344,19.05,92.12
TS NoT1,1/7/2020,11,94,4217,151,10.48,96.54
TS NoT2,1/1/2020,31,74,4253,241,29.52,94.64
TS NoT2,1/2/2020,28,77,3989,379,26.67,91.32
TS NoT2,1/3/2020,27,78,3882,486,25.71,88.87
TS NoT2,1/4/2020,2,103,4418,76,1.9,98.31
TS NoT2,1/5/2020,3,102,4199,169,2.86,96.13
TS NoT2,1/6/2020,6,99,4362,6,5.71,99.86
TS NoT2,1/7/2020,0,105,4357,11,0,99.75
SS 5050 TA ,1/1/2020,9,56,2852,917,13.85,75.67
SS 5050 TA ,1/2/2020,44,49,2926,1454,47.31,66.8
SS 5050 TA ,1/3/2020,68,74,2787,1544,47.89,64.35
SS 5050 TA ,1/4/2020,42,16,2831,1584,72.41,64.12
SS 5050 TA ,1/5/2020,4,35,2951,1483,10.26,66.55
SS 5050 TA ,1/6/2020,39,37,3338,1059,51.32,75.92
SS 5050 TA ,1/7/2020,54,51,3081,1287,51.43,70.54
TS 5050 FS TA ,1/1/2020,34,31,3150,727,52.31,81.25
TS 5050 FS TA ,1/2/2020,46,47,4052,454,49.46,89.92
TS 5050 FS TA ,1/3/2020,84,62,3886,567,57.53,87.27
TS 5050 FS TA ,1/4/2020,38,20,3673,868,65.52,80.89
TS 5050 FS TA ,1/5/2020,30,9,3942,618,76.92,86.45
TS 5050 FS TA ,1/6/2020,48,29,3862,660,62.34,85.4
TS 5050 FS TA ,1/7/2020,60,45,3709,785,57.14,82.53
TS 5050 FS TB ,1/1/2020,16,49,2640,1129,24.62,70.05
TS 5050 FS TB ,1/2/2020,45,48,3395,985,48.39,77.51
TS 5050 FS TB ,1/3/2020,64,78,3321,1010,45.07,76.68
TS 5050 FS TB ,1/4/2020,31,27,2866,1549,53.45,64.92
TS 5050 FS TB ,1/5/2020,10,29,3019,1415,25.64,68.09
TS 5050 FS TB ,1/6/2020,24,52,3601,796,31.58,81.9
TS 5050 FS TB ,1/7/2020,42,63,3418,950,40,78.25
TS 5050 TA ,1/1/2020,8,57,3205,564,12.31,85.04
TS 5050 TA ,1/2/2020,33,60,3654,726,35.48,83.42
TS 5050 TA ,1/3/2020,56,86,3637,694,39.44,83.98
TS 5050 TA ,1/4/2020,13,45,3255,1160,22.41,73.73
