Date,Model,F1 Score
1/1/2020,SS 5050 TA  ,24.24
1/1/2020,TS 5050 FS TA  ,93.65
1/1/2020,TS 5050 FS TB  ,41.86
1/1/2020,TS 5050 TA  ,22.62
1/1/2020,TS 5050 TB  ,47.51
1/2/2020,SS 5050 TA  ,5.53
1/2/2020,TS 5050 FS TA  ,15.51
1/2/2020,TS 5050 FS TB  ,8.01
1/2/2020,TS 5050 TA  ,7.75
1/2/2020,TS 5050 TB  ,7.44
1/3/2020,SS 5050 TA  ,7.75
1/3/2020,TS 5050 FS TA  ,21.08
1/3/2020,TS 5050 FS TB  ,10.53
1/3/2020,TS 5050 TA  ,12.56
1/3/2020,TS 5050 TB  ,11.04
1/4/2020,SS 5050 TA  ,4.99
1/4/2020,TS 5050 FS TA  ,7.88
1/4/2020,TS 5050 FS TB  ,3.79
1/4/2020,TS 5050 TA  ,2.11
1/4/2020,TS 5050 TB  ,3.96
1/5/2020,SS 5050 TA  ,0.52
1/5/2020,TS 5050 FS TA  ,8.73
1/5/2020,TS 5050 FS TB  ,1.37
1/5/2020,TS 5050 TA  ,1.59
1/5/2020,TS 5050 TB  ,1.50
1/6/2020,SS 5050 TA  ,6.64
1/6/2020,TS 5050 FS TA  ,12.23
1/6/2020,TS 5050 FS TB  ,5.36
1/6/2020,TS 5050 TA  ,8.13
1/6/2020,TS 5050 TB  ,7.53
1/7/2020,SS 5050 TA  ,7.47
1/7/2020,TS 5050 FS TA  ,12.63
1/7/2020,TS 5050 FS TB  ,7.66
1/7/2020,TS 5050 TA  ,6.41
1/7/2020,TS 5050 TB  ,6.53
1/1/2020,SS 7525 FS TA ,9.45
1/1/2020,SS 7525 TA ,9.39
1/1/2020,TS 7525 FS TA ,11.54
1/1/2020,TS 7525 TA ,2.00
1/1/2020,TS 7525 TB ,7.22
1/2/2020,SS 7525 FS TA ,26.23
1/2/2020,SS 7525 TA ,5.89
1/2/2020,TS 7525 FS TA ,21.62
1/2/2020,TS 7525 TA ,4.95
1/2/2020,TS 7525 TB ,8.60
1/3/2020,SS 7525 FS TA ,25.07
1/3/2020,SS 7525 TA ,2.73
1/3/2020,TS 7525 FS TA ,15.38
1/3/2020,TS 7525 TA ,2.26
1/3/2020,TS 7525 TB ,6.20
1/4/2020,SS 7525 FS TA ,18.11
1/4/2020,SS 7525 TA ,1.10
1/4/2020,TS 7525 FS TA ,1.25
1/4/2020,TS 7525 TA ,7.35
1/4/2020,TS 7525 TB ,16.67
1/5/2020,SS 7525 FS TA ,10.41
1/5/2020,SS 7525 TA ,4.13
1/5/2020,TS 7525 FS TA ,7.69
1/5/2020,TS 7525 TA ,12.15
1/5/2020,TS 7525 TB ,11.29
1/6/2020,SS 7525 FS TA ,19.48
1/6/2020,SS 7525 TA ,0.00
1/6/2020,TS 7525 FS TA ,13.75
1/6/2020,TS 7525 TA ,3.29
1/6/2020,TS 7525 TB ,8.70
1/7/2020,SS 7525 FS TA ,1.28
1/7/2020,SS 7525 TA ,1.71
1/7/2020,TS 7525 FS TA ,3.52
1/7/2020,TS 7525 TA ,6.05
1/7/2020,TS 7525 TB ,3.67
1/1/2020,SS No TA ,1.24
1/1/2020,TS No FS TA ,0.85
1/1/2020,TS No FS TB ,1.79
1/1/2020,TS No TA ,2.04
1/1/2020,TS No TB ,16.45
1/2/2020,SS No TA ,0.76
1/2/2020,TS No FS TA ,7.98
1/2/2020,TS No FS TB ,1.17
1/2/2020,TS No TA ,2.88
1/2/2020,TS No TB ,10.94
1/3/2020,SS No TA ,3.33
1/3/2020,TS No FS TA ,5.64
1/3/2020,TS No FS TB ,6.06
1/3/2020,TS No TA ,1.72
1/3/2020,TS No TB ,8.74
1/4/2020,SS No TA ,2.04
1/4/2020,TS No FS TA ,3.92
1/4/2020,TS No FS TB ,4.17
1/4/2020,TS No TA ,6.76
1/4/2020,TS No TB ,2.19
1/5/2020,SS No TA ,5.26
1/5/2020,TS No FS TA ,1.96
1/5/2020,TS No FS TB ,2.27
1/5/2020,TS No TA ,19.29
1/5/2020,TS No TB ,2.17
1/6/2020,SS No TA ,4.88
1/6/2020,TS No FS TA ,1.57
1/6/2020,TS No FS TB ,1.59
1/6/2020,TS No TA ,8.53
1/6/2020,TS No TB ,10.26
1/7/2020,SS No TA ,16.67
1/7/2020,TS No FS TA ,0.00
1/7/2020,TS No FS TB ,3.60
1/7/2020,TS No TA ,8.24
1/7/2020,TS No TB ,0.00
