Unix,Hour,Date,Grid_Num,Longitude,Latitude
1580755526,13,2/3/2020,1,-85.466679,34.983093
1582508163,20,2/23/2020,1,-85.46942,34.98672
1579008185,8,1/14/2020,3,-85.40899,34.983166
1579086040,6,1/15/2020,3,-85.408815,34.983367
1579362730,10,1/18/2020,3,-85.408776,34.983413
1580502176,15,1/31/2020,3,-85.40899,34.983166
1581094381,11,2/7/2020,3,-85.40899,34.983166
1581337082,7,2/10/2020,3,-85.40899,34.983166
1581337082,7,2/10/2020,3,-85.40899,34.983166
1581337003,7,2/10/2020,3,-85.40899,34.983166
1584153293,22,3/13/2020,3,-85.40899,34.983166
1584727559,14,3/20/2020,3,-85.409351,34.983166
1584727558,14,3/20/2020,3,-85.409351,34.983166
1587376580,5,4/20/2020,3,-85.407025,34.985369
1578579276,9,1/9/2020,4,-85.405751,34.986406
1581335833,6,2/10/2020,4,-85.402588,34.989782
1584237568,21,3/14/2020,4,-85.402588,34.989782
1579694546,7,1/22/2020,5,-85.395626,34.982532
1584460511,11,3/17/2020,6,-85.388971,34.99056
1584460511,11,3/17/2020,6,-85.388971,34.99056
1584460462,11,3/17/2020,6,-85.388971,34.99056
1582630234,6,2/25/2020,7,-85.360965,34.983517
1584412220,22,3/16/2020,10,-85.343967,34.986197
1587573870,12,4/22/2020,10,-85.344051,34.986206
1580165286,17,1/27/2020,11,-85.333491,34.986723
1579114224,13,1/15/2020,12,-85.326269,34.990799
1579557092,16,1/20/2020,12,-85.327004,34.98664
1586641649,17,4/11/2020,12,-85.33045,34.99149
1588126273,22,4/28/2020,12,-85.326696,34.98876
1588125145,21,4/28/2020,12,-85.326617,34.98899
1585001136,18,3/23/2020,14,-85.30986,34.98863
1585001024,18,3/23/2020,14,-85.30986,34.98863
1585001022,18,3/23/2020,14,-85.310283,34.988185
1588092781,12,4/28/2020,16,-85.298375,34.988733
1588092781,12,4/28/2020,16,-85.298375,34.988733
1588092738,12,4/28/2020,16,-85.298375,34.988733
1582763090,19,2/26/2020,17,-85.28946,34.98696
1588397911,1,5/2/2020,17,-85.289005,34.986614
1588397910,1,5/2/2020,17,-85.289005,34.986614
1588397507,1,5/2/2020,17,-85.289005,34.986614
1579378534,15,1/18/2020,18,-85.286721,34.990228
1580037062,6,1/26/2020,18,-85.28349,34.990198
1580993399,7,2/6/2020,18,-85.288572,34.987664
1582934681,19,2/28/2020,18,-85.285503,34.986416
1582904444,10,2/28/2020,18,-85.28774,34.986387
1583100505,17,3/1/2020,18,-85.287667,34.988566
1583236973,7,3/3/2020,18,-85.287421,34.986373
1583959841,16,3/11/2020,18,-85.281897,34.990859
1584055746,19,3/12/2020,18,-85.287255,34.985603
