Longitude,Latitude,Hour,Date
-85.282598,35.105795,0,1/1/2020
-85.000235,35.260486,0,1/1/2020
-85.235226,35.015785,1,1/1/2020
-85.096924,35.121446,3,1/1/2020
-85.0814,35.102882,3,1/1/2020
-85.307644,35.036004,3,1/1/2020
-85.308235,35.034391,3,1/1/2020
-85.307644,35.036004,3,1/1/2020
-85.307644,35.036004,3,1/1/2020
-85.321604,35.110778,8,1/1/2020
-85.183937,35.037324,8,1/1/2020
-85.07046,35.08714,10,1/1/2020
-85.07046,35.08714,10,1/1/2020
-85.07046,35.08714,10,1/1/2020
-85.071085,35.086764,10,1/1/2020
-85.310643,35.007383,10,1/1/2020
-85.310162,35.053656,12,1/1/2020
-85.224137,35.22002,13,1/1/2020
-85.257398,35.021849,13,1/1/2020
-85.247194,35.138778,13,1/1/2020
-85.247194,35.138778,13,1/1/2020
-85.247194,35.138778,13,1/1/2020
-85.205652,35.187949,14,1/1/2020
-85.244585,35.136064,16,1/1/2020
-85.203262,35.007414,16,1/1/2020
-85.155778,35.040321,16,1/1/2020
-85.163809,35.116782,16,1/1/2020
-85.163809,35.116782,16,1/1/2020
-85.199279,35.234297,16,1/1/2020
-85.121616,35.122999,17,1/1/2020
-85.30142,35.07758,17,1/1/2020
-85.035406,35.071976,17,1/1/2020
-85.30963,35.052211,17,1/1/2020
-85.11331,35.042244,18,1/1/2020
-85.164076,35.117088,18,1/1/2020
-85.147887,35.052925,18,1/1/2020
-85.156295,35.046625,18,1/1/2020
-85.187615,35.045502,19,1/1/2020
-85.290968,35.001516,22,1/1/2020
-85.290968,35.001516,22,1/1/2020
-85.290968,35.001516,22,1/1/2020
-85.258224,35.020356,23,1/1/2020
-85.089929,35.014056,23,1/1/2020
-85.206604,35.057568,23,1/1/2020
-85.198864,35.066104,23,1/1/2020
-85.198864,35.066104,23,1/1/2020
-85.240821,35.108072,7,1/2/2020
-85.189339,35.054079,7,1/2/2020
-85.273333,35.017501,8,1/2/2020
-85.313613,35.027795,9,1/2/2020
-85.211925,35.221273,10,1/2/2020
-85.176412,35.069285,10,1/2/2020
-85.159806,35.094968,10,1/2/2020
-85.100497,35.026238,10,1/2/2020
-85.101104,35.027024,10,1/2/2020
-85.281564,35.005304,11,1/2/2020
-85.281442,35.005544,11,1/2/2020
-85.281442,35.005544,11,1/2/2020
-85.281442,35.005544,11,1/2/2020
-85.3177,35.08413,11,1/2/2020
-85.20184,34.986821,12,1/2/2020
-85.149942,35.05224,12,1/2/2020
-85.328461,35.010378,13,1/2/2020
-85.21483,34.99019,13,1/2/2020
-85.157485,35.083387,13,1/2/2020
-85.385899,35.016395,13,1/2/2020
-85.385899,35.016395,13,1/2/2020
-85.385899,35.016395,13,1/2/2020
-85.227338,35.012538,14,1/2/2020
-85.226983,35.0124,14,1/2/2020
-85.227338,35.012538,14,1/2/2020
-85.227338,35.012538,14,1/2/2020
-85.226983,35.0124,14,1/2/2020
-85.226983,35.0124,14,1/2/2020
-85.263069,35.116283,14,1/2/2020
-85.268996,35.022993,14,1/2/2020
-85.195944,35.084423,14,1/2/2020
-85.26894,35.016958,14,1/2/2020
-85.261004,35.114607,14,1/2/2020
-85.1819,35.031302,14,1/2/2020
-85.227148,35.005132,14,1/2/2020
-85.243483,34.997274,14,1/2/2020
-85.243483,34.997274,14,1/2/2020
-85.273287,34.998151,14,1/2/2020
-85.197073,35.037454,15,1/2/2020
-85.16154,35.221413,15,1/2/2020
-85.390058,34.995454,15,1/2/2020
-85.16154,35.221413,15,1/2/2020
-85.16154,35.221413,15,1/2/2020
-85.16154,35.221413,15,1/2/2020
-85.16154,35.221413,15,1/2/2020
-85.306529,35.053585,15,1/2/2020
