Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem,Unix,Date,Hour,Grid_Num
1/1/2020 0:38,17:18.1,600 WERNER ST,CHATTANOOGA,35.105795,-85.282598,ACC2-MVC No Injuries,1577836800,1/1/2020,0,503
1/1/2020 0:50,06:25.8,11301 HIGHWAY 58,HAMILTON COUNTY,35.260486,-85.000235,ACC2-MVC No Injuries,1577836800,1/1/2020,0,
1/1/2020 1:30,1/1/2020 1:42,4276-4374 Brainerd Rd,CHATTANOOGA,35.015785,-85.235226,ACC2-MVC No Injuries,1577840400,1/1/2020,1,145
1/1/2020 3:11,1/1/2020 3:52,6000 HUNTER RD,HAMILTON COUNTY,35.121446,-85.096924,ACC3-MVC Unknown Injuries,1577847600,1/1/2020,3,
1/1/2020 3:18,1/1/2020 3:22,5625 Hunter Rd,HAMILTON COUNTY,35.102882,-85.0814,ACC3-MVC Unknown Injuries,1577847600,1/1/2020,3,
1/1/2020 3:19,1/1/2020 3:23,1700 - 1720 Market St,CHATTANOOGA,35.034391,-85.308235,ACC3-MVC Unknown Injuries,1577847600,1/1/2020,3,212
1/1/2020 3:19,27:41.4,1601 MARKET ST,CHATTANOOGA,35.036004,-85.307644,ACC1-MVC Injuries,1577847600,1/1/2020,3,212
1/1/2020 3:21,1/1/2020 3:36,1601 MARKET ST,CHATTANOOGA,35.036004,-85.307644,ACC1-MVC Injuries,1577847600,1/1/2020,3,212
1/1/2020 3:21,38:24.6,1601 MARKET ST,CHATTANOOGA,35.036004,-85.307644,ACC1-MVC Injuries,1577847600,1/1/2020,3,212
1/1/2020 8:07,1/1/2020 8:59,1100 Mountain Creek Rd,CHATTANOOGA,35.110778,-85.321604,ACC2-MVC No Injuries,1577865600,1/1/2020,8,532
1/1/2020 8:30,49:11.2,6300 FISK AVE,CHATTANOOGA,35.037324,-85.183937,ACC2-MVC No Injuries,1577865600,1/1/2020,8,229
1/1/2020 10:17,34:12.1,8900-8934 Lee Hwy,CHATTANOOGA,35.08714,-85.07046,ACC1-MVC Injuries,1577872800,1/1/2020,10,459
1/1/2020 10:18,29:37.5,8934 LEE HWY,CHATTANOOGA,35.086764,-85.071085,ACC1-MVC Injuries,1577872800,1/1/2020,10,459
1/1/2020 10:18,27:53.2,8900-8934 Lee Hwy,CHATTANOOGA,35.08714,-85.07046,ACC1-MVC Injuries,1577872800,1/1/2020,10,459
1/1/2020 10:18,32:39.6,8900-8934 Lee Hwy,CHATTANOOGA,35.08714,-85.07046,ACC1-MVC Injuries,1577872800,1/1/2020,10,459
1/1/2020 10:25,20:51.5,3636 HUGHES AVE,CHATTANOOGA,35.007383,-85.310643,ACC2-MVC No Injuries,1577872800,1/1/2020,10,60
1/1/2020 12:10,1/1/2020 13:19,51 W 3rd St,CHATTANOOGA,35.053656,-85.310162,ACCDEL-MVC Delayed,1577880000,1/1/2020,12,281
1/1/2020 13:07,1/1/2020 13:47,8432 - 8573 Dayton Pike,SODDY DAISY,35.22002,-85.224137,ACC2-MVC No Injuries,1577883600,1/1/2020,13,
1/1/2020 13:25,29:52.2,3200 Idlewild Dr,CHATTANOOGA,35.021849,-85.257398,ACCDEL-MVC Delayed,1577883600,1/1/2020,13,142
1/1/2020 13:29,31:34.5,5440 Highway 153,CHATTANOOGA,35.138778,-85.247194,ACC1-MVC Injuries,1577883600,1/1/2020,13,605
1/1/2020 13:36,54:42.7,5440 Highway 153,CHATTANOOGA,35.138778,-85.247194,ACC1-MVC Injuries,1577883600,1/1/2020,13,605
1/1/2020 13:36,06:14.9,5440 Highway 153,CHATTANOOGA,35.138778,-85.247194,ACC1-MVC Injuries,1577883600,1/1/2020,13,605
1/1/2020 14:15,39:43.9,7430 S DENT RD,HAMILTON COUNTY,35.187949,-85.205652,ACC2-MVC No Injuries,1577887200,1/1/2020,14,
1/1/2020 16:01,26:55.6,5380 HIGHWAY 153,CHATTANOOGA,35.136064,-85.244585,ACC2-MVC No Injuries,1577894400,1/1/2020,16,605
