Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem,Problem_Simple,Unix,Date,Hour,Grid_Num
2021-02-05 23:55:48,2021-02-06 02:24:22.623,138 W MAIN ST,CHATTANOOGA,35.036627,-85.30863,ACC1-MVC Injuries,,1612569348.0,2021-02-05,23,
2021-02-05 23:02:59,2021-02-06 00:13:25.540,6220 Shallowford Rd,CHATTANOOGA,35.048473,-85.178631,ACC2-MVC No Injuries,,1612566179.0,2021-02-05,23,
2021-02-05 22:13:01,2021-02-05 22:46:25.917,220 Compress St,CHATTANOOGA,35.063354,-85.321749,ACC2-MVC No Injuries,,1612563181.0,2021-02-05,22,
2021-02-05 21:19:00,2021-02-05 22:07:33.037,17450 Interstate 24 Eb,CHATTANOOGA,35.024827,-85.375379,ACC4-MVC Entrapment,,1612559940.0,2021-02-05,21,
2021-02-05 21:18:59,2021-02-05 21:31:54.390,17450 Interstate 24 Eb,CHATTANOOGA,35.024827,-85.375379,ACC4-MVC Entrapment,,1612559939.0,2021-02-05,21,
2021-02-05 21:18:19,2021-02-05 21:21:13.403,17450 Interstate 24 Eb,CHATTANOOGA,35.024827,-85.375379,ACC4-MVC Entrapment,,1612559899.0,2021-02-05,21,
2021-02-05 21:15:31,2021-02-05 23:23:51.857,17400 Interstate 24 Eb,CHATTANOOGA,35.021426,-85.380506,ACC3-MVC Unknown Injuries,,1612559731.0,2021-02-05,21,
2021-02-05 21:00:13,2021-02-05 21:05:48.580,1131 John Ross Rd,EAST RIDGE,34.994807,-85.254858,ACC3-MVC Unknown Injuries,,1612558813.0,2021-02-05,21,
2021-02-05 21:00:03,2021-02-05 21:03:12.343,Bennett Rd / John Ross Rd,EAST RIDGE,34.994324,-85.255646,ACC2-MVC No Injuries,,1612558803.0,2021-02-05,21,
2021-02-05 20:59:41,2021-02-05 21:39:09.083,1131 John Ross Rd,EAST RIDGE,34.994807,-85.254858,ACC2-MVC No Injuries,,1612558781.0,2021-02-05,20,
2021-02-05 20:58:33,2021-02-06 01:28:32.820,2104 E 13TH ST,CHATTANOOGA,35.026423,-85.275847,ACC2-MVC No Injuries,,1612558713.0,2021-02-05,20,
2021-02-05 20:15:28,2021-02-05 20:29:44.660,Bailey Ave / S Willow St,CHATTANOOGA,35.032371,-85.273219,ACC1-MVC Injuries,,1612556128.0,2021-02-05,20,
2021-02-05 20:15:28,2021-02-05 20:34:37.697,Bailey Ave / S Willow St,CHATTANOOGA,35.032371,-85.273219,ACC1-MVC Injuries,,1612556128.0,2021-02-05,20,
2021-02-05 20:12:56,2021-02-05 23:22:57.090,Bailey Ave / S Willow St,CHATTANOOGA,35.032371,-85.273219,ACC1-MVC Injuries,,1612555976.0,2021-02-05,20,
2021-02-05 20:09:42,2021-02-05 21:43:01.943,490 CAMP JORDAN PKWY,EAST RIDGE,34.994958,-85.203463,ACC2-MVC No Injuries,,1612555782.0,2021-02-05,20,
2021-02-05 19:57:12,2021-02-05 20:51:22.167,100 HEDGEWOOD DR,RED BANK,35.085826,-85.315965,ACC2-MVC No Injuries,,1612555032.0,2021-02-05,19,
2021-02-05 19:40:11,2021-02-05 21:22:10.000,7401 E BRAINERD RD,CHATTANOOGA,35.015214,-85.163699,ACC2-MVC No Injuries,,1612554011.0,2021-02-05,19,
2021-02-05 19:25:23,2021-02-05 20:13:35.520,40 - 93 Highway 27 Sb,CHATTANOOGA,35.037306,-85.319688,ACC2-MVC No Injuries,,1612553123.0,2021-02-05,19,
2021-02-05 18:52:03,2021-02-05 20:04:24.260,3796 CUMMINGS HWY,CHATTANOOGA,35.018885,-85.384146,ACC2-MVC No Injuries,,1612551123.0,2021-02-05,18,
2021-02-05 18:33:28,2021-02-05 19:54:15.773,16850 DAYTON PIKE,HAMILTON COUNTY,35.426083,-85.086454,ACC2-MVC No Injuries,,1612550008.0,2021-02-05,18,
2021-02-05 17:38:18,2021-02-05 17:46:50.000,200 INTERSTATE 75 SB,CHATTANOOGA,35.008756,-85.198438,ACC1-MVC Injuries,,1612546698.0,2021-02-05,17,
2021-02-05 17:38:18,2021-02-05 17:46:26.577,200 INTERSTATE 75 SB,CHATTANOOGA,35.008756,-85.198438,ACC1-MVC Injuries,,1612546698.0,2021-02-05,17,
2021-02-05 17:36:58,2021-02-05 18:27:21.800,161-309 INTERSTATE 75 SB,CHATTANOOGA,35.00719,-85.204078,ACC2-MVC No Injuries,,1612546618.0,2021-02-05,17,
2021-02-05 17:30:51,2021-02-05 17:43:27.020,520 Houston St,CHATTANOOGA,35.049863,-85.302124,ACC2-MVC No Injuries,,1612546251.0,2021-02-05,17,
