Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,pressure,RoadwayFeatureMode,yieldSignCount,stopSignCount,speedMode,oneWayStop,oneWayStopCount,twoWayStop,twoWayStopCount,oneWayYield,oneWayYieldCount,twoWayYield,twoWayYieldCount,threeWayStop,threeWayStopCount,fourWayStop,fourWayStopCount,trafficSignal,trafficSignalCount
34.98311234,-85.46806323,0,1,17.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1610686800,1,0.68,36.05,0.75,0.0003,43.37,5.62,10.0,0,1008.1,0.0,0.0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.46806323,8,1,17.0,4.0,2.0,11.0,1,0,2,4.0,0,0,0,0,1610715600,1,0.11,32.47,0.83,0.0013,37.14,4.11,10.0,0,1008.6,0.0,0.0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.46806323,12,1,17.0,4.0,2.0,11.0,1,0,3,4.0,0,0,0,0,1610730000,1,0.01,22.68,0.37,0.0,47.77,8.47,10.0,2,1008.2,0.0,0.0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.46806323,16,1,17.0,4.0,2.0,11.0,0,1,4,4.0,0,0,0,0,1610744400,1,0.69,19.01,0.3,0.0036,49.21,13.39,10.0,1,1005.4,0.0,0.0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.46071149,0,2,2.0,2.0,2.0,17.0,0,1,1,4.0,0,0,0,0,1610686800,1,0.68,35.31,0.75,0.0003,42.79,5.62,10.0,0,1008.1,0.0,0.0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.46071149,8,2,2.0,2.0,2.0,17.0,1,0,2,4.0,0,0,0,0,1610715600,1,0.11,31.44,0.83,0.0013,36.21,4.11,10.0,0,1008.6,0.0,0.0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.46071149,12,2,2.0,2.0,2.0,17.0,1,0,3,4.0,0,0,0,0,1610730000,1,0.01,21.72,0.37,0.0,46.98,8.46,10.0,2,1008.2,0.0,0.0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.46071149,16,2,2.0,2.0,2.0,17.0,0,1,4,4.0,0,0,0,0,1610744400,1,0.69,18.23,0.3,0.0036,48.48,13.35,10.0,1,1005.4,0.0,0.0,0.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.40924928,0,3,139.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1610686800,1,0.65,36.37,0.76,0.0002,43.41,5.73,10.0,0,1008.1,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.40924928,8,3,139.0,4.0,2.0,11.0,1,0,2,4.0,0,0,0,0,1610715600,1,0.15,33.08,0.82,0.0013,38.15,4.17,10.0,0,1008.7,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.40924928,12,3,139.0,4.0,2.0,11.0,1,0,3,4.0,0,0,0,0,1610730000,1,0.01,23.44,0.37,0.0,48.61,8.4,10.0,2,1008.3,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.40924928,16,3,139.0,4.0,2.0,11.0,0,1,4,4.0,0,0,0,0,1610744400,1,0.68,19.62,0.3,0.0033,50.22,13.35,10.0,1,1005.4,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.40189753,0,4,53.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1610686800,1,0.64,36.36,0.76,0.0002,43.4,5.72,10.0,0,1008.1,0.0,0.0,0.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.40189753,8,4,53.0,4.0,2.0,11.0,1,0,2,4.0,0,0,0,0,1610715600,1,0.16,33.11,0.82,0.0013,38.21,4.17,10.0,0,1008.6,0.0,0.0,0.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.40189753,12,4,53.0,4.0,2.0,11.0,1,0,3,4.0,0,0,0,0,1610730000,1,0.01,23.47,0.37,0.0,48.68,8.4,10.0,2,1008.3,0.0,0.0,0.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.40189753,16,4,53.0,4.0,2.0,11.0,0,1,4,4.0,0,0,0,0,1610744400,1,0.68,19.63,0.3,0.0032,50.3,13.32,10.0,1,1005.4,0.0,0.0,0.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.39454579,0,5,17.0,2.0,2.0,16.0,0,1,1,4.0,0,0,0,0,1610686800,1,0.64,36.48,0.76,0.0002,43.4,5.75,10.0,0,1008.1,3.0,0.0,0.0,45.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.39454579,8,5,17.0,2.0,2.0,16.0,1,0,2,4.0,0,0,0,0,1610715600,1,0.16,33.46,0.82,0.0013,38.6,4.18,10.0,0,1008.7,3.0,0.0,0.0,45.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.39454579,12,5,17.0,2.0,2.0,16.0,1,0,3,4.0,0,0,0,0,1610730000,1,0.02,23.77,0.37,0.0,49.01,8.39,10.0,2,1008.3,3.0,0.0,0.0,45.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34.98311234,-85.39454579,16,5,17.0,2.0,2.0,16.0,0,1,4,4.0,0,0,0,0,1610744400,1,0.67,19.87,0.29,0.0032,50.64,13.35,10.0,1,1005.4,3.0,0.0,0.0,45.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34.98735687,-85.38719404,0,6,19.0,1.0,3.0,19.0,0,1,1,4.0,0,0,0,0,1610686800,1,0.63,36.46,0.76,0.0002,43.37,5.75,10.0,0,1008.1,3.0,0.0,2.0,45.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
