Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,pressure,RoadwayFeatureMode,yieldSignCount,stopSignCount,speedMode
34.98311234,-85.46806323,0,1,17.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1611550800,1,1.0,45.48,0.91,0.0154,48.05,4.24,10.0,0,1017.5,0.0,0.0,0.0,70.0
34.98311234,-85.46806323,8,1,17.0,4.0,2.0,11.0,0,0,2,0.0,0,1,1,0,1611579600,1,1.0,47.3,1.0,0.0213,47.3,5.61,3.471,0,1013.1,0.0,0.0,0.0,70.0
34.98311234,-85.46806323,12,1,17.0,4.0,2.0,11.0,0,0,3,0.0,0,1,1,0,1611594000,1,1.0,51.06,1.0,0.0199,51.06,6.46,4.641,3,1011.3,0.0,0.0,0.0,70.0
34.98311234,-85.46806323,16,1,17.0,4.0,2.0,11.0,0,0,4,0.0,0,1,1,0,1611608400,1,0.99,57.47,1.0,0.0107,57.47,8.18,6.752999999999999,1,1008.1,0.0,0.0,0.0,70.0
34.98735687,-85.46071149,0,2,2.0,2.0,2.0,17.0,0,1,1,0.0,0,0,0,0,1611550800,1,1.0,45.34,0.91,0.0152,47.99,4.21,10.0,0,1017.5,0.0,0.0,0.0,-1.0
34.98735687,-85.46071149,8,2,2.0,2.0,2.0,17.0,0,0,2,0.0,0,1,1,0,1611579600,1,1.0,47.3,1.0,0.0218,47.3,5.54,3.5660000000000003,0,1013.1,0.0,0.0,0.0,-1.0
34.98735687,-85.46071149,12,2,2.0,2.0,2.0,17.0,0,0,3,0.0,0,1,1,0,1611594000,1,1.0,50.79,1.0,0.0199,50.79,6.4,4.64,3,1011.3,0.0,0.0,0.0,-1.0
34.98735687,-85.46071149,16,2,2.0,2.0,2.0,17.0,0,0,4,0.0,0,1,1,0,1611608400,1,0.99,56.79,1.0,0.0107,56.79,8.19,6.815,1,1008.1,0.0,0.0,0.0,-1.0
34.98311234,-85.40924928,0,3,139.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1611550800,1,1.0,45.25,0.9,0.0129,48.02,4.24,10.0,0,1017.5,0.0,0.0,0.0,65.0
34.98311234,-85.40924928,8,3,139.0,4.0,2.0,11.0,0,0,2,0.0,0,1,1,0,1611579600,1,1.0,47.16,1.0,0.0242,47.16,5.18,4.132,0,1013.2,0.0,0.0,0.0,65.0
34.98311234,-85.40924928,12,3,139.0,4.0,2.0,11.0,0,0,3,0.0,0,1,1,0,1611594000,1,1.0,51.11,1.0,0.0201,51.11,6.13,4.771,3,1011.4,0.0,0.0,0.0,65.0
34.98311234,-85.40924928,16,3,139.0,4.0,2.0,11.0,0,1,4,0.0,0,0,1,0,1611608400,1,0.99,57.7,1.0,0.0109,57.7,8.25,7.572,1,1008.2,0.0,0.0,0.0,65.0
34.98735687,-85.40189753,0,4,53.0,4.0,2.0,11.0,0,1,1,0.0,0,0,0,0,1611550800,1,1.0,45.18,0.9,0.0125,47.99,4.21,10.0,0,1017.5,0.0,0.0,0.0,55.0
34.98735687,-85.40189753,8,4,53.0,4.0,2.0,11.0,0,0,2,0.0,0,1,1,0,1611579600,1,1.0,47.13,1.0,0.0248,47.13,5.12,4.22,0,1013.2,0.0,0.0,0.0,55.0
34.98735687,-85.40189753,12,4,53.0,4.0,2.0,11.0,0,0,3,0.0,0,1,1,0,1611594000,1,1.0,51.08,1.0,0.02,51.08,6.07,4.7810000000000015,3,1011.4,0.0,0.0,0.0,55.0
34.98735687,-85.40189753,16,4,53.0,4.0,2.0,11.0,0,1,4,0.0,0,0,1,0,1611608400,1,0.99,57.7,1.0,0.0108,57.7,8.26,7.645,1,1008.2,0.0,0.0,0.0,55.0
34.98311234,-85.39454579,0,5,17.0,2.0,2.0,16.0,0,1,1,0.0,0,0,0,0,1611550800,1,1.0,45.13,0.9,0.0122,47.98,4.24,10.0,0,1017.5,3.0,0.0,0.0,45.0
34.98311234,-85.39454579,8,5,17.0,2.0,2.0,16.0,0,0,2,0.0,0,1,1,0,1611579600,1,1.0,47.07,1.0,0.025,47.07,5.07,4.295,0,1013.3,3.0,0.0,0.0,45.0
34.98311234,-85.39454579,12,5,17.0,2.0,2.0,16.0,0,0,3,0.0,0,1,1,0,1611594000,1,1.0,51.15,1.0,0.0202,51.15,6.05,4.802,3,1011.4,3.0,0.0,0.0,45.0
34.98311234,-85.39454579,16,5,17.0,2.0,2.0,16.0,0,1,4,0.0,0,0,1,0,1611608400,1,0.99,57.94,1.0,0.0109,57.94,8.27,7.774,1,1008.3,3.0,0.0,0.0,45.0
34.98735687,-85.38719404,0,6,19.0,1.0,3.0,19.0,0,1,1,0.0,0,0,0,0,1611550800,1,1.0,45.06,0.9,0.0119,47.97,4.21,10.0,0,1017.5,3.0,0.0,2.0,45.0
34.98735687,-85.38719404,8,6,19.0,1.0,3.0,19.0,0,0,2,0.0,0,1,1,0,1611579600,1,1.0,47.04,1.0,0.0257,47.04,5.01,4.381,0,1013.3,3.0,0.0,2.0,45.0
34.98735687,-85.38719404,12,6,19.0,1.0,3.0,19.0,0,0,3,0.0,0,1,1,0,1611594000,1,1.0,51.11,1.0,0.0201,51.11,5.99,4.814,3,1011.4,3.0,0.0,2.0,45.0
