Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,pressure
34.98311234,-85.46806323,0,1,14.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.58,61.17,0.74,0.0007,69.64,7.51,10.0,0.0,1020.6
34.98311234,-85.46806323,4,1,14.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.41,60.32,0.78,0.0,67.55,8.29,10.0,0.0,1020.9
34.98311234,-85.46806323,8,1,14.0,4.0,2.0,11.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.54,59.01,0.86,0.0027,63.43,6.62,10.0,0.0,1021.1
34.98311234,-85.46806323,12,1,14.0,4.0,2.0,11.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,63.54,0.86,0.0207,67.78,8.82,10.0,4.0,1022.2
34.98311234,-85.46806323,16,1,14.0,4.0,2.0,11.0,0,0,4,4.0,0,1,1,0,1584734400,1,0.97,64.67,0.84,0.0357,69.6,7.76,10.0,4.0,1020.3
34.98311234,-85.46806323,20,1,14.0,4.0,2.0,11.0,0,0,1,4.0,0,1,1,0,1584748800,1,1.0,59.49,0.94,0.0612,61.25,3.52,9.032,0.0,1022.8
34.98311234,-85.46806323,23,1,14.0,4.0,2.0,11.0,0,0,1,4.0,0,1,1,0,1584759600,1,1.0,59.16,0.97,0.0965,60.03,3.1,8.714,0.0,1024.0
34.98735687,-85.46071149,0,2,2.0,2.0,2.0,17.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.59,60.49,0.75,0.0007,68.66,7.48,10.0,0.0,1020.6
34.98735687,-85.46071149,4,2,2.0,2.0,2.0,17.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.41,59.37,0.77,0.0,66.77,8.25,10.0,0.0,1020.8
34.98735687,-85.46071149,8,2,2.0,2.0,2.0,17.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.53,58.07,0.85,0.0028,62.7,6.6,10.0,0.0,1021.1
34.98735687,-85.46071149,12,2,2.0,2.0,2.0,17.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,62.77,0.87,0.0206,66.77,8.77,10.0,4.0,1022.2
34.98735687,-85.46071149,16,2,2.0,2.0,2.0,17.0,0,0,4,4.0,0,1,1,0,1584734400,1,0.97,63.96,0.86,0.0354,68.45,7.72,10.0,4.0,1020.3
34.98735687,-85.46071149,20,2,2.0,2.0,2.0,17.0,0,0,1,4.0,0,1,1,0,1584748800,1,1.0,59.12,0.96,0.0614,60.28,3.52,8.999,0.0,1022.8
34.98735687,-85.46071149,23,2,2.0,2.0,2.0,17.0,0,0,1,4.0,0,1,1,0,1584759600,1,1.0,58.69,0.99,0.0964,59.09,3.1,8.705,0.0,1024.0
34.98311234,-85.40924928,0,3,111.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.58,61.66,0.74,0.0007,70.41,7.35,10.0,0.0,1020.6
34.98311234,-85.40924928,4,3,111.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.4,61.01,0.78,0.0,68.04,7.91,10.0,0.0,1020.9
34.98311234,-85.40924928,8,3,111.0,4.0,2.0,11.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.49,59.54,0.86,0.0028,63.86,6.47,10.0,0.0,1021.2
34.98311234,-85.40924928,12,3,111.0,4.0,2.0,11.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,63.77,0.84,0.0187,68.8,8.48,10.0,4.0,1022.2
34.98311234,-85.40924928,16,3,111.0,4.0,2.0,11.0,0,0,4,4.0,0,1,1,0,1584734400,1,0.96,65.16,0.82,0.0304,71.11,7.51,10.0,4.0,1020.3
34.98311234,-85.40924928,20,3,111.0,4.0,2.0,11.0,0,0,1,4.0,0,1,1,0,1584748800,1,1.0,59.93,0.92,0.0619,62.34,3.56,8.767999999999999,0.0,1022.8
34.98311234,-85.40924928,23,3,111.0,4.0,2.0,11.0,0,0,1,4.0,0,1,1,0,1584759600,1,1.0,59.91,0.96,0.0901,61.05,3.06,8.684,0.0,1024.0
34.98735687,-85.40189753,0,4,38.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.58,61.7,0.74,0.0007,70.45,7.32,10.0,0.0,1020.6
34.98735687,-85.40189753,4,4,38.0,4.0,2.0,11.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.4,61.04,0.78,0.0,68.06,7.86,10.0,0.0,1020.9
34.98735687,-85.40189753,8,4,38.0,4.0,2.0,11.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.48,59.56,0.86,0.0028,63.88,6.43,10.0,0.0,1021.2
34.98735687,-85.40189753,12,4,38.0,4.0,2.0,11.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,63.76,0.84,0.0187,68.86,8.42,10.0,4.0,1022.2
34.98735687,-85.40189753,16,4,38.0,4.0,2.0,11.0,0,0,4,4.0,0,1,1,0,1584734400,1,0.96,65.19,0.81,0.0302,71.15,7.47,10.0,4.0,1020.3
34.98735687,-85.40189753,20,4,38.0,4.0,2.0,11.0,0,0,1,4.0,0,1,1,0,1584748800,1,1.0,59.96,0.92,0.0622,62.4,3.56,8.726,0.0,1022.8
34.98735687,-85.40189753,23,4,38.0,4.0,2.0,11.0,0,0,1,4.0,0,1,1,0,1584759600,1,1.0,59.97,0.96,0.0899,61.12,3.07,8.667,0.0,1024.0
34.98311234,-85.39454579,0,5,11.0,2.0,2.0,16.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.58,62.03,0.74,0.0007,70.82,7.32,10.0,0.0,1020.6
34.98311234,-85.39454579,4,5,11.0,2.0,2.0,16.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.4,61.2,0.78,0.0,68.32,7.81,10.0,0.0,1020.9
34.98311234,-85.39454579,8,5,11.0,2.0,2.0,16.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.48,59.72,0.86,0.0028,64.05,6.43,10.0,0.0,1021.2
34.98311234,-85.39454579,12,5,11.0,2.0,2.0,16.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,63.74,0.83,0.0182,69.26,8.39,10.0,4.0,1022.3
34.98311234,-85.39454579,16,5,11.0,2.0,2.0,16.0,0,0,4,4.0,0,1,1,0,1584734400,1,0.96,65.39,0.8,0.0293,71.75,7.45,10.0,4.0,1020.3
34.98311234,-85.39454579,20,5,11.0,2.0,2.0,16.0,0,0,1,4.0,0,1,1,0,1584748800,1,1.0,60.28,0.91,0.0622,62.9,3.57,8.702,0.0,1022.8
34.98311234,-85.39454579,23,5,11.0,2.0,2.0,16.0,0,0,1,4.0,0,1,1,0,1584759600,1,1.0,60.22,0.96,0.0886,61.51,3.06,8.677,0.0,1024.0
34.98735687,-85.38719404,0,6,14.0,1.0,3.0,19.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.58,62.1,0.74,0.0007,70.86,7.29,10.0,0.0,1020.6
34.98735687,-85.38719404,4,6,14.0,1.0,3.0,19.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.4,61.24,0.78,0.0,68.34,7.77,10.0,0.0,1020.9
34.98735687,-85.38719404,8,6,14.0,1.0,3.0,19.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.47,59.73,0.86,0.0028,64.07,6.39,10.0,0.0,1021.2
34.98735687,-85.38719404,12,6,14.0,1.0,3.0,19.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,63.73,0.82,0.0181,69.33,8.34,10.0,4.0,1022.3
34.98735687,-85.38719404,16,6,14.0,1.0,3.0,19.0,0,0,4,4.0,0,1,1,0,1584734400,1,0.96,65.42,0.8,0.0291,71.8,7.4,10.0,4.0,1020.3
34.98735687,-85.38719404,20,6,14.0,1.0,3.0,19.0,0,0,1,4.0,0,1,1,0,1584748800,1,1.0,60.34,0.91,0.0626,62.97,3.57,8.656,0.0,1022.8
34.98735687,-85.38719404,23,6,14.0,1.0,3.0,19.0,0,0,1,4.0,0,1,1,0,1584759600,1,1.0,60.27,0.95,0.0884,61.59,3.06,8.657,0.0,1024.0
34.98311234,-85.36513881,0,7,0.0,2.0,2.0,19.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.58,58.56,0.77,0.0007,66.03,7.24,10.0,0.0,1020.4
34.98311234,-85.36513881,4,7,0.0,2.0,2.0,19.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.4,57.37,0.79,0.0,64.16,7.63,10.0,0.0,1020.6
34.98311234,-85.36513881,8,7,0.0,2.0,2.0,19.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.45,56.56,0.86,0.0028,60.91,6.35,10.0,0.0,1021.1
34.98311234,-85.36513881,12,7,0.0,2.0,2.0,19.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,60.6,0.88,0.017,64.37,8.22,10.0,4.0,1022.3
34.98311234,-85.36513881,16,7,0.0,2.0,2.0,19.0,0,0,4,4.0,0,1,1,0,1584734400,1,0.96,62.13,0.86,0.0276,66.44,7.32,10.0,4.0,1020.3
34.98311234,-85.36513881,20,7,0.0,2.0,2.0,19.0,0,0,1,4.0,0,1,1,0,1584748800,1,1.0,57.47,0.99,0.0631,57.85,3.58,8.561,0.0,1022.8
34.98311234,-85.36513881,23,7,0.0,2.0,2.0,19.0,0,0,1,4.0,0,1,1,0,1584759600,1,1.0,56.96,1.0,0.0856,56.96,3.05,8.651,0.0,1024.0
34.98735687,-85.35778706,0,8,3.0,2.0,2.0,19.0,0,1,1,4.0,0,0,0,0,1584676800,1,0.58,58.12,0.78,0.0007,65.29,7.21,10.0,0.0,1020.4
34.98735687,-85.35778706,4,8,3.0,2.0,2.0,19.0,0,1,1,4.0,0,0,0,0,1584691200,1,0.4,57.04,0.79,0.0,63.63,7.58,10.0,0.0,1020.6
34.98735687,-85.35778706,8,8,3.0,2.0,2.0,19.0,0,1,2,4.0,0,0,0,0,1584705600,1,0.45,56.4,0.86,0.0028,60.52,6.31,10.0,0.0,1021.0
34.98735687,-85.35778706,12,8,3.0,2.0,2.0,19.0,0,0,3,4.0,0,1,1,0,1584720000,1,0.99,60.19,0.88,0.0169,63.75,8.15,10.0,4.0,1022.3
