Grid_Num,Hour
1,0
1,4
1,8
1,12
1,16
1,20
1,23
2,0
2,4
2,8
2,12
2,16
2,20
2,23
3,0
3,4
3,8
3,12
3,16
3,20
3,23
4,0
4,4
4,8
4,12
4,16
4,20
4,23
5,0
5,4
5,8
5,12
5,16
5,20
5,23
6,0
6,4
6,8
6,12
6,16
6,20
6,23
7,0
7,4
7,8
7,12
7,16
7,20
7,23
8,0
8,4
8,8
8,12
8,16
8,20
8,23
9,0
9,4
9,8
9,12
9,16
9,20
9,23
10,0
10,4
10,8
10,12
10,16
10,20
10,23
11,0
11,4
11,8
11,12
11,16
11,20
11,23
12,0
12,4
12,8
12,12
12,16
12,20
12,23
13,0
13,4
13,8
13,12
13,16
13,20
13,23
14,0
14,4
14,8
14,12
14,16
14,20
14,23
15,0
15,4
15,8
15,12
15,16
15,20
15,23
16,0
16,4
16,8
16,12
16,16
16,20
16,23
17,0
17,4
17,8
17,12
17,16
17,20
17,23
18,0
18,4
18,8
18,12
18,16
18,20
18,23
20,0
20,4
20,8
20,12
20,16
20,20
20,23
21,0
21,4
21,8
21,12
21,16
21,20
21,23
22,0
22,4
22,8
22,12
22,16
22,20
22,23
23,0
23,4
23,8
23,12
23,16
23,20
23,23
24,0
24,4
24,8
24,12
24,16
24,20
24,23
25,0
25,4
25,8
25,12
25,16
25,20
25,23
26,0
26,4
26,8
26,12
26,16
26,20
26,23
27,0
27,4
27,8
27,12
27,16
27,20
27,23
28,0
28,4
28,8
28,12
28,16
28,20
28,23
29,0
29,4
29,8
29,12
29,16
29,20
29,23
30,0
30,4
30,8
30,12
30,16
30,20
30,23
31,0
31,4
31,8
31,12
31,16
31,20
31,23
32,0
32,4
32,8
32,12
32,16
32,20
32,23
33,0
33,4
33,8
33,12
33,16
33,20
33,23
34,0
34,4
34,8
34,12
34,16
34,20
34,23
35,0
35,4
35,8
35,12
35,16
35,20
35,23
36,0
36,4
36,8
36,12
36,16
36,20
36,23
37,0
37,4
37,8
37,12
37,16
37,20
37,23
38,0
38,4
38,8
38,12
38,16
38,20
38,23
39,0
39,4
39,8
39,12
39,16
39,20
39,23
40,0
40,4
40,8
40,12
40,16
40,20
40,23
41,0
41,4
41,8
41,12
41,16
41,20
41,23
42,0
42,4
42,8
42,12
42,16
42,20
42,23
43,0
43,4
43,8
43,12
43,16
43,20
43,23
45,0
45,4
45,8
45,12
45,16
45,20
45,23
46,0
46,4
46,8
46,12
46,16
46,20
46,23
47,0
47,4
47,8
47,12
47,16
47,20
47,23
48,0
48,4
48,8
48,12
48,16
48,20
48,23
49,0
49,4
49,8
49,12
49,16
49,20
49,23
50,0
50,4
50,8
50,12
50,16
50,20
50,23
51,0
51,4
51,8
51,12
51,16
51,20
51,23
52,0
52,4
52,8
52,12
52,16
52,20
52,23
53,0
53,4
53,8
53,12
53,16
53,20
53,23
54,0
54,4
54,8
54,12
54,16
54,20
54,23
55,0
55,4
55,8
55,12
55,16
55,20
55,23
56,0
56,4
56,8
56,12
56,16
56,20
56,23
57,0
57,4
57,8
57,12
57,16
57,20
57,23
58,0
58,4
58,8
58,12
58,16
58,20
58,23
59,0
