GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long
A-28,14,1,4,2,11,34.98311234,-85.46806323
B-28,2,2,2,2,17,34.98735687,-85.46071149
I-28,111,3,4,2,11,34.98311234,-85.40924928
J-28,38,4,4,2,11,34.98735687,-85.40189753
K-28,11,5,2,2,16,34.98311234,-85.39454579
L-28,14,6,1,3,19,34.98735687,-85.38719404
O-28,0,7,2,2,19,34.98311234,-85.36513881
P-28,3,8,2,2,19,34.98735687,-85.35778706
Q-28,5,9,2,3,17,34.98311234,-85.35043532
R-28,30,10,2,3,16,34.98735687,-85.34308357
S-28,6,11,2,2,19,34.98311234,-85.33573183
T-28,37,12,2,2,19,34.98735687,-85.32838008
U-28,5,13,2,2,19,34.98311234,-85.32102834
V-28,17,14,2,2,19,34.98735687,-85.31367659
W-28,1,15,NA,NA,NA,34.98311234,-85.30632485
X-28,9,16,2,2,19,34.98735687,-85.29897311
Y-28,18,17,2,2,19,34.98311234,-85.29162136
Z-28,188,18,2,2,19,34.98735687,-85.28426962
AA-28,5,19,2,2,19,34.98311234,-85.27691787
AB-28,45,20,2,2,19,34.98735687,-85.26956613
AO-28,1,21,2,2,19,34.98311234,-85.17399344
AP-28,3,22,2,2,19,34.98735687,-85.1666417
AQ-28,0,23,2,2,19,34.98311234,-85.15928996
AR-28,10,24,2,2,19,34.98735687,-85.15193821
AS-28,6,25,2,2,19,34.98311234,-85.14458647
AT-28,2,26,2,2,19,34.98735687,-85.13723472
A-27,1,27,NA,NA,NA,34.99160141,-85.46806323
J-27,125,28,4,2,11,34.99584594,-85.40189753
K-27,7,29,1,3,19,34.99160141,-85.39454579
L-27,28,30,2,2,16,34.99584594,-85.38719404
M-27,0,31,2,2,19,34.99160141,-85.3798423
P-27,7,32,2,2,19,34.99584594,-85.35778706
Q-27,34,33,2,2,19,34.99160141,-85.35043532
R-27,19,34,2,2,19,34.99584594,-85.34308357
S-27,25,35,2,2,19,34.99160141,-85.33573183
T-27,38,36,2,2,19,34.99584594,-85.32838008
U-27,19,37,2,2,19,34.99160141,-85.32102834
V-27,29,38,2,2,19,34.99584594,-85.31367659
W-27,103,39,2,2,19,34.99160141,-85.30632485
X-27,9,40,2,2,19,34.99584594,-85.29897311
