Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/24/2020 11:05:25 PM,1/25/2020 12:16:43 AM,N MARKET ST / DALLAS RD,CHATTANOOGA,35071106,85308631,ACC2-MVC No Injuries
1/24/2020 8:26:00 PM,1/24/2020 8:52:16 PM,3504 Dayton Blvd,RED BANK,35112787,85292883,ACC2-MVC No Injuries
1/24/2020 7:20:30 PM,1/24/2020 7:56:10 PM,7300 IGOU GAP RD,CHATTANOOGA,35027622,85159424,ACC2-MVC No Injuries
1/24/2020 7:01:01 PM,1/24/2020 7:23:45 PM,1414 Ely Rd,CHATTANOOGA,35120829,85255595,ACC2-MVC No Injuries
1/24/2020 6:42:52 PM,1/24/2020 7:54:21 PM,9001 LEE HWY,CHATTANOOGA,35085686,85066688,ACC2-MVC No Injuries
1/24/2020 6:36:27 PM,1/24/2020 7:37:44 PM,5401 BRAINERD RD,CHATTANOOGA,35010589,85221388,ACC4-MVC Entrapment
1/24/2020 6:35:55 PM,1/24/2020 7:29:06 PM,531 Signal Mountain Rd,CHATTANOOGA,35095542,85331340,ACC2-MVC No Injuries
1/24/2020 6:31:33 PM,1/24/2020 7:06:11 PM,5401 BRAINERD RD,CHATTANOOGA,35010589,85221388,ACC4-MVC Entrapment
1/24/2020 6:31:33 PM,1/24/2020 6:34:33 PM,5324 - 5399 Brainerd Rd,CHATTANOOGA,35010453,85221830,ACC4-MVC Entrapment
1/24/2020 6:30:14 PM,1/24/2020 7:22:02 PM,5401 BRAINERD RD,CHATTANOOGA,35010589,85221388,ACC4-MVC Entrapment
1/24/2020 6:29:53 PM,1/24/2020 6:42:26 PM,5400 Brainerd Rd,CHATTANOOGA,35009910,85221205,ACC2-MVC No Injuries
1/24/2020 6:24:59 PM,1/24/2020 6:25:34 PM,2501 Market St,CHATTANOOGA,35026474,85311449,ACC3-MVC Unknown Injuries
1/24/2020 6:24:08 PM,1/24/2020 7:46:39 PM,2500 Market St,CHATTANOOGA,35026626,85310189,ACC2-MVC No Injuries
1/24/2020 6:09:16 PM,1/24/2020 7:30:27 PM,720-799 Frawley Rd,EAST RIDGE,34989855,85192084,ACC2-MVC No Injuries
1/24/2020 6:06:30 PM,1/24/2020 6:08:17 PM,2060-2129 HIGHWAY 27 NB,SODDY DAISY,35278325,85154731,ACC3-MVC Unknown Injuries
1/24/2020 6:04:43 PM,1/24/2020 6:42:50 PM,6800 HARVEST RUN DR,HAMILTON COUNTY,35121108,85130846,ACC2-MVC No Injuries
1/24/2020 5:39:46 PM,1/24/2020 7:09:29 PM,4700-4799 Highway 58,CHATTANOOGA,35089438,85187052,ACCDEL-MVC Delayed
1/24/2020 5:23:15 PM,1/24/2020 5:35:52 PM,5311 Highway 153,CHATTANOOGA,35128246,85243412,ACC1-MVC Injuries
1/24/2020 5:23:14 PM,1/24/2020 6:26:42 PM,5311 Highway 153,CHATTANOOGA,35128246,85243412,ACC1-MVC Injuries
1/24/2020 5:23:02 PM,1/24/2020 5:55:30 PM,5311 Highway 153,CHATTANOOGA,35128246,85243412,ACC1-MVC Injuries
1/24/2020 5:18:41 PM,1/24/2020 5:31:02 PM,Maplewood Dr / Cicero Trl,HAMILTON COUNTY,35034594,85100873,ACC1-MVC Injuries
1/24/2020 5:18:41 PM,1/24/2020 5:28:38 PM,Maplewood Dr / Cicero Trl,HAMILTON COUNTY,35034594,85100873,ACC1-MVC Injuries
1/24/2020 5:16:55 PM,1/24/2020 5:49:48 PM,Maplewood Dr / Cicero Trl,HAMILTON COUNTY,35034594,85100873,ACC1-MVC Injuries
1/24/2020 5:01:22 PM,1/24/2020 5:03:06 PM,2133 Cummings Hwy,HAMILTON COUNTY,35022429,85340627,ACC3-MVC Unknown Injuries
1/24/2020 4:59:44 PM,1/24/2020 5:01:06 PM,2128 CUMMINGS HWY,HAMILTON COUNTY,35023541,85344177,ACC2-MVC No Injuries
1/24/2020 4:58:10 PM,1/24/2020 5:35:04 PM,2128 Cummings Hwy,HAMILTON COUNTY,35023541,85344177,ACC2-MVC No Injuries
1/24/2020 4:49:04 PM,1/24/2020 5:07:34 PM,1500 Riverside Dr,CHATTANOOGA,35054816,85282056,ACC2-MVC No Injuries
1/24/2020 4:47:10 PM,1/24/2020 5:44:15 PM,17800 INTERSTATE 24 EB,CHATTANOOGA,35026290,85323702,ACCDEL-MVC Delayed
1/24/2020 4:35:01 PM,1/24/2020 7:11:08 PM,6900-6998 E Brainerd Rd,CHATTANOOGA,35017670,85174150,ACC2-MVC No Injuries
1/24/2020 4:18:59 PM,1/24/2020 5:15:58 PM,17800 INTERSTATE 24 EB,CHATTANOOGA,35026290,85323702,ACC2-MVC No Injuries
1/24/2020 4:04:01 PM,1/24/2020 4:04:53 PM,6500-6598 Ringgold Rd,EAST RIDGE,34989300,85209070,ACC1-MVC Injuries
1/24/2020 4:01:41 PM,1/24/2020 4:19:54 PM,6500-6598 Ringgold Rd,EAST RIDGE,34989300,85209070,ACC3-MVC Unknown Injuries
1/24/2020 4:01:15 PM,1/24/2020 4:46:57 PM,18340 Interstate 24 Eb,CHATTANOOGA,35012249,85247413,ACC2-MVC No Injuries
