date,time,temperature,dewpoint,humidity,wind_speed,wind_gust_speed,wind_dir_degrees,wind_dir,pressure,windchill,heatindex,precip,precip_rate,precip_1hr,precip_today,solarradiation,uv_index,temperature_indoor,humidity_indoor,software_type,event,conditions
2017-01-01,00:00:00,5,3.9,93,0,,0,North,1018.2,,,0.3,,,,,,,,,Light Rain,
2017-01-01,00:08:00,5,3.9,93,0,,0,North,1018.2,,,1.3,,,,,,,,,Rain,
2017-01-01,00:25:00,5,3.9,93,7.4,,230,SW,1018.2,3.3,,1.8,,,,,,,,,Light Rain,
2017-01-01,00:53:00,5,4.4,96,0,,0,North,1017.9,,,2,,,,,,,,,Overcast,
2017-01-01,01:53:00,5.6,4.4,92,0,,0,North,1017.8,,,0.3,,,,,,,,,Light Rain,
2017-01-01,02:27:00,5.6,4.4,92,0,,0,North,1017.8,,,0.3,,,,,,,,,Light Rain,
2017-01-01,02:36:00,5.6,4.4,92,0,,0,North,1017.8,,,0.3,,,,,,,,,Overcast,
2017-01-01,02:53:00,5.6,4.4,92,0,,0,North,1018,,,0.3,,,,,,,,,Overcast,
2017-01-01,03:41:00,5.6,4.4,92,0,,0,North,1017.8,,,0.8,,,,,,,,,Light Rain,
2017-01-01,03:50:00,6,4,87,0,,0,North,1017.8,,,1,,,,,,,,,Light Rain,
2017-01-01,03:53:00,5.6,4.4,92,0,,0,North,1018,,,1,,,,,,,,,Light Rain,
2017-01-01,04:40:00,6.1,4.4,89,0,,0,North,1017.8,,,0.3,,,,,,,,,Overcast,
2017-01-01,04:53:00,6.1,5,93,0,,0,North,1017.8,,,0.3,,,,,,,,,Overcast,
2017-01-01,05:21:00,6.1,5,93,5.6,,20,NNE,1017.8,5.2,,0.8,,,,,,,,,Rain,
2017-01-01,05:32:00,6.1,5,93,5.6,,30,NNE,1017.5,5.2,,1,,,,,,,,,Light Rain,
2017-01-01,05:40:00,6.1,5,93,0,,0,North,1017.8,,,1.3,,,,,,,,,Light Rain,
2017-01-01,05:53:00,6.1,5,93,5.6,,350,North,1018.1,5.2,,1.3,,,,,,,,,Overcast,
2017-01-01,06:53:00,6.1,5,93,5.6,,40,NE,1018.3,5.2,,0.5,,,,,,,,,Light Rain,
2017-01-01,07:53:00,6.1,5.6,97,7.4,,360,North,1019.1,4.6,,0.3,,,,,,,,,Overcast,
2017-01-01,08:53:00,6.7,5.6,93,5.6,,20,NNE,1019.2,5.8,,0,,,,,,,,,Light Rain,
2017-01-01,09:41:00,6.7,5.6,93,9.3,,20,NNE,1019.5,4.9,,0.8,,,,,,,,,Light Rain,
2017-01-01,09:53:00,7.2,6.1,93,7.4,,30,NNE,1019.9,5.9,,1,,,,,,,,,Light Rain,
2017-01-01,10:53:00,7.8,6.1,89,11.1,,10,North,1020.6,5.8,,0.5,,,,,,,,,Light Rain,
2017-01-01,11:27:00,7.8,6.1,89,11.1,,360,North,1020.2,5.8,,0.3,,,,,,,,,Overcast,
2017-01-01,11:53:00,7.8,6.1,89,11.1,,20,NNE,1020.2,5.8,,0.3,,,,,,,,,Overcast,
2017-01-01,11:59:00,7.8,6.1,89,11.1,,10,North,1019.9,5.8,,,,,,,,,,,Overcast,
2017-01-01,12:53:00,7.8,6.7,93,7.4,,20,NNE,1019.5,6.6,,,,,,,,,,,Overcast,
2017-01-01,13:19:00,7.8,6.7,93,11.1,,30,NNE,1018.5,5.8,,0,,,,,,,,,Light Drizzle,
2017-01-01,13:27:00,7.8,6.7,93,9.3,,30,NNE,1018.5,6.2,,0,,,,,,,,,Light Drizzle,
2017-01-01,13:53:00,7.8,6.7,93,11.1,,10,North,1018.6,5.8,,0,,,,,,,,,Light Drizzle,
2017-01-01,14:53:00,8.3,7.2,93,11.1,,360,North,1018.5,,,0,,,,,,,,,Light Drizzle,
2017-01-01,15:12:00,8.3,7.2,93,5.6,,350,North,1018.5,,,0,,,,,,,,,Light Drizzle,
2017-01-01,15:50:00,8,7,93,9.3,,10,North,1018.5,6.4,,0,,,,,,,,,Light Drizzle,
2017-01-01,15:53:00,8.3,7.2,93,9.3,,10,North,1018.5,,,0,,,,,,,,,Light Drizzle,
2017-01-01,16:53:00,8.3,7.2,93,7.4,,20,NNE,1018.6,,,0.3,,,,,,,,,Light Drizzle,
2017-01-01,17:53:00,8.3,7.2,93,9.3,,330,NNW,1018.6,,,0.3,,,,,,,,,Light Drizzle,
2017-01-01,18:53:00,8.3,7.2,93,7.4,,10,North,1018.9,,,0,,,,,,,,,Overcast,
2017-01-01,19:53:00,8.3,7.2,93,0,,0,North,1019.9,,,1.3,,,,,,,,,Rain,
2017-01-01,20:53:00,8.3,7.8,97,0,,0,North,1020,,,2.3,,,,,,,,,Light Rain,
2017-01-01,21:53:00,8.3,7.8,97,0,,0,North,1019.8,,,3.3,,,,,,,,,Light Rain,
2017-01-01,22:53:00,8.9,7.8,93,5.6,,10,North,1019.6,,,1.3,,,,,,,,,Light Rain,
2017-01-01,23:16:00,8.9,7.8,93,5.6,,340,NNW,1019.5,,,0.3,,,,,,,,,Overcast,
2017-01-01,23:53:00,8.9,7.8,93,5.6,,20,NNE,1019.5,,,0.5,,,,,,,,,Light Rain,
2017-01-02,00:53:00,8.9,7.8,93,7.4,,220,SW,1019.7,,,0.3,,,,,,,,,Overcast,
2017-01-02,01:36:00,8.9,8.3,96,0,,0,North,1019.5,,,0,,,,,,,,,Overcast,
2017-01-02,01:53:00,8.9,7.8,93,0,,0,North,1019.8,,,0,,,,,,,,,Overcast,
2017-01-02,02:36:00,9.4,8.3,93,7.4,,360,North,1019.5,,,0.5,,,,,,,,,Light Rain,
2017-01-02,02:53:00,9.4,8.3,93,7.4,,10,North,1019.8,,,0.5,,,,,,,,,Overcast,
2017-01-02,03:28:00,9.4,8.3,93,0,,0,North,1019.5,,,,,,,,,,,,Overcast,
2017-01-02,03:40:00,9.4,8.3,93,0,,0,North,1019.2,,,,,,,,,,,,Overcast,
2017-01-02,03:53:00,9.4,8.3,93,0,,0,North,1019.7,,,,,,,,,,,,Overcast,
2017-01-02,04:10:00,9.4,8.3,93,0,,0,North,1019.5,,,,,,,,,,,,Overcast,
2017-01-02,04:23:00,9.4,8.3,93,0,,0,North,1019.5,,,,,,,,,,,,Overcast,
2017-01-02,04:53:00,9.4,8.9,97,0,,0,North,1019.8,,,,,,,,,,,,Overcast,
2017-01-02,05:05:00,9.4,8.9,97,0,,0,North,1019.9,,,,,,,,,,,,Overcast,
2017-01-02,05:40:00,9.4,8.3,93,5.6,,330,NNW,1020.2,,,,,,,,,,,,Overcast,
2017-01-02,05:53:00,9.4,8.9,97,0,,0,North,1020.2,,,0.3,,,,,,,,,Light Rain,
2017-01-02,06:31:00,9.4,8.9,97,0,,0,North,1020.2,,,0,,,,,,,,,Light Rain,
2017-01-02,06:53:00,9.4,8.9,97,9.3,,360,North,1020.3,,,0.3,,,,,,,,,Light Rain,
2017-01-02,07:53:00,10,9.4,96,0,,0,North,1020.5,,,0,,,,,,,,,Fog,
2017-01-02,08:53:00,10,9.4,96,5.6,,20,NNE,1021,,,,,,,,,,,,Fog,
2017-01-02,09:53:00,10,9.4,96,9.3,,360,North,1021.4,,,0,,,,,,,,,Light Drizzle,
2017-01-02,10:53:00,10.6,10,96,9.3,,10,North,1021.8,,,0,,,,,,,,,Light Drizzle,
2017-01-02,11:53:00,10.6,10,96,7.4,,350,North,1020.9,,,0,,,,,,,,,Fog,
2017-01-02,12:53:00,11.1,10,93,0,,0,North,1020.7,,,,,,,,,,,,Fog,
2017-01-02,13:53:00,11.1,10.6,97,5.6,,90,East,1020,,,0.8,,,,,,,,,Rain,
2017-01-02,14:16:00,11.1,10.6,97,5.6,,110,ESE,1019.2,,,1.8,,,,,,,,,Rain,
2017-01-02,14:43:00,11.1,10.6,97,14.8,,130,SE,1016.8,,,3.3,,,,,,,,,Light Rain,
2017-01-02,14:53:00,11.7,11.1,96,9.3,,150,SSE,1016.6,,,3.3,,,,,,,,,Light Rain,
2017-01-02,15:32:00,12.8,12.2,96,11.1,,190,South,1016.5,,,0,,,,,,,,,Overcast,
2017-01-02,15:53:00,13.9,12.8,93,5.6,,180,South,1015.6,,,0,,,,,,,,,Overcast,
2017-01-02,16:01:00,13.9,12.8,93,7.4,,180,South,1015.5,,,,,,,,,,,,Overcast,
2017-01-02,16:17:00,14.4,12.8,90,7.4,,200,SSW,1015.5,,,,,,,,,,,,Overcast,
2017-01-02,16:53:00,15,13.3,90,14.8,,140,SE,1015.1,,,,,,,,,,,,Overcast,
2017-01-02,17:53:00,14.4,12.8,90,9.3,,220,SW,1015.2,,,,,,,,,,,,Overcast,
2017-01-02,18:53:00,15,12.8,87,0,,0,North,1014.4,,,0.3,,,,,,,,,Mostly Cloudy,
2017-01-02,19:53:00,15,12.8,87,7.4,,170,South,1014.5,,,0,,,,,,,,,Light Rain,
2017-01-02,20:47:00,14,13,94,5.6,,180,South,1015.8,,,2.3,,,,,,,,,Rain,
2017-01-02,20:53:00,13.9,13.3,96,0,,0,North,1015.7,,,2.8,,,,,,,,,Rain,
2017-01-02,21:38:00,14.4,13.3,93,16.7,,130,SE,1014.1,,,3.3,,,,,,,,,Light Rain,
2017-01-02,21:53:00,15,12.8,87,18.5,35.2,120,ESE,1012.3,,,3.3,,,,,,,,,Overcast,
2017-01-02,22:53:00,15,13.9,93,11.1,,0,Variable,1010.3,,,0.3,,,,,,,,,Overcast,
2017-01-02,23:53:00,14.4,12.8,90,9.3,,220,SW,1010.4,,,,,,,,,,,,Overcast,
2017-01-03,00:00:00,14.4,12.8,90,11.1,,220,SW,1010.4,,,,,,,,,,,,Overcast,
2017-01-03,00:12:00,14.4,12.8,90,11.1,,190,South,1010.4,,,,,,,,,,,,Overcast,
2017-01-03,00:53:00,15,12.8,87,11.1,,190,South,1010.2,,,,,,,,,,,,Mostly Cloudy,
2017-01-03,01:40:00,14.4,12.8,90,9.3,,170,South,1010.7,,,,,,,,,,,,Overcast,
2017-01-03,01:53:00,15,12.8,87,9.3,,170,South,1010.3,,,,,,,,,,,,Overcast,
2017-01-03,02:07:00,15,12.8,87,11.1,,170,South,1010.4,,,,,,,,,,,,Overcast,
2017-01-03,02:14:00,14.4,12.8,90,11.1,,160,SSE,1010.4,,,,,,,,,,,,Overcast,
2017-01-03,02:53:00,15,12.8,87,13,,180,South,1010.2,,,,,,,,,,,,Overcast,
2017-01-03,03:11:00,15,12.8,87,13,,180,South,1010.4,,,,,,,,,,,,Overcast,
2017-01-03,03:53:00,15,12.8,87,13,,170,South,1009.9,,,,,,,,,,,,Overcast,
2017-01-03,04:12:00,15,12.8,87,11.1,,170,South,1010,,,0,,,,,,,,,Overcast,
2017-01-03,04:53:00,15,12.8,87,11.1,,170,South,1009.4,,,0,,,,,,,,,Overcast,
2017-01-03,05:49:00,15,13,88,7.4,,170,South,1009.4,,,,,,,,,,,,Overcast,
2017-01-03,05:53:00,15,12.8,87,9.3,,170,South,1009.2,,,,,,,,,,,,Overcast,
2017-01-03,06:53:00,14.4,12.8,90,9.3,,190,South,1009.1,,,,,,,,,,,,Mostly Cloudy,
2017-01-03,07:53:00,14.4,12.8,90,7.4,,200,SSW,1009.6,,,,,,,,,,,,Mostly Cloudy,
2017-01-03,08:36:00,14.4,13.3,93,7.4,,200,SSW,1010,,,0,,,,,,,,,Light Rain,
2017-01-03,08:47:00,14,13,94,0,,0,North,1010,,,0,,,,,,,,,Light Rain,
2017-01-03,08:53:00,14.4,13.3,93,0,,0,North,1009.8,,,0,,,,,,,,,Mostly Cloudy,
2017-01-03,09:53:00,15.6,13.3,86,16.7,,190,South,1010.8,,,0,,,,,,,,,Light Drizzle,
2017-01-03,10:06:00,15.6,13.3,86,11.1,,190,South,1011.4,,,0,,,,,,,,,Light Rain,
2017-01-03,10:44:00,15.6,13.9,90,11.1,,150,SSE,1011.4,,,0.3,,,,,,,,,Mostly Cloudy,
