date,time,event
01/01/2018,00:53:00,Clear
01/01/2018,01:53:00,Clear
01/01/2018,02:53:00,Clear
01/01/2018,03:53:00,Clear
01/01/2018,04:53:00,Clear
01/01/2018,05:53:00,Scattered Clouds
01/01/2018,06:53:00,Scattered Clouds
01/01/2018,07:53:00,Scattered Clouds
01/01/2018,08:53:00,Scattered Clouds
01/01/2018,09:53:00,Scattered Clouds
01/01/2018,10:53:00,Scattered Clouds
01/01/2018,11:53:00,Scattered Clouds
01/01/2018,12:53:00,Scattered Clouds
01/01/2018,13:53:00,Scattered Clouds
01/01/2018,14:53:00,Scattered Clouds
01/01/2018,15:53:00,Scattered Clouds
01/01/2018,16:53:00,Scattered Clouds
01/01/2018,17:53:00,Scattered Clouds
01/01/2018,18:53:00,Scattered Clouds
01/01/2018,19:53:00,Partly Cloudy
01/01/2018,20:53:00,Partly Cloudy
01/01/2018,21:53:00,Partly Cloudy
01/01/2018,22:53:00,Partly Cloudy
01/01/2018,23:53:00,Partly Cloudy
01/02/2018,00:53:00,Clear
01/02/2018,01:53:00,Clear
01/02/2018,02:53:00,Clear
01/02/2018,03:53:00,Clear
01/02/2018,04:53:00,Clear
01/02/2018,05:53:00,Clear
01/02/2018,06:53:00,Clear
01/02/2018,07:53:00,Clear
01/02/2018,08:53:00,Clear
01/02/2018,09:53:00,Clear
01/02/2018,10:53:00,Clear
01/02/2018,11:53:00,Partly Cloudy
01/02/2018,12:53:00,Partly Cloudy
01/02/2018,13:53:00,Scattered Clouds
01/02/2018,14:53:00,Scattered Clouds
01/02/2018,15:53:00,Partly Cloudy
01/02/2018,16:53:00,Partly Cloudy
01/02/2018,17:53:00,Partly Cloudy
01/02/2018,18:53:00,Partly Cloudy
01/02/2018,19:53:00,Partly Cloudy
01/02/2018,20:53:00,Scattered Clouds
01/02/2018,21:53:00,Mostly Cloudy
01/02/2018,22:53:00,Mostly Cloudy
01/02/2018,23:53:00,Mostly Cloudy
01/03/2018,00:53:00,Clear
01/03/2018,01:53:00,Clear
01/03/2018,02:53:00,Partly Cloudy
01/03/2018,03:53:00,Scattered Clouds
01/03/2018,04:53:00,Overcast
01/03/2018,05:53:00,Overcast
01/03/2018,06:53:00,Overcast
01/03/2018,07:53:00,Mostly Cloudy
01/03/2018,08:53:00,Overcast
01/03/2018,09:53:00,Overcast
01/03/2018,10:53:00,Overcast
01/03/2018,11:53:00,Mostly Cloudy
01/03/2018,12:53:00,Mostly Cloudy
01/03/2018,13:53:00,Mostly Cloudy
01/03/2018,14:53:00,Partly Cloudy
01/03/2018,23:53:00,Partly Cloudy
01/04/2018,00:53:00,Clear
01/04/2018,01:53:00,Clear
01/04/2018,02:53:00,Clear
01/04/2018,03:53:00,Clear
01/04/2018,04:53:00,Clear
01/04/2018,05:53:00,Scattered Clouds
01/04/2018,06:53:00,Scattered Clouds
01/04/2018,07:53:00,Scattered Clouds
01/04/2018,08:53:00,Scattered Clouds
01/04/2018,09:53:00,Scattered Clouds
01/04/2018,10:53:00,Scattered Clouds
01/04/2018,11:53:00,Scattered Clouds
01/04/2018,12:53:00,Scattered Clouds
01/04/2018,13:53:00,Scattered Clouds
01/04/2018,14:53:00,Partly Cloudy
01/04/2018,15:53:00,Partly Cloudy
01/04/2018,16:53:00,Partly Cloudy
01/04/2018,17:53:00,Partly Cloudy
01/04/2018,18:53:00,Partly Cloudy
01/04/2018,19:53:00,Clear
01/04/2018,20:53:00,Clear
01/04/2018,21:53:00,Clear
01/04/2018,22:53:00,Clear
01/04/2018,23:53:00,Clear
01/05/2018,00:53:00,Clear
01/05/2018,01:53:00,Clear
01/05/2018,02:53:00,Clear
01/05/2018,03:53:00,Clear
01/05/2018,04:53:00,Clear
01/05/2018,05:53:00,Mostly Cloudy
01/05/2018,06:53:00,Mostly Cloudy
01/05/2018,07:53:00,Mostly Cloudy
01/05/2018,08:53:00,Scattered Clouds
01/05/2018,09:53:00,Mostly Cloudy
01/05/2018,10:53:00,Scattered Clouds
01/05/2018,11:53:00,Partly Cloudy
01/05/2018,12:53:00,Partly Cloudy
01/05/2018,13:53:00,Partly Cloudy
01/05/2018,14:53:00,Partly Cloudy
01/05/2018,15:53:00,Scattered Clouds
01/05/2018,16:53:00,Scattered Clouds
01/05/2018,17:53:00,Scattered Clouds
01/05/2018,18:53:00,Mostly Cloudy
01/05/2018,19:53:00,Mostly Cloudy
01/05/2018,20:53:00,Mostly Cloudy
01/05/2018,21:53:00,Mostly Cloudy
01/05/2018,22:53:00,Overcast
01/05/2018,23:53:00,Overcast
01/06/2018,00:53:00,Overcast
01/06/2018,01:53:00,Overcast
01/06/2018,02:53:00,Overcast
01/06/2018,03:53:00,Overcast
01/06/2018,04:53:00,Overcast
01/06/2018,05:53:00,Scattered Clouds
01/06/2018,06:53:00,Scattered Clouds
01/06/2018,07:53:00,Scattered Clouds
01/06/2018,08:53:00,Clear
01/06/2018,09:53:00,Clear
01/06/2018,10:53:00,Clear
01/06/2018,11:53:00,Clear
01/06/2018,12:53:00,Clear
01/06/2018,13:53:00,Clear
01/06/2018,14:53:00,Clear
01/06/2018,15:53:00,Clear
01/06/2018,16:53:00,Clear
01/06/2018,17:53:00,Clear
01/06/2018,18:53:00,Clear
01/06/2018,19:53:00,Clear
01/06/2018,20:53:00,Clear
01/06/2018,21:53:00,Clear
01/06/2018,22:53:00,Clear
01/06/2018,23:53:00,Clear
01/07/2018,00:53:00,Clear
01/07/2018,01:53:00,Clear
01/07/2018,02:53:00,Clear
01/07/2018,03:53:00,Clear
01/07/2018,04:53:00,Clear
01/07/2018,05:53:00,Clear
01/07/2018,06:53:00,Clear
01/07/2018,07:53:00,Mostly Cloudy
01/07/2018,08:53:00,Mostly Cloudy
01/07/2018,09:53:00,Mostly Cloudy
01/07/2018,10:53:00,Mostly Cloudy
01/07/2018,11:53:00,Mostly Cloudy
01/07/2018,12:53:00,Mostly Cloudy
01/07/2018,13:53:00,Mostly Cloudy
01/07/2018,14:53:00,Mostly Cloudy
01/07/2018,15:53:00,Mostly Cloudy
01/07/2018,16:53:00,Mostly Cloudy
01/07/2018,17:53:00,Mostly Cloudy
01/07/2018,18:53:00,Mostly Cloudy
01/07/2018,19:53:00,Mostly Cloudy
01/07/2018,20:53:00,Mostly Cloudy
01/07/2018,21:53:00,Mostly Cloudy
01/07/2018,22:53:00,Mostly Cloudy
01/07/2018,23:53:00,Overcast
01/08/2018,00:53:00,Clear
01/08/2018,01:53:00,Overcast
01/08/2018,02:53:00,Overcast
01/08/2018,03:53:00,Partly Cloudy
01/08/2018,04:34:00,Mostly Cloudy
01/08/2018,04:53:00,Overcast
01/08/2018,05:53:00,Light Freezing Rain
01/08/2018,06:53:00,Light Freezing Rain
01/08/2018,07:53:00,Light Freezing Rain
01/08/2018,08:53:00,Light Freezing Rain
01/08/2018,09:53:00,Light Freezing Rain
01/08/2018,10:53:00,Light Freezing Rain
01/08/2018,11:36:00,Mostly Cloudy
01/08/2018,11:53:00,Mostly Cloudy
01/08/2018,12:53:00,Mostly Cloudy
01/08/2018,13:39:00,Light Rain
01/08/2018,13:53:00,Light Rain
01/08/2018,14:26:00,Light Rain
01/08/2018,14:53:00,Light Rain
01/08/2018,15:53:00,Light Rain
01/08/2018,16:08:00,Light Rain
01/08/2018,16:53:00,Light Rain
