date,time,temperature,dewpoint,humidity,wind_speed,wind_gust_speed,wind_dir_degrees,wind_dir,pressure,windchill,heatindex,precip,precip_rate,precip_1hr,precip_today,solarradiation,uv_index,temperature_indoor,humidity_indoor,software_type,event,conditions
01/01/2018,00:01:00,-7.2,-15.2,53,0,16.1,315,NW,1033.4,,,,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,00:36:00,-7.6,-15.1,55,0,8,49,NE,1033.4,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,01:09:00,-7.9,-15.2,56,0,12.9,354,North,1033.4,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,01:46:00,-8.2,-15.2,57,8,22.5,293,WNW,1034.1,-12.4,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,02:16:00,-8.6,-15.1,59,1.6,12.9,23,NNE,1034.4,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,02:52:00,-8.9,-15,61,1.6,14.5,351,North,1034.8,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,03:32:00,-9.2,-15.3,61,0,14.5,354,North,1035.1,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,04:07:00,-9.5,-15.2,63,1.6,9.7,326,NW,1035.1,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,04:33:00,-9.7,-15.4,63,3.2,17.7,345,NNW,1035.4,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,05:07:00,-9.8,-15.2,65,3.2,14.5,316,NW,1035.8,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,05:40:00,-10.1,-15,67,3.2,12.9,41,NE,1035.8,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,06:10:00,-10.3,-14.8,69,0,14.5,286,WNW,1036.1,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,06:43:00,-10.4,-14.7,71,9.7,11.3,288,WNW,1036.5,-15.6,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,07:18:00,-10.6,-14.6,72,1.6,12.9,117,ESE,1037.1,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,07:56:00,-10.6,-14.6,72,1.6,9.7,328,NNW,1037.8,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,08:31:00,-10.4,-14.7,71,0,11.3,315,NW,1038.1,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,09:02:00,-9.9,-14.1,71,6.4,9.7,26,NNE,1038.5,-13.6,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,09:40:00,-8.9,-13.9,67,3.2,14.5,333,NNW,1039.2,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,10:17:00,-7.8,-13.6,63,11.3,20.9,336,NNW,1039.5,-13,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,10:48:00,-7.4,-13.4,62,14.5,19.3,329,NNW,1039.5,-13.4,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,11:23:00,-6.7,-12.9,61,0,14.5,355,North,1039.5,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,11:58:00,-6.3,-13.2,58,1.6,20.9,105,ESE,1039.2,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,12:29:00,-5.4,-13,55,11.3,12.9,16,NNE,1038.5,-10.1,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,13:02:00,-4.8,-13.2,52,0,19.3,94,East,1038.1,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,13:30:00,-4.4,-13.3,50,9.7,19.3,75,ENE,1038.1,-8.5,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,13:59:00,-4,-12.9,50,4.8,19.3,342,NNW,1037.8,,,0,0,0,0,,,,WUHU216DAVISVP2,,,
01/01/2018,14:30:00,-4.1,-13.2,49,6.4,14.5,36,NE,1037.8,-6.9,,0,0,0,0,,,,WUHU216DAVISVP2,,,
