date,time,temperature,dewpoint,humidity,wind_speed,wind_gust_speed,wind_dir_degrees,wind_dir,pressure,windchill,heatindex,precip,precip_rate,precip_1hr,precip_today,solarradiation,uv_index,temperature_indoor,humidity_indoor,software_type,event,conditions
01/01/2018,00:00:00,-7.7,-16.1,50,3.2,,90,East,1032.1,,,,0,0,0,,,,,,,
01/01/2018,00:35:00,-8.1,-16.1,53,3.2,,270,West,1032.1,,,0,0,0,0,,,,,,,
01/01/2018,01:12:00,-8.4,-16.7,53,4.8,,180,South,1032.1,,,0,0,0,0,,,,,,,
01/01/2018,01:44:00,-8.8,-16.1,55,6.4,,90,East,1032.4,-12.3,,0,0,0,0,,,,,,,
01/01/2018,02:20:00,-9,-16.1,56,6.4,,248,WSW,1033.1,-12.6,,0,0,0,0,,,,,,,
01/01/2018,02:59:00,-9.3,-16.7,56,1.6,,158,SSE,1033.1,,,0,0,0,0,,,,,,,
01/01/2018,03:39:00,-9.8,-16.7,59,1.6,,270,West,1033.4,,,0,0,0,0,,,,,,,
01/01/2018,04:19:00,-10.2,-16.7,61,1.6,,158,SSE,1033.4,,,0,0,0,0,,,,,,,
01/01/2018,04:58:00,-10.2,-16.1,63,3.2,,203,SSW,1034.1,,,0,0,0,0,,,,,,,
01/01/2018,05:32:00,-10.4,-15.6,65,8,,23,NNE,1034.1,-14.9,,0,0,0,0,,,,,,,
01/01/2018,06:12:00,-10.8,-15.6,68,0,,90,East,1034.4,,,0,0,0,0,,,,,,,
01/01/2018,06:42:00,-10.8,-15.6,70,3.2,,270,West,1034.8,,,0,0,0,0,,,,,,,
01/01/2018,07:21:00,-10.9,-15.6,70,3.2,,248,WSW,1035.4,,,0,0,0,0,,,,,,,
01/01/2018,07:54:00,-11,-15.6,71,3.2,,203,SSW,1035.8,,,0,0.3,0.3,0.3,,,,,,,
01/01/2018,08:25:00,-10.8,-15,71,1.6,,180,South,1036.1,,,0,0,0,0.3,,,,,,,
01/01/2018,09:02:00,-9.3,-15,65,3.2,,248,WSW,1036.8,,,0,0,0,0.3,,,,,,,
01/01/2018,09:38:00,-8.1,-14.4,61,6.4,,23,NNE,1037.1,-11.5,,0,0,0,0.3,,,,,,,
01/01/2018,10:13:00,-7.4,-14.4,58,4.8,,203,SSW,1037.5,,,0,0,0,0.3,,,,,,,
01/01/2018,10:49:00,-6.6,-14.4,55,3.2,,225,SW,1037.8,,,0,0,0,0.3,,,,,,,
01/01/2018,11:21:00,-5.8,-13.9,53,4.8,,293,WNW,1037.5,,,0,0,0,0.3,,,,,,,
01/01/2018,11:55:00,-5.9,-14.4,50,8,,225,SW,1037.1,-9.7,,0,0,0,0.3,,,,,,,
01/01/2018,12:27:00,-3.7,-13.9,45,9.7,,203,SSW,1036.8,-7.6,,0,0,0,0.3,,,,,,,
01/01/2018,13:02:00,-4.1,-13.9,46,6.4,,225,SW,1036.5,-6.9,,0,0,0,0.3,,,,,,,
01/01/2018,13:31:00,-3.5,-13.9,45,1.6,,180,South,1036.1,,,0,0,0,0.3,,,,,,,
01/01/2018,14:09:00,-3.8,-14.4,44,6.4,,203,SSW,1036.1,-6.6,,0,0,0,0.3,,,,,,,
01/01/2018,14:48:00,-4,-15,44,9.7,,23,NNE,1036.1,-8,,0,0,0,0.3,,,,,,,
01/01/2018,15:23:00,-4.1,-14.4,45,3.2,,225,SW,1036.1,,,0,0,0,0.3,,,,,,,
01/01/2018,15:49:00,-4.3,-14.4,45,4.8,,248,WSW,1036.5,,,0,0,0,0.3,,,,,,,
01/01/2018,16:23:00,-4.6,-15,45,6.4,,270,West,1036.5,-7.5,,0,0,0,0.3,,,,,,,
01/01/2018,17:01:00,-5.5,-15,48,3.2,,270,West,1036.8,,,0,0,0,0.3,,,,,,,
01/01/2018,17:34:00,-6.2,-15.6,49,8,,248,WSW,1036.8,-10,,0,0,0,0.3,,,,,,,
01/01/2018,18:11:00,-6.8,-15.6,51,3.2,,248,WSW,1037.1,,,0,0,0,0.3,,,,,,,
01/01/2018,18:44:00,-7.5,-15.6,55,1.6,,270,West,1037.5,,,0,0,0,0.3,,,,,,,
01/01/2018,19:21:00,-8.1,-15.6,56,1.6,,225,SW,1037.8,,,0,0,0,0.3,,,,,,,
01/01/2018,19:57:00,-8.2,-15.6,56,1.6,,203,SSW,1037.8,,,0,0,0,0.3,,,,,,,
01/01/2018,20:31:00,-8.3,-15.6,56,1.6,,248,WSW,1038.1,,,0,0,0,0.3,,,,,,,
01/01/2018,21:09:00,-8.8,-16.1,58,0,,270,West,1038.1,,,0,0,0,0.3,,,,,,,
01/01/2018,21:48:00,-9.3,-15.6,61,3.2,,248,WSW,1038.5,,,0,0,0,0.3,,,,,,,
01/01/2018,22:36:00,-10.1,-15.6,63,1.6,,225,SW,1038.1,,,0,0,0,0.3,,,,,,,
01/01/2018,23:23:00,-10.7,-16.1,66,0,,225,SW,1038.8,,,0,0,0,0.3,,,,,,,
01/02/2018,00:11:00,-11.3,-15.6,70,0,,90,East,1038.8,,,0,0,0,0,,,,,,,
01/02/2018,01:04:00,-11.2,-16.1,68,0,,270,West,1038.5,,,0,0,0,0,,,,,,,
01/02/2018,01:46:00,-11.8,-16.1,70,0,,270,West,1038.1,,,0,0,0,0,,,,,,,
01/02/2018,02:22:00,-11.8,-16.7,69,0,,225,SW,1037.8,,,0,0,0,0,,,,,,,
01/02/2018,02:59:00,-11.6,-17.2,65,1.6,,23,NNE,1037.8,,,0,0,0,0,,,,,,,
01/02/2018,03:31:00,-11.6,-17.2,63,8,,135,SE,1037.8,-16.3,,0,0,0,0,,,,,,,
01/02/2018,04:15:00,-12.2,-17.8,65,0,,113,ESE,1037.8,,,0,0,0,0,,,,,,,
01/02/2018,04:51:00,-12.7,-17.8,68,0,,68,ENE,1037.8,,,0,0,0,0,,,,,,,
01/02/2018,05:34:00,-13,-17.8,70,0,,248,WSW,1037.8,,,0,0,0,0,,,,,,,
01/02/2018,06:07:00,-13.7,-17.8,73,0,,180,South,1038.5,,,0,0,0,0,,,,,,,
01/02/2018,06:57:00,-13.7,-17.8,74,0,,225,SW,1038.8,,,0,0,0,0,,,,,,,
01/02/2018,07:28:00,-13.6,-17.8,74,0,,270,West,1038.8,,,0,0,0,0,,,,,,,
01/02/2018,08:02:00,-13.4,-17.2,73,0,,203,SSW,1038.8,,,0,0,0,0,,,,,,,
01/02/2018,08:36:00,-11.4,-16.7,65,1.6,,225,SW,1038.5,,,0,0,0,0,,,,,,,
01/02/2018,09:17:00,-9.4,-16.7,58,3.2,,293,WNW,1038.8,,,0,0,0,0,,,,,,,
01/02/2018,10:02:00,-8.2,-16.1,55,1.6,,90,East,1038.8,,,0,0,0,0,,,,,,,
01/02/2018,10:51:00,-6.3,-15.6,48,4.8,,248,WSW,1038.5,,,0,0,0,0,,,,,,,
01/02/2018,11:30:00,-4.2,-15.6,41,3.2,,23,NNE,1037.8,,,0,0,0,0,,,,,,,
01/02/2018,12:06:00,-3.2,-15.6,39,4.8,,225,SW,1036.5,,,0,0,0,0,,,,,,,
01/02/2018,12:52:00,-2.3,-15.6,35,3.2,,225,SW,1035.4,,,0,0,0,0,,,,,,,
01/02/2018,13:33:00,-2.1,-15.6,35,1.6,,203,SSW,1034.8,,,0,0,0,0,,,,,,,
01/02/2018,14:12:00,-1.9,-15.6,35,3.2,,68,ENE,1034.1,,,0,0,0,0,,,,,,,
01/02/2018,14:50:00,-1.6,-15.6,34,3.2,,90,East,1033.4,,,0,0,0,0,,,,,,,
01/02/2018,15:37:00,-1.1,-15.6,32,3.2,,90,East,1033.1,,,0,0,0,0,,,,,,,
01/02/2018,16:11:00,-1.1,-16.1,31,3.2,,338,NNW,1032.4,,,0,0,0,0,,,,,,,
01/02/2018,16:56:00,-2.3,-16.1,35,0,,180,South,1032.7,,,0,0,0,0,,,,,,,
01/02/2018,17:40:00,-3.8,-16.1,37,0,,180,South,1032.1,,,0,0,0,0,,,,,,,
01/02/2018,18:18:00,-6,-15.6,48,0,,180,South,1032.1,,,0,0,0,0,,,,,,,
01/02/2018,18:56:00,-7.7,-13.9,63,0,,158,SSE,1031.7,,,0,0,0,0,,,,,,,
01/02/2018,19:35:00,-8.4,-13.9,65,0,,0,North,1031.7,,,0,0,0,0,,,,,,,
01/02/2018,20:09:00,-9.3,-13.3,74,0,,45,NE,1031.4,,,0,0,0,0,,,,,,,
01/02/2018,20:39:00,-10.2,-13.9,75,0,,45,NE,1030.7,,,0,0,0,0,,,,,,,
01/02/2018,21:25:00,-10.8,-13.9,80,0,,113,ESE,1030.4,,,0,0,0,0,,,,,,,
01/02/2018,22:21:00,-9,-12.8,75,0,,113,ESE,1030.4,,,0,0,0,0,,,,,,,
01/02/2018,23:09:00,-8.5,-11.7,78,0,,113,ESE,1029.7,,,0,0,0,0,,,,,,,
01/02/2018,23:51:00,-8.4,-11.7,79,0,,90,East,1029.7,,,0,0,0,0,,,,,,,
01/03/2018,00:18:00,-8.8,-11.7,80,0,,225,SW,1029.3,,,0,0,0,0,,,,,,,
01/03/2018,01:03:00,-8.8,-11.7,81,0,,293,WNW,1029,,,0,0,0,0,,,,,,,
01/03/2018,01:48:00,-8.7,-11.7,80,0,,45,NE,1028.7,,,0,0,0,0,,,,,,,
01/03/2018,02:23:00,-8.3,-11.1,83,0,,113,ESE,1028.3,,,0,0,0,0,,,,,,,
01/03/2018,03:10:00,-8.3,-11.1,83,0,,135,SE,1027.7,,,0,0,0,0,,,,,,,
01/03/2018,03:58:00,-7.8,-10.6,83,0,,203,SSW,1027.3,,,0,0,0,0,,,,,,,
01/03/2018,04:49:00,-7.3,-10.6,80,0,,113,ESE,1027,,,0,0,0,0,,,,,,,
01/03/2018,05:20:00,-7.2,-10.6,80,0,,180,South,1026.3,,,0,0,0,0,,,,,,,
01/03/2018,06:06:00,-6.9,-10,80,0,,248,WSW,1026.3,,,0,0,0,0,,,,,,,
01/03/2018,06:44:00,-6.8,-10,80,0,,68,ENE,1026.3,,,0,0,0,0,,,,,,,
01/03/2018,07:21:00,-6.8,-10,80,0,,158,SSE,1026.3,,,0,0,0,0,,,,,,,
01/03/2018,08:15:00,-6.3,-10.6,73,0,,180,South,1026.3,,,0,0,0,0,,,,,,,
01/03/2018,09:05:00,-5.3,-10.6,69,0,,180,South,1026.3,,,0,0,0,0,,,,,,,
01/03/2018,09:46:00,-4.2,-10,65,0,,113,ESE,1026,,,0,0,0,0,,,,,,,
01/03/2018,10:32:00,-3.2,-11.7,53,0,,0,North,1025.6,,,0,0,0,0,,,,,,,
01/03/2018,11:12:00,-1.8,-12.2,45,4.8,,248,WSW,1024.9,,,0,0,0,0,,,,,,,
01/03/2018,11:54:00,-0.8,-11.7,45,1.6,,180,South,1024.3,,,0,0,0,0,,,,,,,
01/03/2018,12:33:00,1.1,-12.8,35,3.2,,203,SSW,1022.9,,,0,0,0,0,,,,,,,
01/03/2018,13:18:00,1.7,-13.3,32,1.6,,180,South,1021.9,,,0,0,0,0,,,,,,,
01/03/2018,13:53:00,2.6,-12.8,31,0,,270,West,1021.2,,,0,0,0,0,,,,,,,
01/03/2018,14:48:00,2.3,-14.4,29,3.2,,225,SW,1020.5,,,0,0,0,0,,,,,,,
01/03/2018,15:27:00,2.3,-15,27,0,,68,ENE,1020.2,,,0,0,0,0,,,,,,,
01/03/2018,16:07:00,2.7,-15,25,4.8,,248,WSW,1019.9,,,0,0,0,0,,,,,,,
01/03/2018,16:47:00,1.9,-15,27,0,,225,SW,1019.9,,,0,0,0,0,,,,,,,
01/03/2018,17:29:00,-0.1,-13.9,35,0,,293,WNW,1019.9,,,0,0,0,0,,,,,,,
01/03/2018,18:12:00,-2.3,-12.8,45,0,,23,NNE,1019.9,,,0,0,0,0,,,,,,,
01/03/2018,18:56:00,-3.3,-11.7,53,0,,270,West,1019.9,,,0,0,0,0,,,,,,,
01/03/2018,19:31:00,-3.2,-11.7,54,0,,45,NE,1019.9,,,0,0,0,0,,,,,,,
01/03/2018,20:11:00,-4.2,-11.7,56,0,,315,NW,1019.9,,,0,0,0,0,,,,,,,
