"BLM","County","Route","Sp Case","Co. Seq.","I. C. Order","Item Code","Route Feature Desc","Description Code Flag","GPS Elevation","Description Code","Updated By","Updated On","GPS Latitude","GPS Longitude","GPS Code","ID NUMBER","Sub Route","Mile Post","Mile Post Suffix"
0,HAMILTON,00948,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,722.1,901   1-WAY STOP ,REED,7/24/2008 1:35:08 PM,35.155354,-85.105599,--,3300948001,00,,--
5.8,HAMILTON,00948,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,856.6,901   1-WAY STOP ,LOADER,2/14/1997 1:58:23 PM,35.206113,-85.068672,--,3300948001,00,,--
2.46,HAMILTON,00951,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,681.1,905   TRAFFIC SIGNAL,NOLEN,4/5/2000 6:53:19 AM,35.188991,-85.189952,--,3300951001,00,,--
3.92,HAMILTON,00951,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,733.3,901   1-WAY STOP ,LOADER,2/14/1997 1:58:24 PM,35.171161,-85.176428,--,3300951001,00,,--
0.06,HAMILTON,01122,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,743.1,905   TRAFFIC SIGNAL,JOHNSON,8/4/2008 10:42:28 AM,35.042151,-85.154984,--,3301122001,00,,--
0.12,HAMILTON,01122,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,735.6,905   TRAFFIC SIGNAL,LOADER,2/14/1997 1:58:24 PM,35.041803,-85.154036,--,3301122001,00,,--
0.273,HAMILTON,01122,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,737.9,905   TRAFFIC SIGNAL,JOHNSON,8/4/2008 10:30:26 AM,35.040887,-85.151552,--,3301122001,00,,--
0.37,HAMILTON,01122,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,724.7,905   TRAFFIC SIGNAL,JOHNSON,8/4/2008 10:47:03 AM,35.040312,-85.14998,--,3301122001,00,,--
0.618,HAMILTON,01122,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,744.1,905   TRAFFIC SIGNAL,JOHNSON,8/4/2008 10:30:35 AM,35.038891,-85.14601,--,3301122001,00,,--
1.39,HAMILTON,01122,0-NONE ,1,0,9-OTHER-MINOR,1-WAY YIELD,0,,908   1-WAY YIELD SIGN,WICHMAN,1/28/2015 6:31:17 AM,35.034237,-85.133637,--,3301122001,00,,--
